[1447, 1063]
[folio, [429.0, 53.0, 207.0, 18.0], SpAMzFTGuW, 5762885]
[headline, [126.0, 98.0, 810.0, 25.5], shoonya_1s9N6MQ9WCZUH0, 5762885]
[headline, [126.0, 123.5, 810.0, 25.5], shoonya_1s9N6MQ9WCZUH0, 5762885]
[headline, [126.0, 149.0, 810.0, 25.5], shoonya_1s9N6MQ9WCZUH0, 5762885]
[paragraph, [535.0, 203.0, 434.0, 18.0], yFC6jtE4pW, 5762885]
[paragraph, [535.0, 221.0, 434.0, 18.0], yFC6jtE4pW, 5762885]
[paragraph, [535.0, 239.0, 434.0, 18.0], yFC6jtE4pW, 5762885]
[paragraph, [535.0, 257.0, 434.0, 18.0], yFC6jtE4pW, 5762885]
[paragraph, [535.0, 275.0, 434.0, 18.0], yFC6jtE4pW, 5762885]
[paragraph, [535.0, 293.0, 434.0, 18.0], yFC6jtE4pW, 5762885]
[paragraph, [535.0, 311.0, 434.0, 18.0], yFC6jtE4pW, 5762885]
[paragraph, [535.0, 329.0, 434.0, 18.0], yFC6jtE4pW, 5762885]
[paragraph, [535.0, 347.0, 434.0, 18.0], yFC6jtE4pW, 5762885]
[paragraph, [95.0, 204.0, 431.0, 18.0], shoonya_2sZS8UDL6C2W3U, 5762885]
[paragraph, [95.0, 222.0, 431.0, 18.0], shoonya_2sZS8UDL6C2W3U, 5762885]
[paragraph, [95.0, 240.0, 431.0, 18.0], shoonya_2sZS8UDL6C2W3U, 5762885]
[paragraph, [95.0, 258.0, 431.0, 18.0], shoonya_2sZS8UDL6C2W3U, 5762885]
[paragraph, [95.0, 276.0, 431.0, 18.0], shoonya_2sZS8UDL6C2W3U, 5762885]
[paragraph, [95.0, 294.0, 431.0, 18.0], shoonya_2sZS8UDL6C2W3U, 5762885]
[paragraph, [95.0, 312.0, 431.0, 18.0], shoonya_2sZS8UDL6C2W3U, 5762885]
[paragraph, [95.0, 330.0, 431.0, 18.0], shoonya_2sZS8UDL6C2W3U, 5762885]
[paragraph, [95.0, 348.0, 431.0, 18.0], shoonya_2sZS8UDL6C2W3U, 5762885]
[paragraph, [95.0, 366.0, 431.0, 18.0], shoonya_2sZS8UDL6C2W3U, 5762885]
[paragraph, [538.0, 382.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 400.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 418.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 436.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 454.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 472.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 490.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 508.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 526.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 544.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 562.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 580.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 598.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 616.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 634.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 652.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 670.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 688.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 706.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [538.0, 724.0, 433.0, 18.0], QxzrdkAp0y, 5762885]
[paragraph, [92.0, 411.0, 433.0, 18.0], shoonya_4s1PXME37PD48M, 5762885]
[paragraph, [92.0, 429.0, 433.0, 18.0], shoonya_4s1PXME37PD48M, 5762885]
[paragraph, [92.0, 447.0, 433.0, 18.0], shoonya_4s1PXME37PD48M, 5762885]
[paragraph, [92.0, 465.0, 433.0, 18.0], shoonya_4s1PXME37PD48M, 5762885]
[paragraph, [92.0, 483.0, 433.0, 18.0], shoonya_4s1PXME37PD48M, 5762885]
[paragraph, [92.0, 501.0, 433.0, 18.0], shoonya_4s1PXME37PD48M, 5762885]
