[1009, 782]
[headline, [506.0, 9.0, 269.0, 25.5], shoonya_0sKSDHA5UKOFSU, 5695901]
[headline, [506.0, 34.5, 269.0, 25.5], shoonya_0sKSDHA5UKOFSU, 5695901]
[headline, [506.0, 60.0, 269.0, 25.5], shoonya_0sKSDHA5UKOFSU, 5695901]
[headline, [506.0, 85.5, 269.0, 25.5], shoonya_0sKSDHA5UKOFSU, 5695901]
[headline, [506.0, 111.0, 269.0, 25.5], shoonya_0sKSDHA5UKOFSU, 5695901]
[headline, [506.0, 136.5, 269.0, 25.5], shoonya_0sKSDHA5UKOFSU, 5695901]
[headline, [506.0, 162.0, 269.0, 25.5], shoonya_0sKSDHA5UKOFSU, 5695901]
[headline, [506.0, 187.5, 269.0, 25.5], shoonya_0sKSDHA5UKOFSU, 5695901]
[headline, [506.0, 213.0, 269.0, 25.5], shoonya_0sKSDHA5UKOFSU, 5695901]
[headline, [506.0, 238.5, 269.0, 25.5], shoonya_0sKSDHA5UKOFSU, 5695901]
[headline, [506.0, 264.0, 269.0, 25.5], shoonya_0sKSDHA5UKOFSU, 5695901]
[headline, [506.0, 289.5, 269.0, 25.5], shoonya_0sKSDHA5UKOFSU, 5695901]
[headline, [506.0, 315.0, 269.0, 25.5], shoonya_0sKSDHA5UKOFSU, 5695901]
[headline, [506.0, 340.5, 269.0, 25.5], shoonya_0sKSDHA5UKOFSU, 5695901]
[headline, [506.0, 366.0, 269.0, 25.5], shoonya_0sKSDHA5UKOFSU, 5695901]
[headline, [506.0, 391.5, 269.0, 25.5], shoonya_0sKSDHA5UKOFSU, 5695901]
[paragraph, [217.0, 203.0, 185.0, 18.0], s25-7gLoGn, 5695901]
[paragraph, [217.0, 221.0, 185.0, 18.0], s25-7gLoGn, 5695901]
[paragraph, [217.0, 239.0, 185.0, 18.0], s25-7gLoGn, 5695901]
[paragraph, [217.0, 257.0, 185.0, 18.0], s25-7gLoGn, 5695901]
[paragraph, [217.0, 275.0, 185.0, 18.0], s25-7gLoGn, 5695901]
[paragraph, [217.0, 293.0, 185.0, 18.0], s25-7gLoGn, 5695901]
[paragraph, [217.0, 311.0, 185.0, 18.0], s25-7gLoGn, 5695901]
[flag, [65.0, 329.0, 404.0, 18.0], 9W30oLf6vY, 5695901]
[flag, [65.0, 347.0, 404.0, 18.0], 9W30oLf6vY, 5695901]
[flag, [65.0, 365.0, 404.0, 18.0], 9W30oLf6vY, 5695901]
[flag, [65.0, 383.0, 404.0, 18.0], 9W30oLf6vY, 5695901]
[flag, [65.0, 401.0, 404.0, 18.0], 9W30oLf6vY, 5695901]
[flag, [65.0, 419.0, 404.0, 18.0], 9W30oLf6vY, 5695901]
[flag, [65.0, 437.0, 404.0, 18.0], 9W30oLf6vY, 5695901]
[flag, [65.0, 455.0, 404.0, 18.0], 9W30oLf6vY, 5695901]
[flag, [65.0, 473.0, 404.0, 18.0], 9W30oLf6vY, 5695901]
[flag, [65.0, 491.0, 404.0, 18.0], 9W30oLf6vY, 5695901]
[flag, [65.0, 509.0, 404.0, 18.0], 9W30oLf6vY, 5695901]
[flag, [65.0, 527.0, 404.0, 18.0], 9W30oLf6vY, 5695901]
[flag, [65.0, 545.0, 404.0, 18.0], 9W30oLf6vY, 5695901]
[flag, [65.0, 563.0, 404.0, 18.0], 9W30oLf6vY, 5695901]
[flag, [65.0, 581.0, 404.0, 18.0], 9W30oLf6vY, 5695901]
[flag, [65.0, 599.0, 404.0, 18.0], 9W30oLf6vY, 5695901]
[dateline, [16.0, 647.0, 288.0, 64.5], 4euL0O3lty, 5695901]
[contact-info, [226.0, 742.0, 276.0, 18.0], BMx5Ige2MV, 5695901]
[contact-info, [226.0, 760.0, 276.0, 18.0], BMx5Ige2MV, 5695901]
[contact-info, [226.0, 778.0, 276.0, 18.0], BMx5Ige2MV, 5695901]
[contact-info, [226.0, 796.0, 276.0, 18.0], BMx5Ige2MV, 5695901]
[contact-info, [226.0, 814.0, 276.0, 18.0], BMx5Ige2MV, 5695901]
[contact-info, [226.0, 832.0, 276.0, 18.0], BMx5Ige2MV, 5695901]
[contact-info, [226.0, 850.0, 276.0, 18.0], BMx5Ige2MV, 5695901]
