[1638, 1027]
[sidebar, [471.0, 123.0, 453.0, 36.0], Bl8CTrlttg, 5654332]
[sidebar, [471.0, 159.0, 453.0, 36.0], Bl8CTrlttg, 5654332]
[sidebar, [471.0, 195.0, 453.0, 36.0], Bl8CTrlttg, 5654332]
[sidebar, [471.0, 231.0, 453.0, 36.0], Bl8CTrlttg, 5654332]
[sidebar, [471.0, 267.0, 453.0, 36.0], Bl8CTrlttg, 5654332]
[sidebar, [471.0, 303.0, 453.0, 36.0], Bl8CTrlttg, 5654332]
[sidebar, [471.0, 339.0, 453.0, 36.0], Bl8CTrlttg, 5654332]
[sidebar, [471.0, 375.0, 453.0, 36.0], Bl8CTrlttg, 5654332]
[paragraph, [42.0, 130.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 166.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 202.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 238.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 274.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 310.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 346.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 382.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 418.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 454.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 490.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 526.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 562.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 598.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 634.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 670.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 706.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 742.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 778.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 814.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 850.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 886.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 922.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 958.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 994.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 1030.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 1066.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 1102.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 1138.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 1174.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 1210.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 1246.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 1282.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 1318.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 1354.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [42.0, 1390.0, 433.0, 36.0], gFw9qUErPE, 5654332]
[paragraph, [479.0, 436.0, 429.0, 36.0], wi4FiYQT4T, 5654332]
[paragraph, [479.0, 472.0, 429.0, 36.0], wi4FiYQT4T, 5654332]
[paragraph, [479.0, 508.0, 429.0, 36.0], wi4FiYQT4T, 5654332]
[paragraph, [479.0, 544.0, 429.0, 36.0], wi4FiYQT4T, 5654332]
[paragraph, [479.0, 580.0, 429.0, 36.0], wi4FiYQT4T, 5654332]
[paragraph, [479.0, 616.0, 429.0, 36.0], wi4FiYQT4T, 5654332]
[paragraph, [479.0, 652.0, 429.0, 36.0], wi4FiYQT4T, 5654332]
[paragraph, [480.0, 726.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 762.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 798.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 834.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 870.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 906.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 942.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 978.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 1014.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 1050.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 1086.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 1122.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 1158.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 1194.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 1230.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 1266.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 1302.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 1338.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 1374.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[paragraph, [480.0, 1410.0, 423.0, 36.0], shoonya_1s9FGZKQYAYQER, 5654332]
[folio, [52.0, 1490.0, 157.0, 36.0], shoonya_2sZV5O8V0T051H, 5654332]
