[2175, 1462]
[folio, [155.0, 131.0, 178.0, 36.0], iTapTWq1YE, 5655046]
[paragraph, [170.0, 239.0, 1164.0, 36.0], shoonya_0sWNXA459TAYG1, 5655046]
[paragraph, [170.0, 275.0, 1164.0, 36.0], shoonya_0sWNXA459TAYG1, 5655046]
[paragraph, [170.0, 311.0, 1164.0, 36.0], shoonya_0sWNXA459TAYG1, 5655046]
[paragraph, [170.0, 347.0, 1164.0, 36.0], shoonya_0sWNXA459TAYG1, 5655046]
[paragraph, [170.0, 383.0, 1164.0, 36.0], shoonya_0sWNXA459TAYG1, 5655046]
[paragraph, [170.0, 419.0, 1164.0, 36.0], shoonya_0sWNXA459TAYG1, 5655046]
[paragraph, [170.0, 455.0, 1164.0, 36.0], shoonya_0sWNXA459TAYG1, 5655046]
[paragraph, [170.0, 491.0, 1164.0, 36.0], shoonya_0sWNXA459TAYG1, 5655046]
[paragraph, [170.0, 527.0, 1164.0, 36.0], shoonya_0sWNXA459TAYG1, 5655046]
[paragraph, [170.0, 563.0, 1164.0, 36.0], shoonya_0sWNXA459TAYG1, 5655046]
[paragraph, [172.0, 658.0, 1168.0, 36.0], shoonya_1s1EFA3HEHQEGC, 5655046]
[paragraph, [172.0, 694.0, 1168.0, 36.0], shoonya_1s1EFA3HEHQEGC, 5655046]
[paragraph, [172.0, 730.0, 1168.0, 36.0], shoonya_1s1EFA3HEHQEGC, 5655046]
[paragraph, [172.0, 766.0, 1168.0, 36.0], shoonya_1s1EFA3HEHQEGC, 5655046]
[paragraph, [172.0, 802.0, 1168.0, 36.0], shoonya_1s1EFA3HEHQEGC, 5655046]
[paragraph, [172.0, 838.0, 1168.0, 36.0], shoonya_1s1EFA3HEHQEGC, 5655046]
[paragraph, [172.0, 874.0, 1168.0, 36.0], shoonya_1s1EFA3HEHQEGC, 5655046]
[paragraph, [172.0, 910.0, 1168.0, 36.0], shoonya_1s1EFA3HEHQEGC, 5655046]
[paragraph, [172.0, 994.0, 1165.0, 36.0], shoonya_8sXMZ06POE0FZ2, 5655046]
[paragraph, [172.0, 1030.0, 1165.0, 36.0], shoonya_8sXMZ06POE0FZ2, 5655046]
[paragraph, [172.0, 1066.0, 1165.0, 36.0], shoonya_8sXMZ06POE0FZ2, 5655046]
[paragraph, [172.0, 1102.0, 1165.0, 36.0], shoonya_8sXMZ06POE0FZ2, 5655046]
[paragraph, [172.0, 1138.0, 1165.0, 36.0], shoonya_8sXMZ06POE0FZ2, 5655046]
[paragraph, [172.0, 1174.0, 1165.0, 36.0], shoonya_8sXMZ06POE0FZ2, 5655046]
[paragraph, [178.0, 1230.0, 1164.0, 36.0], shoonya_5sR50Z92GB487P, 5655046]
[paragraph, [178.0, 1266.0, 1164.0, 36.0], shoonya_5sR50Z92GB487P, 5655046]
[paragraph, [178.0, 1302.0, 1164.0, 36.0], shoonya_5sR50Z92GB487P, 5655046]
[paragraph, [178.0, 1338.0, 1164.0, 36.0], shoonya_5sR50Z92GB487P, 5655046]
[paragraph, [178.0, 1374.0, 1164.0, 36.0], shoonya_5sR50Z92GB487P, 5655046]
[paragraph, [178.0, 1410.0, 1164.0, 36.0], shoonya_5sR50Z92GB487P, 5655046]
[paragraph, [178.0, 1446.0, 1164.0, 36.0], shoonya_5sR50Z92GB487P, 5655046]
[paragraph, [178.0, 1482.0, 1164.0, 36.0], shoonya_5sR50Z92GB487P, 5655046]
[paragraph, [180.0, 1575.0, 1161.0, 36.0], shoonya_7sB0XLFSHY2MGE, 5655046]
[paragraph, [180.0, 1611.0, 1161.0, 36.0], shoonya_7sB0XLFSHY2MGE, 5655046]
[paragraph, [180.0, 1647.0, 1161.0, 36.0], shoonya_7sB0XLFSHY2MGE, 5655046]
[paragraph, [168.0, 1749.0, 1171.0, 36.0], shoonya_4sZ4184SWVF7RT, 5655046]
[paragraph, [168.0, 1785.0, 1171.0, 36.0], shoonya_4sZ4184SWVF7RT, 5655046]
[paragraph, [168.0, 1821.0, 1171.0, 36.0], shoonya_4sZ4184SWVF7RT, 5655046]
[paragraph, [168.0, 1857.0, 1171.0, 36.0], shoonya_4sZ4184SWVF7RT, 5655046]
[paragraph, [168.0, 1893.0, 1171.0, 36.0], shoonya_4sZ4184SWVF7RT, 5655046]
[paragraph, [168.0, 1929.0, 1171.0, 36.0], shoonya_4sZ4184SWVF7RT, 5655046]
[paragraph, [168.0, 1965.0, 1171.0, 36.0], shoonya_4sZ4184SWVF7RT, 5655046]
[paragraph, [168.0, 2001.0, 1171.0, 36.0], shoonya_4sZ4184SWVF7RT, 5655046]
