[792, 612]
[paragraph, [81.0, 167.0, 428.0, 18.0], WOuX5qHYlr, 6493986]
[paragraph, [81.0, 185.0, 428.0, 18.0], WOuX5qHYlr, 6493986]
[paragraph, [81.0, 203.0, 428.0, 18.0], WOuX5qHYlr, 6493986]
[paragraph, [81.0, 221.0, 428.0, 18.0], WOuX5qHYlr, 6493986]
[paragraph, [81.0, 239.0, 428.0, 18.0], WOuX5qHYlr, 6493986]
[paragraph, [81.0, 257.0, 428.0, 18.0], WOuX5qHYlr, 6493986]
[paragraph, [81.0, 275.0, 428.0, 18.0], WOuX5qHYlr, 6493986]
[paragraph, [81.0, 293.0, 428.0, 18.0], WOuX5qHYlr, 6493986]
[paragraph, [81.0, 311.0, 428.0, 18.0], WOuX5qHYlr, 6493986]
[paragraph, [81.0, 329.0, 428.0, 18.0], WOuX5qHYlr, 6493986]
[paragraph, [81.0, 347.0, 428.0, 18.0], WOuX5qHYlr, 6493986]
[paragraph, [81.0, 365.0, 428.0, 18.0], WOuX5qHYlr, 6493986]
[paragraph, [81.0, 383.0, 428.0, 18.0], WOuX5qHYlr, 6493986]
[paragraph, [81.0, 401.0, 428.0, 18.0], WOuX5qHYlr, 6493986]
[paragraph, [81.0, 419.0, 428.0, 18.0], WOuX5qHYlr, 6493986]
[paragraph, [77.0, 449.0, 420.0, 18.0], pws8ky-Frw, 6493986]
[paragraph, [77.0, 467.0, 420.0, 18.0], pws8ky-Frw, 6493986]
[paragraph, [77.0, 485.0, 420.0, 18.0], pws8ky-Frw, 6493986]
[paragraph, [77.0, 503.0, 420.0, 18.0], pws8ky-Frw, 6493986]
[paragraph, [77.0, 521.0, 420.0, 18.0], pws8ky-Frw, 6493986]
[paragraph, [77.0, 539.0, 420.0, 18.0], pws8ky-Frw, 6493986]
[paragraph, [77.0, 557.0, 420.0, 18.0], pws8ky-Frw, 6493986]
[paragraph, [77.0, 575.0, 420.0, 18.0], pws8ky-Frw, 6493986]
[paragraph, [77.0, 593.0, 420.0, 18.0], pws8ky-Frw, 6493986]
[paragraph, [77.0, 611.0, 420.0, 18.0], pws8ky-Frw, 6493986]
[paragraph, [77.0, 629.0, 420.0, 18.0], pws8ky-Frw, 6493986]
[paragraph, [77.0, 647.0, 420.0, 18.0], pws8ky-Frw, 6493986]
[paragraph, [77.0, 665.0, 420.0, 18.0], pws8ky-Frw, 6493986]
[paragraph, [77.0, 683.0, 420.0, 18.0], pws8ky-Frw, 6493986]
[paragraph, [77.0, 701.0, 420.0, 18.0], pws8ky-Frw, 6493986]
[paragraph, [77.0, 719.0, 420.0, 18.0], pws8ky-Frw, 6493986]
[paragraph, [77.0, 737.0, 420.0, 18.0], pws8ky-Frw, 6493986]
