[515, 727]
[paragraph, [125.0, 36.0, 264.0, 18.0], 02QoaVXAZN, 6533523]
[paragraph, [125.0, 54.0, 264.0, 18.0], 02QoaVXAZN, 6533523]
[paragraph, [125.0, 72.0, 264.0, 18.0], 02QoaVXAZN, 6533523]
[paragraph, [125.0, 90.0, 264.0, 18.0], 02QoaVXAZN, 6533523]
[paragraph, [125.0, 108.0, 264.0, 18.0], 02QoaVXAZN, 6533523]
[paragraph, [125.0, 126.0, 264.0, 18.0], 02QoaVXAZN, 6533523]
[paragraph, [125.0, 144.0, 264.0, 18.0], 02QoaVXAZN, 6533523]
[paragraph, [438.0, 39.0, 261.0, 18.0], 9LEUBgo07J, 6533523]
[paragraph, [438.0, 57.0, 261.0, 18.0], 9LEUBgo07J, 6533523]
[paragraph, [439.0, 89.0, 257.0, 18.0], shoonya_0sJ320HFOU8GWQ, 6533523]
[paragraph, [439.0, 107.0, 257.0, 18.0], shoonya_0sJ320HFOU8GWQ, 6533523]
[paragraph, [439.0, 125.0, 257.0, 18.0], shoonya_0sJ320HFOU8GWQ, 6533523]
[paragraph, [439.0, 143.0, 257.0, 18.0], shoonya_0sJ320HFOU8GWQ, 6533523]
[paragraph, [439.0, 161.0, 257.0, 18.0], shoonya_0sJ320HFOU8GWQ, 6533523]
[paragraph, [439.0, 179.0, 257.0, 18.0], shoonya_0sJ320HFOU8GWQ, 6533523]
[paragraph, [439.0, 197.0, 257.0, 18.0], shoonya_0sJ320HFOU8GWQ, 6533523]
[paragraph, [439.0, 215.0, 257.0, 18.0], shoonya_0sJ320HFOU8GWQ, 6533523]
[paragraph, [439.0, 233.0, 257.0, 18.0], shoonya_0sJ320HFOU8GWQ, 6533523]
[paragraph, [439.0, 251.0, 257.0, 18.0], shoonya_0sJ320HFOU8GWQ, 6533523]
[paragraph, [439.0, 269.0, 257.0, 18.0], shoonya_0sJ320HFOU8GWQ, 6533523]
[paragraph, [439.0, 287.0, 257.0, 18.0], shoonya_0sJ320HFOU8GWQ, 6533523]
[paragraph, [439.0, 305.0, 257.0, 18.0], shoonya_0sJ320HFOU8GWQ, 6533523]
[paragraph, [439.0, 323.0, 257.0, 18.0], shoonya_0sJ320HFOU8GWQ, 6533523]
[paragraph, [439.0, 341.0, 257.0, 18.0], shoonya_0sJ320HFOU8GWQ, 6533523]
[paragraph, [439.0, 359.0, 257.0, 18.0], shoonya_0sJ320HFOU8GWQ, 6533523]
[paragraph, [439.0, 377.0, 257.0, 18.0], shoonya_0sJ320HFOU8GWQ, 6533523]
[paragraph, [439.0, 395.0, 257.0, 18.0], shoonya_0sJ320HFOU8GWQ, 6533523]
[paragraph, [126.0, 168.0, 263.0, 18.0], V45ld-jyTq, 6533523]
[paragraph, [126.0, 186.0, 263.0, 18.0], V45ld-jyTq, 6533523]
[paragraph, [126.0, 204.0, 263.0, 18.0], V45ld-jyTq, 6533523]
[paragraph, [125.0, 228.0, 264.0, 18.0], P9SlFXU0GG, 6533523]
[paragraph, [125.0, 246.0, 264.0, 18.0], P9SlFXU0GG, 6533523]
[paragraph, [125.0, 264.0, 264.0, 18.0], P9SlFXU0GG, 6533523]
[paragraph, [125.0, 282.0, 264.0, 18.0], P9SlFXU0GG, 6533523]
[paragraph, [126.0, 310.0, 264.0, 18.0], qnT2YAbONZ, 6533523]
[paragraph, [126.0, 328.0, 264.0, 18.0], qnT2YAbONZ, 6533523]
[paragraph, [126.0, 346.0, 264.0, 18.0], qnT2YAbONZ, 6533523]
[paragraph, [126.0, 364.0, 264.0, 18.0], qnT2YAbONZ, 6533523]
[paragraph, [126.0, 382.0, 264.0, 18.0], qnT2YAbONZ, 6533523]
[paragraph, [126.0, 400.0, 264.0, 18.0], qnT2YAbONZ, 6533523]
[folio, [321.0, 427.0, 60.0, 18.0], z-TUbqbttB, 6533523]
[folio, [442.0, 430.0, 60.0, 18.0], 5GA-33JC0V, 6533523]
