[1050, 693]
[folio, [80.0, 77.0, 91.0, 18.0], shoonya_0s9GKFRJ8539R9, 5702062]
[folio, [80.0, 95.0, 91.0, 18.0], shoonya_0s9GKFRJ8539R9, 5702062]
[paragraph, [81.0, 127.0, 528.0, 18.0], shoonya_1sHGQWHP2YQMI6, 5702062]
[paragraph, [81.0, 145.0, 528.0, 18.0], shoonya_1sHGQWHP2YQMI6, 5702062]
[paragraph, [81.0, 163.0, 528.0, 18.0], shoonya_1sHGQWHP2YQMI6, 5702062]
[paragraph, [79.0, 201.0, 534.0, 18.0], 06JYCD49Em, 5702062]
[paragraph, [79.0, 219.0, 534.0, 18.0], 06JYCD49Em, 5702062]
[paragraph, [79.0, 237.0, 534.0, 18.0], 06JYCD49Em, 5702062]
[paragraph, [79.0, 255.0, 534.0, 18.0], 06JYCD49Em, 5702062]
[paragraph, [79.0, 273.0, 534.0, 18.0], 06JYCD49Em, 5702062]
[paragraph, [79.0, 291.0, 534.0, 18.0], 06JYCD49Em, 5702062]
[paragraph, [79.0, 309.0, 534.0, 18.0], 06JYCD49Em, 5702062]
[paragraph, [78.0, 325.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 343.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 361.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 379.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 397.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 415.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 433.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 451.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 469.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 487.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 505.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 523.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 541.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 559.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 577.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 595.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 613.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 631.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 649.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 667.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 685.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 703.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 721.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 739.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 757.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 775.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 793.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 811.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 829.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 847.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 865.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 883.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 901.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 919.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 937.0, 539.0, 18.0], CxJfnin2LY, 5702062]
[paragraph, [78.0, 955.0, 539.0, 18.0], CxJfnin2LY, 5702062]
