[2094, 1538]
[folio, [1171.0, 57.0, 284.0, 36.0], Ogq0twHfuE, 5712653]
[folio, [1171.0, 93.0, 284.0, 36.0], Ogq0twHfuE, 5712653]
[folio, [1171.0, 129.0, 284.0, 36.0], Ogq0twHfuE, 5712653]
[flag, [20.0, 102.0, 974.0, 36.0], shoonya_6s4MC0S2MZ3W30, 5712653]
[flag, [20.0, 138.0, 974.0, 36.0], shoonya_6s4MC0S2MZ3W30, 5712653]
[flag, [20.0, 174.0, 974.0, 36.0], shoonya_6s4MC0S2MZ3W30, 5712653]
[flag, [20.0, 210.0, 974.0, 36.0], shoonya_6s4MC0S2MZ3W30, 5712653]
[flag, [20.0, 246.0, 974.0, 36.0], shoonya_6s4MC0S2MZ3W30, 5712653]
[flag, [20.0, 282.0, 974.0, 36.0], shoonya_6s4MC0S2MZ3W30, 5712653]
[folio, [1142.0, 228.0, 325.0, 36.0], shoonya_10sPKFUAULMY1W, 5712653]
[folio, [1142.0, 264.0, 325.0, 36.0], shoonya_10sPKFUAULMY1W, 5712653]
[author, [451.0, 282.0, 471.0, 36.0], shoonya_7s6MBTT85KJ712, 5712653]
[contact-info, [69.0, 328.0, 1309.0, 36.0], Ux7sEHa3wt, 5712653]
[contact-info, [69.0, 364.0, 1309.0, 36.0], Ux7sEHa3wt, 5712653]
[contact-info, [69.0, 400.0, 1309.0, 36.0], Ux7sEHa3wt, 5712653]
[sidebar, [18.0, 452.0, 362.0, 36.0], UjnzrZqXpA, 5712653]
[paragraph, [745.0, 467.0, 725.0, 36.0], shoonya_4sK6SQ8HKA7TA8, 5712653]
[paragraph, [745.0, 503.0, 725.0, 36.0], shoonya_4sK6SQ8HKA7TA8, 5712653]
[paragraph, [745.0, 539.0, 725.0, 36.0], shoonya_4sK6SQ8HKA7TA8, 5712653]
[paragraph, [745.0, 575.0, 725.0, 36.0], shoonya_4sK6SQ8HKA7TA8, 5712653]
[paragraph, [745.0, 611.0, 725.0, 36.0], shoonya_4sK6SQ8HKA7TA8, 5712653]
[paragraph, [745.0, 647.0, 725.0, 36.0], shoonya_4sK6SQ8HKA7TA8, 5712653]
[paragraph, [745.0, 683.0, 725.0, 36.0], shoonya_4sK6SQ8HKA7TA8, 5712653]
[paragraph, [745.0, 719.0, 725.0, 36.0], shoonya_4sK6SQ8HKA7TA8, 5712653]
[paragraph, [745.0, 755.0, 725.0, 36.0], shoonya_4sK6SQ8HKA7TA8, 5712653]
[paragraph, [745.0, 791.0, 725.0, 36.0], shoonya_4sK6SQ8HKA7TA8, 5712653]
[paragraph, [745.0, 827.0, 725.0, 36.0], shoonya_4sK6SQ8HKA7TA8, 5712653]
[paragraph, [745.0, 863.0, 725.0, 36.0], shoonya_4sK6SQ8HKA7TA8, 5712653]
[paragraph, [745.0, 899.0, 725.0, 36.0], shoonya_4sK6SQ8HKA7TA8, 5712653]
[paragraph, [21.0, 536.0, 720.0, 36.0], shoonya_0sDF2HY39F1GNN, 5712653]
[paragraph, [21.0, 572.0, 720.0, 36.0], shoonya_0sDF2HY39F1GNN, 5712653]
[paragraph, [21.0, 608.0, 720.0, 36.0], shoonya_0sDF2HY39F1GNN, 5712653]
[paragraph, [21.0, 644.0, 720.0, 36.0], shoonya_0sDF2HY39F1GNN, 5712653]
[paragraph, [21.0, 680.0, 720.0, 36.0], shoonya_0sDF2HY39F1GNN, 5712653]
[paragraph, [21.0, 716.0, 720.0, 36.0], shoonya_0sDF2HY39F1GNN, 5712653]
[paragraph, [21.0, 752.0, 720.0, 36.0], shoonya_0sDF2HY39F1GNN, 5712653]
[paragraph, [21.0, 788.0, 720.0, 36.0], shoonya_0sDF2HY39F1GNN, 5712653]
[paragraph, [21.0, 824.0, 720.0, 36.0], shoonya_0sDF2HY39F1GNN, 5712653]
[paragraph, [21.0, 860.0, 720.0, 36.0], shoonya_0sDF2HY39F1GNN, 5712653]
[paragraph, [21.0, 896.0, 720.0, 36.0], shoonya_0sDF2HY39F1GNN, 5712653]
[paragraph, [21.0, 932.0, 720.0, 36.0], shoonya_0sDF2HY39F1GNN, 5712653]
[paragraph, [749.0, 968.0, 723.0, 36.0], shoonya_5sO2PDXBF645XZ, 5712653]
[paragraph, [749.0, 1004.0, 723.0, 36.0], shoonya_5sO2PDXBF645XZ, 5712653]
[paragraph, [749.0, 1040.0, 723.0, 36.0], shoonya_5sO2PDXBF645XZ, 5712653]
[paragraph, [749.0, 1076.0, 723.0, 36.0], shoonya_5sO2PDXBF645XZ, 5712653]
[paragraph, [749.0, 1112.0, 723.0, 36.0], shoonya_5sO2PDXBF645XZ, 5712653]
[paragraph, [749.0, 1148.0, 723.0, 36.0], shoonya_5sO2PDXBF645XZ, 5712653]
[paragraph, [749.0, 1184.0, 723.0, 36.0], shoonya_5sO2PDXBF645XZ, 5712653]
[paragraph, [749.0, 1220.0, 723.0, 36.0], shoonya_5sO2PDXBF645XZ, 5712653]
[paragraph, [749.0, 1256.0, 723.0, 36.0], shoonya_5sO2PDXBF645XZ, 5712653]
[paragraph, [749.0, 1292.0, 723.0, 36.0], shoonya_5sO2PDXBF645XZ, 5712653]
[paragraph, [749.0, 1328.0, 723.0, 36.0], shoonya_5sO2PDXBF645XZ, 5712653]
[paragraph, [749.0, 1364.0, 723.0, 36.0], shoonya_5sO2PDXBF645XZ, 5712653]
[paragraph, [14.0, 997.0, 730.0, 36.0], shoonya_1sDIAZQVGJ4ZBV, 5712653]
[paragraph, [14.0, 1033.0, 730.0, 36.0], shoonya_1sDIAZQVGJ4ZBV, 5712653]
[paragraph, [14.0, 1069.0, 730.0, 36.0], shoonya_1sDIAZQVGJ4ZBV, 5712653]
[paragraph, [14.0, 1105.0, 730.0, 36.0], shoonya_1sDIAZQVGJ4ZBV, 5712653]
[paragraph, [14.0, 1141.0, 730.0, 36.0], shoonya_1sDIAZQVGJ4ZBV, 5712653]
[paragraph, [12.0, 1198.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [12.0, 1234.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [12.0, 1270.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [12.0, 1306.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [12.0, 1342.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [12.0, 1378.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [12.0, 1414.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [12.0, 1450.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [12.0, 1486.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [12.0, 1522.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [12.0, 1558.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [12.0, 1594.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [12.0, 1630.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [12.0, 1666.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [12.0, 1702.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [12.0, 1738.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [12.0, 1774.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [12.0, 1810.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [12.0, 1846.0, 732.0, 36.0], shoonya_2s5UUVIEULYHM7, 5712653]
[paragraph, [744.0, 1405.0, 731.0, 36.0], shoonya_9sSFKVF9LX8RXM, 5712653]
[paragraph, [744.0, 1441.0, 731.0, 36.0], shoonya_9sSFKVF9LX8RXM, 5712653]
[paragraph, [744.0, 1477.0, 731.0, 36.0], shoonya_9sSFKVF9LX8RXM, 5712653]
[paragraph, [744.0, 1513.0, 731.0, 36.0], shoonya_9sSFKVF9LX8RXM, 5712653]
[paragraph, [744.0, 1549.0, 731.0, 36.0], shoonya_9sSFKVF9LX8RXM, 5712653]
[paragraph, [744.0, 1585.0, 731.0, 36.0], shoonya_9sSFKVF9LX8RXM, 5712653]
[paragraph, [744.0, 1621.0, 731.0, 36.0], shoonya_9sSFKVF9LX8RXM, 5712653]
[paragraph, [744.0, 1657.0, 731.0, 36.0], shoonya_9sSFKVF9LX8RXM, 5712653]
[paragraph, [744.0, 1693.0, 731.0, 36.0], shoonya_9sSFKVF9LX8RXM, 5712653]
[paragraph, [744.0, 1729.0, 731.0, 36.0], shoonya_9sSFKVF9LX8RXM, 5712653]
[paragraph, [744.0, 1765.0, 731.0, 36.0], shoonya_9sSFKVF9LX8RXM, 5712653]
[paragraph, [744.0, 1801.0, 731.0, 36.0], shoonya_9sSFKVF9LX8RXM, 5712653]
[paragraph, [744.0, 1837.0, 731.0, 36.0], shoonya_9sSFKVF9LX8RXM, 5712653]
[paragraph, [744.0, 1873.0, 731.0, 36.0], shoonya_9sSFKVF9LX8RXM, 5712653]
[paragraph, [744.0, 1909.0, 731.0, 36.0], shoonya_9sSFKVF9LX8RXM, 5712653]
[paragraph, [744.0, 1945.0, 731.0, 36.0], shoonya_9sSFKVF9LX8RXM, 5712653]
[paragraph, [744.0, 1981.0, 731.0, 36.0], shoonya_9sSFKVF9LX8RXM, 5712653]
[paragraph, [7.0, 1911.0, 741.0, 36.0], shoonya_3s6YXZUAVTQOPB, 5712653]
[paragraph, [7.0, 1947.0, 741.0, 36.0], shoonya_3s6YXZUAVTQOPB, 5712653]
[paragraph, [7.0, 1983.0, 741.0, 36.0], shoonya_3s6YXZUAVTQOPB, 5712653]
