[3509, 2480]
[paragraph, [213.0, 235.0, 2008.0, 52.5], 4xLxfQByRR, 5724577]
[paragraph, [213.0, 287.5, 2008.0, 52.5], 4xLxfQByRR, 5724577]
[paragraph, [213.0, 340.0, 2008.0, 52.5], 4xLxfQByRR, 5724577]
[ordered-list, [253.0, 456.0, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 508.5, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 561.0, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 613.5, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 666.0, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 718.5, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 771.0, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 823.5, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 876.0, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 928.5, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 981.0, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 1033.5, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 1086.0, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 1138.5, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 1191.0, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 1243.5, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 1296.0, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 1348.5, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 1401.0, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 1453.5, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 1506.0, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 1558.5, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 1611.0, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 1663.5, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 1716.0, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 1768.5, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
[ordered-list, [253.0, 1821.0, 2002.0, 52.5], shoonya_1sKT8SZVKBXFA3, 5724577]
