[3508, 2481]
[contact-info, [537.0, 83.0, 1423.0, 52.5], shoonya_4s2P318MLI5WSF, 6491102]
[contact-info, [537.0, 135.5, 1423.0, 52.5], shoonya_4s2P318MLI5WSF, 6491102]
[contact-info, [605.0, 437.0, 1260.0, 52.5], shoonya_2s0KZ89O4N40I6, 6491102]
[contact-info, [605.0, 489.5, 1260.0, 52.5], shoonya_2s0KZ89O4N40I6, 6491102]
[contact-info, [605.0, 542.0, 1260.0, 52.5], shoonya_2s0KZ89O4N40I6, 6491102]
[headline, [676.0, 664.0, 1081.0, 52.5], shoonya_5s4DJ6QW0XO8B4, 6491102]
[headline, [676.0, 716.5, 1081.0, 52.5], shoonya_5s4DJ6QW0XO8B4, 6491102]
[dateline, [1851.0, 1070.0, 412.0, 52.5], shoonya_8sKUVLKTHVZJ9L, 6491102]
[paragraph, [207.0, 1310.0, 474.0, 52.5], RizRD33r8j, 6491102]
[paragraph, [210.0, 1445.0, 2082.0, 52.5], shoonya_7s38094KLG3BBI, 6491102]
[paragraph, [210.0, 1497.5, 2082.0, 52.5], shoonya_7s38094KLG3BBI, 6491102]
[paragraph, [210.0, 1550.0, 2082.0, 52.5], shoonya_7s38094KLG3BBI, 6491102]
[paragraph, [210.0, 1602.5, 2082.0, 52.5], shoonya_7s38094KLG3BBI, 6491102]
[paragraph, [210.0, 1655.0, 2082.0, 52.5], shoonya_7s38094KLG3BBI, 6491102]
[paragraph, [210.0, 1707.5, 2082.0, 52.5], shoonya_7s38094KLG3BBI, 6491102]
[paragraph, [215.0, 1801.0, 2088.0, 52.5], shoonya_0sIAC1PDC1KENG, 6491102]
[paragraph, [215.0, 1853.5, 2088.0, 52.5], shoonya_0sIAC1PDC1KENG, 6491102]
[paragraph, [215.0, 1906.0, 2088.0, 52.5], shoonya_0sIAC1PDC1KENG, 6491102]
[paragraph, [215.0, 1958.5, 2088.0, 52.5], shoonya_0sIAC1PDC1KENG, 6491102]
[paragraph, [215.0, 2011.0, 2088.0, 52.5], shoonya_0sIAC1PDC1KENG, 6491102]
[paragraph, [215.0, 2063.5, 2088.0, 52.5], shoonya_0sIAC1PDC1KENG, 6491102]
[paragraph, [215.0, 2116.0, 2088.0, 52.5], shoonya_0sIAC1PDC1KENG, 6491102]
[paragraph, [209.0, 2263.0, 2150.0, 52.5], shoonya_1s5AYDI5DV50CL, 6491102]
[paragraph, [209.0, 2315.5, 2150.0, 52.5], shoonya_1s5AYDI5DV50CL, 6491102]
[paragraph, [209.0, 2368.0, 2150.0, 52.5], shoonya_1s5AYDI5DV50CL, 6491102]
[paragraph, [209.0, 2420.5, 2150.0, 52.5], shoonya_1s5AYDI5DV50CL, 6491102]
[paragraph, [209.0, 2473.0, 2150.0, 52.5], shoonya_1s5AYDI5DV50CL, 6491102]
[paragraph, [209.0, 2525.5, 2150.0, 52.5], shoonya_1s5AYDI5DV50CL, 6491102]
[paragraph, [209.0, 2578.0, 2150.0, 52.5], shoonya_1s5AYDI5DV50CL, 6491102]
[paragraph, [209.0, 2630.5, 2150.0, 52.5], shoonya_1s5AYDI5DV50CL, 6491102]
[paragraph, [209.0, 2683.0, 2150.0, 52.5], shoonya_1s5AYDI5DV50CL, 6491102]
[paragraph, [209.0, 2735.5, 2150.0, 52.5], shoonya_1s5AYDI5DV50CL, 6491102]
[paragraph, [209.0, 2788.0, 2150.0, 52.5], shoonya_1s5AYDI5DV50CL, 6491102]
[ordered-list, [260.0, 2862.0, 2037.0, 52.5], shoonya_3sWMKI65IMW0HE, 6491102]
[ordered-list, [260.0, 2914.5, 2037.0, 52.5], shoonya_3sWMKI65IMW0HE, 6491102]
[ordered-list, [260.0, 2967.0, 2037.0, 52.5], shoonya_3sWMKI65IMW0HE, 6491102]
[ordered-list, [260.0, 3019.5, 2037.0, 52.5], shoonya_3sWMKI65IMW0HE, 6491102]
[ordered-list, [260.0, 3072.0, 2037.0, 52.5], shoonya_3sWMKI65IMW0HE, 6491102]
[ordered-list, [260.0, 3124.5, 2037.0, 52.5], shoonya_3sWMKI65IMW0HE, 6491102]
[ordered-list, [260.0, 3177.0, 2037.0, 52.5], shoonya_3sWMKI65IMW0HE, 6491102]
[ordered-list, [260.0, 3229.5, 2037.0, 52.5], shoonya_3sWMKI65IMW0HE, 6491102]
[ordered-list, [260.0, 3282.0, 2037.0, 52.5], shoonya_3sWMKI65IMW0HE, 6491102]
[ordered-list, [260.0, 3334.5, 2037.0, 52.5], shoonya_3sWMKI65IMW0HE, 6491102]
