[842, 596]
[folio, [68.0, 34.0, 67.0, 18.0], GRsgm0MezO, 6464372]
[website-link, [405.0, 34.0, 123.0, 18.0], hFlv6Os-FE, 6464372]
[paragraph, [132.0, 64.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 82.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 100.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 118.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 136.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 154.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 172.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 190.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 208.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 226.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 244.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 262.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 280.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 298.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 316.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 334.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 352.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 370.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 388.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 406.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 424.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 442.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 460.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 478.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 496.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 514.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 532.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 550.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 568.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 586.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 604.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 622.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 640.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 658.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 676.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 694.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 712.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
[paragraph, [132.0, 730.0, 292.0, 18.0], T27_VN_Qo8, 6464372]
