[1763, 1275]
[paragraph, [36.0, 36.0, 489.0, 36.0], shoonya_0s5C509AOWCQ0Y, 5712487]
[paragraph, [36.0, 72.0, 489.0, 36.0], shoonya_0s5C509AOWCQ0Y, 5712487]
[paragraph, [36.0, 108.0, 489.0, 36.0], shoonya_0s5C509AOWCQ0Y, 5712487]
[paragraph, [36.0, 144.0, 489.0, 36.0], shoonya_0s5C509AOWCQ0Y, 5712487]
[paragraph, [36.0, 180.0, 489.0, 36.0], shoonya_0s5C509AOWCQ0Y, 5712487]
[paragraph, [36.0, 216.0, 489.0, 36.0], shoonya_0s5C509AOWCQ0Y, 5712487]
[paragraph, [36.0, 252.0, 489.0, 36.0], shoonya_0s5C509AOWCQ0Y, 5712487]
[paragraph, [36.0, 288.0, 489.0, 36.0], shoonya_0s5C509AOWCQ0Y, 5712487]
[paragraph, [36.0, 324.0, 489.0, 36.0], shoonya_0s5C509AOWCQ0Y, 5712487]
[paragraph, [36.0, 360.0, 489.0, 36.0], shoonya_0s5C509AOWCQ0Y, 5712487]
[paragraph, [36.0, 396.0, 489.0, 36.0], shoonya_0s5C509AOWCQ0Y, 5712487]
[paragraph, [525.0, 43.0, 497.0, 36.0], shoonya_1s2ARBJ32EI04S, 5712487]
[paragraph, [525.0, 79.0, 497.0, 36.0], shoonya_1s2ARBJ32EI04S, 5712487]
[paragraph, [525.0, 115.0, 497.0, 36.0], shoonya_1s2ARBJ32EI04S, 5712487]
[paragraph, [523.0, 147.0, 499.0, 36.0], shoonya_4s7U3V4TWQ80SL, 5712487]
[paragraph, [523.0, 183.0, 499.0, 36.0], shoonya_4s7U3V4TWQ80SL, 5712487]
[paragraph, [523.0, 219.0, 499.0, 36.0], shoonya_4s7U3V4TWQ80SL, 5712487]
[paragraph, [523.0, 255.0, 499.0, 36.0], shoonya_4s7U3V4TWQ80SL, 5712487]
[paragraph, [523.0, 291.0, 499.0, 36.0], shoonya_4s7U3V4TWQ80SL, 5712487]
[author, [674.0, 331.0, 312.0, 36.0], shoonya_8s7AJQMA0RRR6S, 5712487]
[author, [674.0, 367.0, 312.0, 36.0], shoonya_8s7AJQMA0RRR6S, 5712487]
[author, [22.0, 467.0, 261.0, 36.0], shoonya_7sZWKWVXW4NDS0, 5712487]
[headline, [32.0, 509.0, 841.0, 37.5], shoonya_5sWYOKXULLKZZM, 5712487]
[paragraph, [49.0, 617.0, 986.0, 36.0], eoLtv7vdt2, 5712487]
[paragraph, [49.0, 653.0, 986.0, 36.0], eoLtv7vdt2, 5712487]
[ordered-list, [42.0, 729.0, 999.0, 36.0], hGarfWM5Bp, 5712487]
[ordered-list, [42.0, 765.0, 999.0, 36.0], hGarfWM5Bp, 5712487]
[ordered-list, [42.0, 801.0, 999.0, 36.0], hGarfWM5Bp, 5712487]
[ordered-list, [42.0, 837.0, 999.0, 36.0], hGarfWM5Bp, 5712487]
[ordered-list, [42.0, 873.0, 999.0, 36.0], hGarfWM5Bp, 5712487]
[ordered-list, [42.0, 909.0, 999.0, 36.0], hGarfWM5Bp, 5712487]
[paragraph, [33.0, 961.0, 1010.0, 36.0], s-_o3gaSTo, 5712487]
[ordered-list, [33.0, 1027.0, 1015.0, 36.0], rMaFXdiMrj, 5712487]
[ordered-list, [33.0, 1063.0, 1015.0, 36.0], rMaFXdiMrj, 5712487]
[ordered-list, [33.0, 1099.0, 1015.0, 36.0], rMaFXdiMrj, 5712487]
[ordered-list, [33.0, 1135.0, 1015.0, 36.0], rMaFXdiMrj, 5712487]
[ordered-list, [33.0, 1171.0, 1015.0, 36.0], rMaFXdiMrj, 5712487]
[ordered-list, [33.0, 1207.0, 1015.0, 36.0], rMaFXdiMrj, 5712487]
[ordered-list, [33.0, 1243.0, 1015.0, 36.0], rMaFXdiMrj, 5712487]
[ordered-list, [33.0, 1279.0, 1015.0, 36.0], rMaFXdiMrj, 5712487]
[ordered-list, [33.0, 1315.0, 1015.0, 36.0], rMaFXdiMrj, 5712487]
[ordered-list, [33.0, 1351.0, 1015.0, 36.0], rMaFXdiMrj, 5712487]
[ordered-list, [33.0, 1387.0, 1015.0, 36.0], rMaFXdiMrj, 5712487]
[ordered-list, [33.0, 1423.0, 1015.0, 36.0], rMaFXdiMrj, 5712487]
[paragraph, [1064.0, 1328.0, 187.0, 36.0], eI3iGF6kxt, 5712487]
[paragraph, [1064.0, 1364.0, 187.0, 36.0], eI3iGF6kxt, 5712487]
[paragraph, [1064.0, 1400.0, 187.0, 36.0], eI3iGF6kxt, 5712487]
[paragraph, [1064.0, 1436.0, 187.0, 36.0], eI3iGF6kxt, 5712487]
[paragraph, [1064.0, 1472.0, 187.0, 36.0], eI3iGF6kxt, 5712487]
[paragraph, [1064.0, 1508.0, 187.0, 36.0], eI3iGF6kxt, 5712487]
[paragraph, [39.0, 1460.0, 1018.0, 36.0], JBIzOuIvr1, 5712487]
[paragraph, [39.0, 1496.0, 1018.0, 36.0], JBIzOuIvr1, 5712487]
[paragraph, [39.0, 1532.0, 1018.0, 36.0], JBIzOuIvr1, 5712487]
[author, [716.0, 1565.0, 330.0, 36.0], shoonya_9sUPTA2DNWDO1M, 5712487]
[author, [716.0, 1601.0, 330.0, 36.0], shoonya_9sUPTA2DNWDO1M, 5712487]
[author, [716.0, 1637.0, 330.0, 36.0], shoonya_9sUPTA2DNWDO1M, 5712487]
[folio, [902.0, 1667.0, 299.0, 36.0], JHrvC06DBr, 5712487]
