[2363, 1655]
[folio, [194.0, 120.0, 626.0, 36.0], ut5oyn9-L2, 5721447]
[paragraph, [198.0, 206.0, 1259.0, 36.0], shoonya_1sGJN3CVSKLOCX, 5721447]
[paragraph, [198.0, 242.0, 1259.0, 36.0], shoonya_1sGJN3CVSKLOCX, 5721447]
[paragraph, [198.0, 278.0, 1259.0, 36.0], shoonya_1sGJN3CVSKLOCX, 5721447]
[paragraph, [198.0, 314.0, 1259.0, 36.0], shoonya_1sGJN3CVSKLOCX, 5721447]
[paragraph, [198.0, 350.0, 1259.0, 36.0], shoonya_1sGJN3CVSKLOCX, 5721447]
[paragraph, [198.0, 386.0, 1259.0, 36.0], shoonya_1sGJN3CVSKLOCX, 5721447]
[paragraph, [198.0, 422.0, 1259.0, 36.0], shoonya_1sGJN3CVSKLOCX, 5721447]
[paragraph, [198.0, 458.0, 1259.0, 36.0], shoonya_1sGJN3CVSKLOCX, 5721447]
[paragraph, [198.0, 494.0, 1259.0, 36.0], shoonya_1sGJN3CVSKLOCX, 5721447]
[paragraph, [198.0, 530.0, 1259.0, 36.0], shoonya_1sGJN3CVSKLOCX, 5721447]
[paragraph, [198.0, 566.0, 1259.0, 36.0], shoonya_1sGJN3CVSKLOCX, 5721447]
[paragraph, [198.0, 602.0, 1259.0, 36.0], shoonya_1sGJN3CVSKLOCX, 5721447]
[paragraph, [198.0, 638.0, 1259.0, 36.0], shoonya_1sGJN3CVSKLOCX, 5721447]
[paragraph, [198.0, 674.0, 1259.0, 36.0], shoonya_1sGJN3CVSKLOCX, 5721447]
[paragraph, [198.0, 710.0, 1259.0, 36.0], shoonya_1sGJN3CVSKLOCX, 5721447]
[paragraph, [198.0, 746.0, 1259.0, 36.0], shoonya_1sGJN3CVSKLOCX, 5721447]
[paragraph, [198.0, 782.0, 1259.0, 36.0], shoonya_1sGJN3CVSKLOCX, 5721447]
[paragraph, [198.0, 818.0, 1259.0, 36.0], shoonya_1sGJN3CVSKLOCX, 5721447]
[paragraph, [196.0, 898.0, 1261.0, 36.0], Bg8NnAyMmi, 5721447]
[paragraph, [196.0, 934.0, 1261.0, 36.0], Bg8NnAyMmi, 5721447]
[ordered-list, [194.0, 1026.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1062.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1098.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1134.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1170.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1206.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1242.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1278.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1314.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1350.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1386.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1422.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1458.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1494.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1530.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1566.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1602.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1638.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1674.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1710.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1746.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1782.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1818.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1854.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1890.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1926.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1962.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 1998.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 2034.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 2070.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 2106.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 2142.0, 1314.0, 36.0], -XchfEn_79, 5721447]
[ordered-list, [194.0, 2178.0, 1314.0, 36.0], -XchfEn_79, 5721447]
