[595, 454]
[chapter-title, [277.0, 173.0, 140.0, 30.0], AHxeGZ6aWI, 6460234]
[paragraph, [232.0, 218.0, 200.0, 18.0], shoonya_3sRV0G8GANE4W5, 6460234]
[paragraph, [232.0, 236.0, 200.0, 18.0], shoonya_3sRV0G8GANE4W5, 6460234]
[paragraph, [232.0, 254.0, 200.0, 18.0], shoonya_3sRV0G8GANE4W5, 6460234]
[paragraph, [34.0, 219.0, 196.0, 18.0], shoonya_1sADQ53JDUNZ34, 6460234]
[paragraph, [34.0, 237.0, 196.0, 18.0], shoonya_1sADQ53JDUNZ34, 6460234]
[paragraph, [34.0, 255.0, 196.0, 18.0], shoonya_1sADQ53JDUNZ34, 6460234]
[paragraph, [34.0, 273.0, 196.0, 18.0], shoonya_1sADQ53JDUNZ34, 6460234]
[paragraph, [34.0, 291.0, 196.0, 18.0], shoonya_1sADQ53JDUNZ34, 6460234]
[paragraph, [234.0, 279.0, 197.0, 18.0], shoonya_6sVLSL17TTIC9S, 6460234]
[paragraph, [234.0, 297.0, 197.0, 18.0], shoonya_6sVLSL17TTIC9S, 6460234]
[paragraph, [234.0, 315.0, 197.0, 18.0], shoonya_6sVLSL17TTIC9S, 6460234]
[paragraph, [234.0, 333.0, 197.0, 18.0], shoonya_6sVLSL17TTIC9S, 6460234]
[paragraph, [34.0, 317.0, 197.0, 18.0], shoonya_2sC18WKUDU28LV, 6460234]
[paragraph, [34.0, 335.0, 197.0, 18.0], shoonya_2sC18WKUDU28LV, 6460234]
[paragraph, [34.0, 353.0, 197.0, 18.0], shoonya_2sC18WKUDU28LV, 6460234]
[paragraph, [34.0, 371.0, 197.0, 18.0], shoonya_2sC18WKUDU28LV, 6460234]
[paragraph, [34.0, 389.0, 197.0, 18.0], shoonya_2sC18WKUDU28LV, 6460234]
[paragraph, [34.0, 407.0, 197.0, 18.0], shoonya_2sC18WKUDU28LV, 6460234]
[paragraph, [34.0, 425.0, 197.0, 18.0], shoonya_2sC18WKUDU28LV, 6460234]
[paragraph, [34.0, 443.0, 197.0, 18.0], shoonya_2sC18WKUDU28LV, 6460234]
[paragraph, [233.0, 351.0, 198.0, 18.0], shoonya_4s8UGFLWW4QP5I, 6460234]
[paragraph, [233.0, 369.0, 198.0, 18.0], shoonya_4s8UGFLWW4QP5I, 6460234]
[paragraph, [233.0, 387.0, 198.0, 18.0], shoonya_4s8UGFLWW4QP5I, 6460234]
[paragraph, [233.0, 405.0, 198.0, 18.0], shoonya_4s8UGFLWW4QP5I, 6460234]
[paragraph, [233.0, 423.0, 198.0, 18.0], shoonya_4s8UGFLWW4QP5I, 6460234]
[paragraph, [230.0, 447.0, 202.0, 18.0], AulGRX-HhI, 6460234]
[paragraph, [230.0, 465.0, 202.0, 18.0], AulGRX-HhI, 6460234]
[paragraph, [230.0, 483.0, 202.0, 18.0], AulGRX-HhI, 6460234]
[paragraph, [230.0, 501.0, 202.0, 18.0], AulGRX-HhI, 6460234]
[paragraph, [230.0, 519.0, 202.0, 18.0], AulGRX-HhI, 6460234]
[paragraph, [35.0, 470.0, 195.0, 18.0], shoonya_7sEFMS1XL463HU, 6460234]
[paragraph, [35.0, 488.0, 195.0, 18.0], shoonya_7sEFMS1XL463HU, 6460234]
[paragraph, [35.0, 506.0, 195.0, 18.0], shoonya_7sEFMS1XL463HU, 6460234]
[paragraph, [35.0, 524.0, 195.0, 18.0], shoonya_7sEFMS1XL463HU, 6460234]
[footnote, [187.0, 554.0, 78.0, 18.0], Az3MJCDgYO, 6460234]
