[2036, 1453]
[paragraph, [211.0, 79.0, 1126.0, 36.0], shoonya_8s3RVNKTI1UX25, 5652600]
[paragraph, [211.0, 115.0, 1126.0, 36.0], shoonya_8s3RVNKTI1UX25, 5652600]
[paragraph, [211.0, 151.0, 1126.0, 36.0], shoonya_8s3RVNKTI1UX25, 5652600]
[paragraph, [211.0, 187.0, 1126.0, 36.0], shoonya_8s3RVNKTI1UX25, 5652600]
[paragraph, [211.0, 223.0, 1126.0, 36.0], shoonya_8s3RVNKTI1UX25, 5652600]
[ordered-list, [244.0, 320.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 356.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 392.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 428.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 464.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 500.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 536.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 572.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 608.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 644.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 680.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 716.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 752.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 788.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 824.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 860.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 896.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 932.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 968.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1004.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1040.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1076.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1112.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1148.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1184.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1220.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1256.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1292.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1328.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1364.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1400.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1436.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1472.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1508.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1544.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1580.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1616.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1652.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1688.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1724.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1760.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[ordered-list, [244.0, 1796.0, 1129.0, 36.0], shoonya_0s3CMDYOXCTCKB, 5652600]
[sub-ordered-list, [295.0, 960.0, 446.0, 36.0], shoonya_2sMDZY2QUXX422, 5652600]
[sub-ordered-list, [295.0, 996.0, 446.0, 36.0], shoonya_2sMDZY2QUXX422, 5652600]
[sub-ordered-list, [295.0, 1032.0, 446.0, 36.0], shoonya_2sMDZY2QUXX422, 5652600]
[sub-ordered-list, [346.0, 1193.0, 271.0, 36.0], shoonya_12sP3FI778DQRF, 5652600]
[sub-ordered-list, [346.0, 1229.0, 271.0, 36.0], shoonya_12sP3FI778DQRF, 5652600]
