[5500, 3644]
[folio, [2854.0, 460.0, 189.0, 52.5], shoonya_4sVEHHKX0RMGEK, 5709909]
[folio, [2854.0, 512.5, 189.0, 52.5], shoonya_4sVEHHKX0RMGEK, 5709909]
[paragraph, [468.0, 666.0, 1589.0, 52.5], bSLPbtUpac, 5709909]
[paragraph, [468.0, 718.5, 1589.0, 52.5], bSLPbtUpac, 5709909]
[quote, [688.0, 780.0, 1404.0, 52.5], p2Joaqiwtp, 5709909]
[quote, [688.0, 832.5, 1404.0, 52.5], p2Joaqiwtp, 5709909]
[paragraph, [2109.0, 785.0, 932.0, 52.5], 30fck_8CQ0, 5709909]
[paragraph, [2109.0, 837.5, 932.0, 52.5], 30fck_8CQ0, 5709909]
[paragraph, [704.0, 915.0, 2223.0, 52.5], WzQCfHhf-P, 5709909]
[paragraph, [704.0, 967.5, 2223.0, 52.5], WzQCfHhf-P, 5709909]
[quote, [666.0, 1051.0, 1990.0, 52.5], er6twabBHr, 5709909]
[quote, [666.0, 1103.5, 1990.0, 52.5], er6twabBHr, 5709909]
[paragraph, [488.0, 1192.0, 2586.0, 52.5], q0XhVvjW4E, 5709909]
[paragraph, [488.0, 1244.5, 2586.0, 52.5], q0XhVvjW4E, 5709909]
[paragraph, [488.0, 1297.0, 2586.0, 52.5], q0XhVvjW4E, 5709909]
[paragraph, [488.0, 1349.5, 2586.0, 52.5], q0XhVvjW4E, 5709909]
[quote, [715.0, 1441.0, 1393.0, 52.5], es2SFPXzoq, 5709909]
[quote, [715.0, 1493.5, 1393.0, 52.5], es2SFPXzoq, 5709909]
[paragraph, [412.0, 1587.0, 2640.0, 52.5], fS7qTIGCgy, 5709909]
[paragraph, [412.0, 1639.5, 2640.0, 52.5], fS7qTIGCgy, 5709909]
[paragraph, [412.0, 1692.0, 2640.0, 52.5], fS7qTIGCgy, 5709909]
[paragraph, [412.0, 1744.5, 2640.0, 52.5], fS7qTIGCgy, 5709909]
[paragraph, [694.0, 1836.0, 943.0, 52.5], KjcDbQrNm0, 5709909]
[paragraph, [694.0, 1888.5, 943.0, 52.5], KjcDbQrNm0, 5709909]
[quote, [715.0, 1972.0, 601.0, 52.5], Ein8u45Ybt, 5709909]
[quote, [715.0, 2024.5, 601.0, 52.5], Ein8u45Ybt, 5709909]
[paragraph, [721.0, 2091.0, 1897.0, 52.5], DTktJBwUPX, 5709909]
[paragraph, [721.0, 2143.5, 1897.0, 52.5], DTktJBwUPX, 5709909]
[quote, [504.0, 2210.0, 2537.0, 52.5], SJi8k4q93m, 5709909]
[quote, [504.0, 2262.5, 2537.0, 52.5], SJi8k4q93m, 5709909]
[quote, [504.0, 2315.0, 2537.0, 52.5], SJi8k4q93m, 5709909]
[quote, [504.0, 2367.5, 2537.0, 52.5], SJi8k4q93m, 5709909]
[quote, [504.0, 2420.0, 2537.0, 52.5], SJi8k4q93m, 5709909]
[quote, [704.0, 2487.0, 477.0, 52.5], 738ftyYLKO, 5709909]
[quote, [704.0, 2539.5, 477.0, 52.5], 738ftyYLKO, 5709909]
[paragraph, [1192.0, 2487.0, 536.0, 52.5], Q4mBnA3XZB, 5709909]
[paragraph, [1192.0, 2539.5, 536.0, 52.5], Q4mBnA3XZB, 5709909]
[paragraph, [704.0, 2611.0, 856.0, 52.5], Q3-4EwqvfL, 5709909]
[paragraph, [704.0, 2663.5, 856.0, 52.5], Q3-4EwqvfL, 5709909]
[quote, [471.0, 2747.0, 2619.0, 52.5], QGsrMO4Agx, 5709909]
[quote, [471.0, 2799.5, 2619.0, 52.5], QGsrMO4Agx, 5709909]
[quote, [471.0, 2852.0, 2619.0, 52.5], QGsrMO4Agx, 5709909]
[quote, [471.0, 2904.5, 2619.0, 52.5], QGsrMO4Agx, 5709909]
[quote, [471.0, 2957.0, 2619.0, 52.5], QGsrMO4Agx, 5709909]
[paragraph, [694.0, 3012.0, 1854.0, 52.5], yyiv9ycxKw, 5709909]
[paragraph, [694.0, 3064.5, 1854.0, 52.5], yyiv9ycxKw, 5709909]
[paragraph, [694.0, 3117.0, 1854.0, 52.5], yyiv9ycxKw, 5709909]
[paragraph, [694.0, 3169.5, 1854.0, 52.5], yyiv9ycxKw, 5709909]
[paragraph, [694.0, 3222.0, 1854.0, 52.5], yyiv9ycxKw, 5709909]
[paragraph, [694.0, 3274.5, 1854.0, 52.5], yyiv9ycxKw, 5709909]
[paragraph, [694.0, 3327.0, 1854.0, 52.5], yyiv9ycxKw, 5709909]
[paragraph, [677.0, 3402.0, 1990.0, 52.5], cD7DyNFo5m, 5709909]
[paragraph, [677.0, 3454.5, 1990.0, 52.5], cD7DyNFo5m, 5709909]
[paragraph, [2228.0, 3527.0, 851.0, 52.5], c1Ymi0eVTX, 5709909]
[paragraph, [2228.0, 3579.5, 851.0, 52.5], c1Ymi0eVTX, 5709909]
[quote, [715.0, 3533.0, 1502.0, 52.5], PxBGxe5D7z, 5709909]
[quote, [715.0, 3585.5, 1502.0, 52.5], PxBGxe5D7z, 5709909]
[paragraph, [515.0, 3668.0, 2554.0, 52.5], 6DgJrmSD29, 5709909]
[paragraph, [515.0, 3720.5, 2554.0, 52.5], 6DgJrmSD29, 5709909]
[paragraph, [515.0, 3773.0, 2554.0, 52.5], 6DgJrmSD29, 5709909]
[paragraph, [515.0, 3825.5, 2554.0, 52.5], 6DgJrmSD29, 5709909]
[paragraph, [677.0, 3933.0, 2060.0, 52.5], b1d-L4UaHT, 5709909]
[paragraph, [677.0, 3985.5, 2060.0, 52.5], b1d-L4UaHT, 5709909]
[quote, [536.0, 4053.0, 2548.0, 52.5], VcnABu0Brs, 5709909]
[quote, [536.0, 4105.5, 2548.0, 52.5], VcnABu0Brs, 5709909]
[quote, [536.0, 4158.0, 2548.0, 52.5], VcnABu0Brs, 5709909]
[quote, [536.0, 4210.5, 2548.0, 52.5], VcnABu0Brs, 5709909]
[paragraph, [710.0, 4313.0, 2082.0, 52.5], 5E0minJNrt, 5709909]
[paragraph, [710.0, 4365.5, 2082.0, 52.5], 5E0minJNrt, 5709909]
[paragraph, [710.0, 4418.0, 2082.0, 52.5], 5E0minJNrt, 5709909]
[paragraph, [710.0, 4470.5, 2082.0, 52.5], 5E0minJNrt, 5709909]
