[792, 612]
[paragraph, [53.0, 64.0, 230.0, 18.0], shoonya_4sR0V2CGYAINCF, 5654130]
[paragraph, [53.0, 82.0, 230.0, 18.0], shoonya_4sR0V2CGYAINCF, 5654130]
[paragraph, [53.0, 100.0, 230.0, 18.0], shoonya_4sR0V2CGYAINCF, 5654130]
[paragraph, [53.0, 118.0, 230.0, 18.0], shoonya_4sR0V2CGYAINCF, 5654130]
[paragraph, [53.0, 136.0, 230.0, 18.0], shoonya_4sR0V2CGYAINCF, 5654130]
[paragraph, [53.0, 154.0, 230.0, 18.0], shoonya_4sR0V2CGYAINCF, 5654130]
[paragraph, [295.0, 66.0, 234.0, 18.0], shoonya_2sQ12EJQA2CDUR, 5654130]
[paragraph, [295.0, 84.0, 234.0, 18.0], shoonya_2sQ12EJQA2CDUR, 5654130]
[paragraph, [295.0, 102.0, 234.0, 18.0], shoonya_2sQ12EJQA2CDUR, 5654130]
[paragraph, [295.0, 120.0, 234.0, 18.0], shoonya_2sQ12EJQA2CDUR, 5654130]
[paragraph, [295.0, 138.0, 234.0, 18.0], shoonya_2sQ12EJQA2CDUR, 5654130]
[paragraph, [295.0, 156.0, 234.0, 18.0], shoonya_2sQ12EJQA2CDUR, 5654130]
[paragraph, [295.0, 174.0, 234.0, 18.0], shoonya_2sQ12EJQA2CDUR, 5654130]
[paragraph, [295.0, 192.0, 234.0, 18.0], shoonya_2sQ12EJQA2CDUR, 5654130]
[paragraph, [295.0, 210.0, 234.0, 18.0], shoonya_2sQ12EJQA2CDUR, 5654130]
[paragraph, [295.0, 228.0, 234.0, 18.0], shoonya_2sQ12EJQA2CDUR, 5654130]
[paragraph, [56.0, 181.0, 227.0, 18.0], shoonya_3sYLVU65HGCLTQ, 5654130]
[paragraph, [56.0, 199.0, 227.0, 18.0], shoonya_3sYLVU65HGCLTQ, 5654130]
[paragraph, [56.0, 217.0, 227.0, 18.0], shoonya_3sYLVU65HGCLTQ, 5654130]
[paragraph, [56.0, 235.0, 227.0, 18.0], shoonya_3sYLVU65HGCLTQ, 5654130]
[paragraph, [56.0, 253.0, 227.0, 18.0], shoonya_3sYLVU65HGCLTQ, 5654130]
[paragraph, [56.0, 271.0, 227.0, 18.0], shoonya_3sYLVU65HGCLTQ, 5654130]
[paragraph, [56.0, 289.0, 227.0, 18.0], shoonya_3sYLVU65HGCLTQ, 5654130]
[paragraph, [56.0, 307.0, 227.0, 18.0], shoonya_3sYLVU65HGCLTQ, 5654130]
[paragraph, [56.0, 325.0, 227.0, 18.0], shoonya_3sYLVU65HGCLTQ, 5654130]
[paragraph, [56.0, 343.0, 227.0, 18.0], shoonya_3sYLVU65HGCLTQ, 5654130]
[paragraph, [56.0, 361.0, 227.0, 18.0], shoonya_3sYLVU65HGCLTQ, 5654130]
[paragraph, [56.0, 379.0, 227.0, 18.0], shoonya_3sYLVU65HGCLTQ, 5654130]
[paragraph, [56.0, 397.0, 227.0, 18.0], shoonya_3sYLVU65HGCLTQ, 5654130]
[paragraph, [57.0, 429.0, 230.0, 18.0], aFxkEqysMD, 5654130]
[paragraph, [57.0, 447.0, 230.0, 18.0], aFxkEqysMD, 5654130]
[paragraph, [57.0, 465.0, 230.0, 18.0], aFxkEqysMD, 5654130]
[paragraph, [57.0, 483.0, 230.0, 18.0], aFxkEqysMD, 5654130]
[paragraph, [57.0, 501.0, 230.0, 18.0], aFxkEqysMD, 5654130]
[paragraph, [57.0, 519.0, 230.0, 18.0], aFxkEqysMD, 5654130]
[paragraph, [57.0, 537.0, 230.0, 18.0], aFxkEqysMD, 5654130]
[paragraph, [58.0, 572.0, 198.0, 18.0], yeMcvVSnhG, 5654130]
[paragraph, [58.0, 590.0, 198.0, 18.0], yeMcvVSnhG, 5654130]
[paragraph, [58.0, 608.0, 198.0, 18.0], yeMcvVSnhG, 5654130]
[paragraph, [57.0, 645.0, 229.0, 18.0], shoonya_6s1XGVFDY9UNXV, 5654130]
[paragraph, [57.0, 663.0, 229.0, 18.0], shoonya_6s1XGVFDY9UNXV, 5654130]
[paragraph, [57.0, 681.0, 229.0, 18.0], shoonya_6s1XGVFDY9UNXV, 5654130]
[folio, [466.0, 731.0, 58.0, 18.0], Uo-KrWEi7I, 5654130]
