[792, 627]
[folio, [204.0, 142.0, 123.0, 18.0], XNIuwbjfoi, 6459434]
[paragraph, [114.0, 175.0, 311.0, 18.0], shoonya_0sS7AYQPQJ9HZ4, 6459434]
[paragraph, [114.0, 193.0, 311.0, 18.0], shoonya_0sS7AYQPQJ9HZ4, 6459434]
[paragraph, [114.0, 211.0, 311.0, 18.0], shoonya_0sS7AYQPQJ9HZ4, 6459434]
[paragraph, [114.0, 229.0, 311.0, 18.0], shoonya_0sS7AYQPQJ9HZ4, 6459434]
[paragraph, [114.0, 247.0, 311.0, 18.0], shoonya_0sS7AYQPQJ9HZ4, 6459434]
[paragraph, [114.0, 265.0, 311.0, 18.0], shoonya_0sS7AYQPQJ9HZ4, 6459434]
[paragraph, [114.0, 283.0, 311.0, 18.0], shoonya_0sS7AYQPQJ9HZ4, 6459434]
[paragraph, [114.0, 301.0, 311.0, 18.0], shoonya_0sS7AYQPQJ9HZ4, 6459434]
[paragraph, [114.0, 319.0, 311.0, 18.0], shoonya_0sS7AYQPQJ9HZ4, 6459434]
[paragraph, [114.0, 337.0, 311.0, 18.0], shoonya_0sS7AYQPQJ9HZ4, 6459434]
[paragraph, [114.0, 355.0, 311.0, 18.0], shoonya_0sS7AYQPQJ9HZ4, 6459434]
[paragraph, [114.0, 373.0, 311.0, 18.0], shoonya_0sS7AYQPQJ9HZ4, 6459434]
[paragraph, [114.0, 391.0, 311.0, 18.0], shoonya_0sS7AYQPQJ9HZ4, 6459434]
[paragraph, [114.0, 409.0, 311.0, 18.0], shoonya_0sS7AYQPQJ9HZ4, 6459434]
[paragraph, [114.0, 427.0, 311.0, 18.0], shoonya_0sS7AYQPQJ9HZ4, 6459434]
[paragraph, [114.0, 445.0, 311.0, 18.0], shoonya_0sS7AYQPQJ9HZ4, 6459434]
[paragraph, [114.0, 463.0, 311.0, 18.0], shoonya_0sS7AYQPQJ9HZ4, 6459434]
[paragraph, [114.0, 481.0, 311.0, 18.0], shoonya_0sS7AYQPQJ9HZ4, 6459434]
[paragraph, [114.0, 520.0, 315.0, 18.0], shoonya_1sLJICLRVWEO6U, 6459434]
[paragraph, [114.0, 538.0, 315.0, 18.0], shoonya_1sLJICLRVWEO6U, 6459434]
[paragraph, [114.0, 556.0, 315.0, 18.0], shoonya_1sLJICLRVWEO6U, 6459434]
[paragraph, [114.0, 574.0, 315.0, 18.0], shoonya_1sLJICLRVWEO6U, 6459434]
[paragraph, [114.0, 592.0, 315.0, 18.0], shoonya_1sLJICLRVWEO6U, 6459434]
[paragraph, [114.0, 610.0, 315.0, 18.0], shoonya_1sLJICLRVWEO6U, 6459434]
[paragraph, [114.0, 628.0, 315.0, 18.0], shoonya_1sLJICLRVWEO6U, 6459434]
[paragraph, [114.0, 646.0, 315.0, 18.0], shoonya_1sLJICLRVWEO6U, 6459434]
