[3509, 2482]
[folio, [877.0, 210.0, 482.0, 52.5], shoonya_4sCPO4WWWHFT9H, 5691604]
[folio, [877.0, 262.5, 482.0, 52.5], shoonya_4sCPO4WWWHFT9H, 5691604]
[paragraph, [172.0, 344.0, 1849.0, 52.5], upVgwqudxn, 5691604]
[paragraph, [172.0, 396.5, 1849.0, 52.5], upVgwqudxn, 5691604]
[paragraph, [172.0, 449.0, 1849.0, 52.5], upVgwqudxn, 5691604]
[paragraph, [172.0, 501.5, 1849.0, 52.5], upVgwqudxn, 5691604]
[paragraph, [235.0, 589.0, 559.0, 52.5], ZKV9EU4zXW, 5691604]
[section-title, [196.0, 839.0, 331.0, 93.0], shoonya_1sF0OYCIW1WAVU, 5691604]
[paragraph, [188.0, 963.0, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1015.5, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1068.0, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1120.5, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1173.0, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1225.5, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1278.0, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1330.5, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1383.0, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1435.5, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1488.0, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1540.5, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1593.0, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1645.5, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1698.0, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1750.5, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1803.0, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1855.5, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1908.0, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 1960.5, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 2013.0, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 2065.5, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 2118.0, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 2170.5, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 2223.0, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [188.0, 2275.5, 1834.0, 52.5], shoonya_0sIW0NV6EDDXSN, 5691604]
[paragraph, [187.0, 2377.0, 1799.0, 52.5], shoonya_3sH28G4VQGU7OZ, 5691604]
[paragraph, [187.0, 2429.5, 1799.0, 52.5], shoonya_3sH28G4VQGU7OZ, 5691604]
[paragraph, [187.0, 2482.0, 1799.0, 52.5], shoonya_3sH28G4VQGU7OZ, 5691604]
[paragraph, [187.0, 2534.5, 1799.0, 52.5], shoonya_3sH28G4VQGU7OZ, 5691604]
[paragraph, [187.0, 2587.0, 1799.0, 52.5], shoonya_3sH28G4VQGU7OZ, 5691604]
[paragraph, [187.0, 2639.5, 1799.0, 52.5], shoonya_3sH28G4VQGU7OZ, 5691604]
[paragraph, [187.0, 2692.0, 1799.0, 52.5], shoonya_3sH28G4VQGU7OZ, 5691604]
[paragraph, [162.0, 2771.0, 1837.0, 52.5], y8f52YsK4E, 5691604]
[paragraph, [162.0, 2823.5, 1837.0, 52.5], y8f52YsK4E, 5691604]
[paragraph, [162.0, 2876.0, 1837.0, 52.5], y8f52YsK4E, 5691604]
[paragraph, [162.0, 2928.5, 1837.0, 52.5], y8f52YsK4E, 5691604]
[paragraph, [162.0, 2981.0, 1837.0, 52.5], y8f52YsK4E, 5691604]
[paragraph, [162.0, 3033.5, 1837.0, 52.5], y8f52YsK4E, 5691604]
[paragraph, [162.0, 3086.0, 1837.0, 52.5], y8f52YsK4E, 5691604]
[paragraph, [162.0, 3138.5, 1837.0, 52.5], y8f52YsK4E, 5691604]
[paragraph, [162.0, 3191.0, 1837.0, 52.5], y8f52YsK4E, 5691604]
[paragraph, [162.0, 3243.5, 1837.0, 52.5], y8f52YsK4E, 5691604]
[paragraph, [162.0, 3296.0, 1837.0, 52.5], y8f52YsK4E, 5691604]
