[792, 612]
[contact-info, [99.0, 64.0, 265.0, 18.0], 0DJpl0VP4y, 5743689]
[contact-info, [99.0, 82.0, 265.0, 18.0], 0DJpl0VP4y, 5743689]
[paragraph, [96.0, 217.0, 440.0, 18.0], shoonya_0sRW3Y76EZYOKL, 5743689]
[paragraph, [96.0, 235.0, 440.0, 18.0], shoonya_0sRW3Y76EZYOKL, 5743689]
[paragraph, [96.0, 253.0, 440.0, 18.0], shoonya_0sRW3Y76EZYOKL, 5743689]
[paragraph, [96.0, 271.0, 440.0, 18.0], shoonya_0sRW3Y76EZYOKL, 5743689]
[paragraph, [96.0, 289.0, 440.0, 18.0], shoonya_0sRW3Y76EZYOKL, 5743689]
[paragraph, [96.0, 307.0, 440.0, 18.0], shoonya_0sRW3Y76EZYOKL, 5743689]
[paragraph, [96.0, 325.0, 440.0, 18.0], shoonya_0sRW3Y76EZYOKL, 5743689]
[paragraph, [96.0, 343.0, 440.0, 18.0], shoonya_0sRW3Y76EZYOKL, 5743689]
[paragraph, [96.0, 361.0, 440.0, 18.0], shoonya_0sRW3Y76EZYOKL, 5743689]
[paragraph, [96.0, 379.0, 440.0, 18.0], shoonya_0sRW3Y76EZYOKL, 5743689]
[paragraph, [96.0, 397.0, 440.0, 18.0], shoonya_0sRW3Y76EZYOKL, 5743689]
[paragraph, [96.0, 415.0, 440.0, 18.0], shoonya_0sRW3Y76EZYOKL, 5743689]
[paragraph, [96.0, 433.0, 440.0, 18.0], shoonya_0sRW3Y76EZYOKL, 5743689]
[paragraph, [96.0, 451.0, 440.0, 18.0], shoonya_0sRW3Y76EZYOKL, 5743689]
