[1754, 1241]
[ordered-list, [241.0, 99.0, 941.0, 36.0], shoonya_0sC32XKIRJ7989, 5728402]
[ordered-list, [241.0, 135.0, 941.0, 36.0], shoonya_0sC32XKIRJ7989, 5728402]
[ordered-list, [241.0, 171.0, 941.0, 36.0], shoonya_0sC32XKIRJ7989, 5728402]
[ordered-list, [241.0, 207.0, 941.0, 36.0], shoonya_0sC32XKIRJ7989, 5728402]
[ordered-list, [241.0, 243.0, 941.0, 36.0], shoonya_0sC32XKIRJ7989, 5728402]
[ordered-list, [241.0, 279.0, 941.0, 36.0], shoonya_0sC32XKIRJ7989, 5728402]
[ordered-list, [241.0, 315.0, 941.0, 36.0], shoonya_0sC32XKIRJ7989, 5728402]
[ordered-list, [241.0, 351.0, 941.0, 36.0], shoonya_0sC32XKIRJ7989, 5728402]
[ordered-list, [241.0, 387.0, 941.0, 36.0], shoonya_0sC32XKIRJ7989, 5728402]
[paragraph, [245.0, 490.0, 946.0, 36.0], aNNC6nsecF, 5728402]
[paragraph, [245.0, 526.0, 946.0, 36.0], aNNC6nsecF, 5728402]
[paragraph, [245.0, 562.0, 946.0, 36.0], aNNC6nsecF, 5728402]
[paragraph, [245.0, 598.0, 946.0, 36.0], aNNC6nsecF, 5728402]
[paragraph, [245.0, 634.0, 946.0, 36.0], aNNC6nsecF, 5728402]
[paragraph, [245.0, 670.0, 946.0, 36.0], aNNC6nsecF, 5728402]
[paragraph, [245.0, 706.0, 946.0, 36.0], aNNC6nsecF, 5728402]
[paragraph, [245.0, 742.0, 946.0, 36.0], aNNC6nsecF, 5728402]
[paragraph, [245.0, 778.0, 946.0, 36.0], aNNC6nsecF, 5728402]
[paragraph, [245.0, 814.0, 946.0, 36.0], aNNC6nsecF, 5728402]
[paragraph, [243.0, 904.0, 930.0, 36.0], x3ZdF2PPVq, 5728402]
[paragraph, [243.0, 940.0, 930.0, 36.0], x3ZdF2PPVq, 5728402]
[paragraph, [243.0, 976.0, 930.0, 36.0], x3ZdF2PPVq, 5728402]
[paragraph, [243.0, 1012.0, 930.0, 36.0], x3ZdF2PPVq, 5728402]
[paragraph, [243.0, 1048.0, 930.0, 36.0], x3ZdF2PPVq, 5728402]
[paragraph, [243.0, 1084.0, 930.0, 36.0], x3ZdF2PPVq, 5728402]
[paragraph, [249.0, 1200.0, 927.0, 36.0], 1mz04Ky7I2, 5728402]
[paragraph, [249.0, 1236.0, 927.0, 36.0], 1mz04Ky7I2, 5728402]
[paragraph, [249.0, 1272.0, 927.0, 36.0], 1mz04Ky7I2, 5728402]
[paragraph, [249.0, 1308.0, 927.0, 36.0], 1mz04Ky7I2, 5728402]
[paragraph, [249.0, 1344.0, 927.0, 36.0], 1mz04Ky7I2, 5728402]
[paragraph, [249.0, 1380.0, 927.0, 36.0], 1mz04Ky7I2, 5728402]
[paragraph, [249.0, 1416.0, 927.0, 36.0], 1mz04Ky7I2, 5728402]
[paragraph, [249.0, 1452.0, 927.0, 36.0], 1mz04Ky7I2, 5728402]
[paragraph, [249.0, 1488.0, 927.0, 36.0], 1mz04Ky7I2, 5728402]
