[3508, 2481]
[contact-info, [677.0, 96.0, 1106.0, 52.5], _TaNXDuIsp, 6490560]
[contact-info, [677.0, 148.5, 1106.0, 52.5], _TaNXDuIsp, 6490560]
[contact-info, [702.0, 478.0, 1066.0, 52.5], 050eEsdXFg, 6490560]
[contact-info, [1461.0, 684.0, 820.0, 52.5], bDTqr_wodd, 6490560]
[contact-info, [1461.0, 736.5, 820.0, 52.5], bDTqr_wodd, 6490560]
[contact-info, [1461.0, 789.0, 820.0, 52.5], bDTqr_wodd, 6490560]
[headline, [1075.0, 908.0, 320.0, 52.5], 34nbHTp0qO, 6490560]
[headline, [1075.0, 960.5, 320.0, 52.5], 34nbHTp0qO, 6490560]
[dateline, [208.0, 1265.0, 429.0, 52.5], hv0VlHfeid, 6490560]
[paragraph, [211.0, 1514.0, 481.0, 52.5], AMbAP9s9x9, 6490560]
[paragraph, [198.0, 1617.0, 2101.0, 52.5], XDGb7TSsL7, 6490560]
[paragraph, [198.0, 1669.5, 2101.0, 52.5], XDGb7TSsL7, 6490560]
[paragraph, [198.0, 1722.0, 2101.0, 52.5], XDGb7TSsL7, 6490560]
[paragraph, [198.0, 1774.5, 2101.0, 52.5], XDGb7TSsL7, 6490560]
[paragraph, [198.0, 1827.0, 2101.0, 52.5], XDGb7TSsL7, 6490560]
[paragraph, [198.0, 1879.5, 2101.0, 52.5], XDGb7TSsL7, 6490560]
[paragraph, [208.0, 1993.0, 2070.0, 52.5], wduXjiswD2, 6490560]
[paragraph, [208.0, 2045.5, 2070.0, 52.5], wduXjiswD2, 6490560]
[paragraph, [208.0, 2098.0, 2070.0, 52.5], wduXjiswD2, 6490560]
[paragraph, [208.0, 2150.5, 2070.0, 52.5], wduXjiswD2, 6490560]
[paragraph, [208.0, 2203.0, 2070.0, 52.5], wduXjiswD2, 6490560]
[paragraph, [208.0, 2255.5, 2070.0, 52.5], wduXjiswD2, 6490560]
[paragraph, [208.0, 2308.0, 2070.0, 52.5], wduXjiswD2, 6490560]
[paragraph, [208.0, 2360.5, 2070.0, 52.5], wduXjiswD2, 6490560]
[paragraph, [208.0, 2413.0, 2070.0, 52.5], wduXjiswD2, 6490560]
[paragraph, [208.0, 2465.5, 2070.0, 52.5], wduXjiswD2, 6490560]
[paragraph, [208.0, 2518.0, 2070.0, 52.5], wduXjiswD2, 6490560]
[sub-section-title, [208.0, 2898.0, 758.0, 73.5], _HydnhSBaA, 6490560]
[paragraph, [192.0, 3016.0, 2104.0, 52.5], SSN_4F91n8, 6490560]
[paragraph, [192.0, 3068.5, 2104.0, 52.5], SSN_4F91n8, 6490560]
[sub-section-title, [202.0, 3221.0, 746.0, 73.5], z8DnZW-uI3, 6490560]
[paragraph, [202.0, 3327.0, 1165.0, 52.5], y_yiEoRDtd, 6490560]
