[1320, 1176]
[folio, [899.0, 69.0, 197.0, 18.0], -yP2-2Q2PD, 5694649]
[folio, [899.0, 87.0, 197.0, 18.0], -yP2-2Q2PD, 5694649]
[folio, [899.0, 105.0, 197.0, 18.0], -yP2-2Q2PD, 5694649]
[folio, [899.0, 123.0, 197.0, 18.0], -yP2-2Q2PD, 5694649]
[folio, [899.0, 141.0, 197.0, 18.0], -yP2-2Q2PD, 5694649]
[folio, [899.0, 159.0, 197.0, 18.0], -yP2-2Q2PD, 5694649]
[folio, [86.0, 191.0, 634.0, 18.0], shoonya_5sZQK3C34ORHOD, 5694649]
[folio, [86.0, 209.0, 634.0, 18.0], shoonya_5sZQK3C34ORHOD, 5694649]
[folio, [86.0, 227.0, 634.0, 18.0], shoonya_5sZQK3C34ORHOD, 5694649]
[folio, [86.0, 245.0, 634.0, 18.0], shoonya_5sZQK3C34ORHOD, 5694649]
[folio, [86.0, 263.0, 634.0, 18.0], shoonya_5sZQK3C34ORHOD, 5694649]
[folio, [86.0, 281.0, 634.0, 18.0], shoonya_5sZQK3C34ORHOD, 5694649]
[folio, [86.0, 299.0, 634.0, 18.0], shoonya_5sZQK3C34ORHOD, 5694649]
[folio, [86.0, 317.0, 634.0, 18.0], shoonya_5sZQK3C34ORHOD, 5694649]
[folio, [86.0, 335.0, 634.0, 18.0], shoonya_5sZQK3C34ORHOD, 5694649]
[headline, [752.0, 210.0, 342.0, 25.5], P-UEk7VuE6, 5694649]
[headline, [752.0, 235.5, 342.0, 25.5], P-UEk7VuE6, 5694649]
[author, [822.0, 265.0, 154.0, 18.0], QPtbqAJJKK, 5694649]
[quote, [757.0, 310.0, 325.0, 18.0], l4x92reB3M, 5694649]
[quote, [757.0, 328.0, 325.0, 18.0], l4x92reB3M, 5694649]
[quote, [757.0, 346.0, 325.0, 18.0], l4x92reB3M, 5694649]
[quote, [757.0, 364.0, 325.0, 18.0], l4x92reB3M, 5694649]
[quote, [757.0, 382.0, 325.0, 18.0], l4x92reB3M, 5694649]
[quote, [757.0, 400.0, 325.0, 18.0], l4x92reB3M, 5694649]
[quote, [757.0, 418.0, 325.0, 18.0], l4x92reB3M, 5694649]
[quote, [757.0, 436.0, 325.0, 18.0], l4x92reB3M, 5694649]
[quote, [757.0, 454.0, 325.0, 18.0], l4x92reB3M, 5694649]
[quote, [757.0, 472.0, 325.0, 18.0], l4x92reB3M, 5694649]
[quote, [757.0, 490.0, 325.0, 18.0], l4x92reB3M, 5694649]
[quote, [757.0, 508.0, 325.0, 18.0], l4x92reB3M, 5694649]
[author, [353.0, 371.0, 163.0, 18.0], bWym5moeAi, 5694649]
[author, [353.0, 389.0, 163.0, 18.0], bWym5moeAi, 5694649]
