[1164, 755]
[chapter-title, [142.0, 278.0, 484.0, 30.0], shoonya_2s0D6SD4XZRAY1, 5692018]
[chapter-title, [142.0, 308.0, 484.0, 30.0], shoonya_2s0D6SD4XZRAY1, 5692018]
[paragraph, [61.0, 383.0, 628.0, 18.0], shoonya_0sMYOKE8ZYAV8M, 5692018]
[paragraph, [61.0, 401.0, 628.0, 18.0], shoonya_0sMYOKE8ZYAV8M, 5692018]
[paragraph, [61.0, 419.0, 628.0, 18.0], shoonya_0sMYOKE8ZYAV8M, 5692018]
[paragraph, [61.0, 437.0, 628.0, 18.0], shoonya_0sMYOKE8ZYAV8M, 5692018]
[paragraph, [61.0, 455.0, 628.0, 18.0], shoonya_0sMYOKE8ZYAV8M, 5692018]
[paragraph, [61.0, 473.0, 628.0, 18.0], shoonya_0sMYOKE8ZYAV8M, 5692018]
[paragraph, [61.0, 491.0, 628.0, 18.0], shoonya_0sMYOKE8ZYAV8M, 5692018]
[paragraph, [61.0, 509.0, 628.0, 18.0], shoonya_0sMYOKE8ZYAV8M, 5692018]
[paragraph, [61.0, 527.0, 628.0, 18.0], shoonya_0sMYOKE8ZYAV8M, 5692018]
[paragraph, [61.0, 545.0, 628.0, 18.0], shoonya_0sMYOKE8ZYAV8M, 5692018]
[paragraph, [61.0, 563.0, 628.0, 18.0], shoonya_0sMYOKE8ZYAV8M, 5692018]
[paragraph, [60.0, 599.0, 630.0, 18.0], shoonya_4s3JFYZJBWO5HR, 5692018]
[paragraph, [60.0, 617.0, 630.0, 18.0], shoonya_4s3JFYZJBWO5HR, 5692018]
[paragraph, [60.0, 635.0, 630.0, 18.0], shoonya_4s3JFYZJBWO5HR, 5692018]
[paragraph, [60.0, 653.0, 630.0, 18.0], shoonya_4s3JFYZJBWO5HR, 5692018]
[paragraph, [60.0, 671.0, 630.0, 18.0], shoonya_4s3JFYZJBWO5HR, 5692018]
[paragraph, [58.0, 702.0, 631.0, 18.0], shoonya_5sSY2115HRNVZ9, 5692018]
[paragraph, [58.0, 720.0, 631.0, 18.0], shoonya_5sSY2115HRNVZ9, 5692018]
[paragraph, [58.0, 738.0, 631.0, 18.0], shoonya_5sSY2115HRNVZ9, 5692018]
[paragraph, [58.0, 756.0, 631.0, 18.0], shoonya_5sSY2115HRNVZ9, 5692018]
[paragraph, [58.0, 774.0, 631.0, 18.0], shoonya_5sSY2115HRNVZ9, 5692018]
[paragraph, [58.0, 792.0, 631.0, 18.0], shoonya_5sSY2115HRNVZ9, 5692018]
[paragraph, [59.0, 811.0, 630.0, 18.0], nqCyjxqu5t, 5692018]
[paragraph, [59.0, 829.0, 630.0, 18.0], nqCyjxqu5t, 5692018]
[paragraph, [59.0, 847.0, 630.0, 18.0], nqCyjxqu5t, 5692018]
[paragraph, [59.0, 865.0, 630.0, 18.0], nqCyjxqu5t, 5692018]
