[1951, 1219]
[folio, [796.0, 123.0, 205.0, 36.0], shoonya_0s6T89R25102EG, 5682953]
[paragraph, [129.0, 202.0, 963.0, 36.0], 7_j7Fg5Ojc, 5682953]
[paragraph, [129.0, 238.0, 963.0, 36.0], 7_j7Fg5Ojc, 5682953]
[paragraph, [129.0, 274.0, 963.0, 36.0], 7_j7Fg5Ojc, 5682953]
[paragraph, [129.0, 310.0, 963.0, 36.0], 7_j7Fg5Ojc, 5682953]
[paragraph, [129.0, 346.0, 963.0, 36.0], 7_j7Fg5Ojc, 5682953]
[paragraph, [129.0, 382.0, 963.0, 36.0], 7_j7Fg5Ojc, 5682953]
[paragraph, [127.0, 448.0, 966.0, 36.0], s7sTSztYS7, 5682953]
[paragraph, [127.0, 484.0, 966.0, 36.0], s7sTSztYS7, 5682953]
[paragraph, [127.0, 520.0, 966.0, 36.0], s7sTSztYS7, 5682953]
[paragraph, [127.0, 556.0, 966.0, 36.0], s7sTSztYS7, 5682953]
[paragraph, [127.0, 592.0, 966.0, 36.0], s7sTSztYS7, 5682953]
[paragraph, [127.0, 628.0, 966.0, 36.0], s7sTSztYS7, 5682953]
[paragraph, [127.0, 664.0, 966.0, 36.0], s7sTSztYS7, 5682953]
[paragraph, [127.0, 700.0, 966.0, 36.0], s7sTSztYS7, 5682953]
[paragraph, [127.0, 736.0, 966.0, 36.0], s7sTSztYS7, 5682953]
[paragraph, [127.0, 772.0, 966.0, 36.0], s7sTSztYS7, 5682953]
[paragraph, [127.0, 808.0, 966.0, 36.0], s7sTSztYS7, 5682953]
[paragraph, [123.0, 858.0, 969.0, 36.0], QsJcWLKjG1, 5682953]
[paragraph, [123.0, 894.0, 969.0, 36.0], QsJcWLKjG1, 5682953]
[paragraph, [123.0, 930.0, 969.0, 36.0], QsJcWLKjG1, 5682953]
[paragraph, [123.0, 966.0, 969.0, 36.0], QsJcWLKjG1, 5682953]
[paragraph, [123.0, 1002.0, 969.0, 36.0], QsJcWLKjG1, 5682953]
[paragraph, [123.0, 1038.0, 969.0, 36.0], QsJcWLKjG1, 5682953]
[paragraph, [123.0, 1074.0, 969.0, 36.0], QsJcWLKjG1, 5682953]
[paragraph, [123.0, 1110.0, 969.0, 36.0], QsJcWLKjG1, 5682953]
[paragraph, [123.0, 1146.0, 969.0, 36.0], QsJcWLKjG1, 5682953]
[paragraph, [121.0, 1208.0, 967.0, 36.0], QjQ3QLt7NA, 5682953]
[paragraph, [121.0, 1244.0, 967.0, 36.0], QjQ3QLt7NA, 5682953]
[paragraph, [121.0, 1280.0, 967.0, 36.0], QjQ3QLt7NA, 5682953]
[paragraph, [121.0, 1316.0, 967.0, 36.0], QjQ3QLt7NA, 5682953]
[paragraph, [121.0, 1352.0, 967.0, 36.0], QjQ3QLt7NA, 5682953]
[paragraph, [121.0, 1388.0, 967.0, 36.0], QjQ3QLt7NA, 5682953]
[paragraph, [121.0, 1424.0, 967.0, 36.0], QjQ3QLt7NA, 5682953]
[paragraph, [120.0, 1495.0, 969.0, 36.0], C_x7k5qoEf, 5682953]
[paragraph, [120.0, 1531.0, 969.0, 36.0], C_x7k5qoEf, 5682953]
[paragraph, [120.0, 1567.0, 969.0, 36.0], C_x7k5qoEf, 5682953]
[paragraph, [120.0, 1614.0, 969.0, 36.0], buGi6duvkJ, 5682953]
[paragraph, [120.0, 1650.0, 969.0, 36.0], buGi6duvkJ, 5682953]
[paragraph, [120.0, 1686.0, 969.0, 36.0], buGi6duvkJ, 5682953]
[paragraph, [120.0, 1722.0, 969.0, 36.0], buGi6duvkJ, 5682953]
[paragraph, [120.0, 1758.0, 969.0, 36.0], buGi6duvkJ, 5682953]
[paragraph, [120.0, 1794.0, 969.0, 36.0], buGi6duvkJ, 5682953]
