[2348, 1617]
[paragraph, [294.0, 194.0, 1174.0, 36.0], shoonya_2s6OM63HAQ1NEF, 5734457]
[paragraph, [294.0, 230.0, 1174.0, 36.0], shoonya_2s6OM63HAQ1NEF, 5734457]
[paragraph, [294.0, 266.0, 1174.0, 36.0], shoonya_2s6OM63HAQ1NEF, 5734457]
[paragraph, [294.0, 302.0, 1174.0, 36.0], shoonya_2s6OM63HAQ1NEF, 5734457]
[paragraph, [294.0, 338.0, 1174.0, 36.0], shoonya_2s6OM63HAQ1NEF, 5734457]
[paragraph, [294.0, 374.0, 1174.0, 36.0], shoonya_2s6OM63HAQ1NEF, 5734457]
[paragraph, [294.0, 410.0, 1174.0, 36.0], shoonya_2s6OM63HAQ1NEF, 5734457]
[paragraph, [294.0, 446.0, 1174.0, 36.0], shoonya_2s6OM63HAQ1NEF, 5734457]
[paragraph, [294.0, 482.0, 1174.0, 36.0], shoonya_2s6OM63HAQ1NEF, 5734457]
[paragraph, [294.0, 518.0, 1174.0, 36.0], shoonya_2s6OM63HAQ1NEF, 5734457]
[paragraph, [294.0, 554.0, 1174.0, 36.0], shoonya_2s6OM63HAQ1NEF, 5734457]
[paragraph, [290.0, 651.0, 1178.0, 36.0], shoonya_1sDK5SOICADELG, 5734457]
[paragraph, [290.0, 687.0, 1178.0, 36.0], shoonya_1sDK5SOICADELG, 5734457]
[paragraph, [290.0, 723.0, 1178.0, 36.0], shoonya_1sDK5SOICADELG, 5734457]
[paragraph, [290.0, 759.0, 1178.0, 36.0], shoonya_1sDK5SOICADELG, 5734457]
[paragraph, [290.0, 795.0, 1178.0, 36.0], shoonya_1sDK5SOICADELG, 5734457]
[paragraph, [290.0, 831.0, 1178.0, 36.0], shoonya_1sDK5SOICADELG, 5734457]
[paragraph, [290.0, 867.0, 1178.0, 36.0], shoonya_1sDK5SOICADELG, 5734457]
[paragraph, [290.0, 903.0, 1178.0, 36.0], shoonya_1sDK5SOICADELG, 5734457]
[paragraph, [290.0, 939.0, 1178.0, 36.0], shoonya_1sDK5SOICADELG, 5734457]
[paragraph, [290.0, 975.0, 1178.0, 36.0], shoonya_1sDK5SOICADELG, 5734457]
[paragraph, [290.0, 1011.0, 1178.0, 36.0], shoonya_1sDK5SOICADELG, 5734457]
[paragraph, [290.0, 1047.0, 1178.0, 36.0], shoonya_1sDK5SOICADELG, 5734457]
[paragraph, [290.0, 1083.0, 1178.0, 36.0], shoonya_1sDK5SOICADELG, 5734457]
[section-title, [292.0, 1172.0, 521.0, 52.5], shoonya_5sHB3PYU9K13BR, 5734457]
[paragraph, [293.0, 1270.0, 1171.0, 36.0], shoonya_4sNRIFDULM7XP0, 5734457]
[paragraph, [293.0, 1306.0, 1171.0, 36.0], shoonya_4sNRIFDULM7XP0, 5734457]
[paragraph, [293.0, 1342.0, 1171.0, 36.0], shoonya_4sNRIFDULM7XP0, 5734457]
[paragraph, [285.0, 1426.0, 1184.0, 36.0], shoonya_0s9U7WELWBNS9O, 5734457]
[paragraph, [285.0, 1462.0, 1184.0, 36.0], shoonya_0s9U7WELWBNS9O, 5734457]
[paragraph, [285.0, 1498.0, 1184.0, 36.0], shoonya_0s9U7WELWBNS9O, 5734457]
[paragraph, [285.0, 1534.0, 1184.0, 36.0], shoonya_0s9U7WELWBNS9O, 5734457]
[paragraph, [285.0, 1570.0, 1184.0, 36.0], shoonya_0s9U7WELWBNS9O, 5734457]
[paragraph, [285.0, 1606.0, 1184.0, 36.0], shoonya_0s9U7WELWBNS9O, 5734457]
[paragraph, [285.0, 1642.0, 1184.0, 36.0], shoonya_0s9U7WELWBNS9O, 5734457]
[paragraph, [285.0, 1678.0, 1184.0, 36.0], shoonya_0s9U7WELWBNS9O, 5734457]
[paragraph, [285.0, 1714.0, 1184.0, 36.0], shoonya_0s9U7WELWBNS9O, 5734457]
[paragraph, [285.0, 1750.0, 1184.0, 36.0], shoonya_0s9U7WELWBNS9O, 5734457]
[paragraph, [285.0, 1786.0, 1184.0, 36.0], shoonya_0s9U7WELWBNS9O, 5734457]
[paragraph, [285.0, 1822.0, 1184.0, 36.0], shoonya_0s9U7WELWBNS9O, 5734457]
[paragraph, [285.0, 1858.0, 1184.0, 36.0], shoonya_0s9U7WELWBNS9O, 5734457]
