[842, 596]
[folio, [503.0, 67.0, 66.0, 18.0], Cv70FmtPkm, 6461583]
[contact-info, [30.0, 130.0, 326.0, 18.0], shoonya_0sCZLJ8XU5LQ4C, 6461583]
[contact-info, [30.0, 148.0, 326.0, 18.0], shoonya_0sCZLJ8XU5LQ4C, 6461583]
[contact-info, [30.0, 166.0, 326.0, 18.0], shoonya_0sCZLJ8XU5LQ4C, 6461583]
[contact-info, [30.0, 184.0, 326.0, 18.0], shoonya_0sCZLJ8XU5LQ4C, 6461583]
[contact-info, [30.0, 202.0, 326.0, 18.0], shoonya_0sCZLJ8XU5LQ4C, 6461583]
[contact-info, [30.0, 220.0, 326.0, 18.0], shoonya_0sCZLJ8XU5LQ4C, 6461583]
[contact-info, [15.0, 248.0, 368.0, 18.0], T3tMRAqaiD, 6461583]
[contact-info, [15.0, 266.0, 368.0, 18.0], T3tMRAqaiD, 6461583]
[contact-info, [15.0, 284.0, 368.0, 18.0], T3tMRAqaiD, 6461583]
[contact-info, [15.0, 302.0, 368.0, 18.0], T3tMRAqaiD, 6461583]
[contact-info, [15.0, 320.0, 368.0, 18.0], T3tMRAqaiD, 6461583]
[contact-info, [15.0, 338.0, 368.0, 18.0], T3tMRAqaiD, 6461583]
[contact-info, [15.0, 356.0, 368.0, 18.0], T3tMRAqaiD, 6461583]
[contact-info, [21.0, 400.0, 208.0, 18.0], cvOhagSvwQ, 6461583]
[contact-info, [21.0, 418.0, 208.0, 18.0], cvOhagSvwQ, 6461583]
[contact-info, [21.0, 436.0, 208.0, 18.0], cvOhagSvwQ, 6461583]
