[2339, 1656]
[folio, [683.0, 186.0, 300.0, 36.0], ZRSWo5bwz2, 5689078]
[section-title, [548.0, 225.0, 594.0, 52.5], Y2ACj1IoP1, 5689078]
[sidebar, [1229.0, 299.0, 254.0, 36.0], 59OI1bv35E, 5689078]
[unordered-list, [167.0, 357.0, 1215.0, 36.0], 14G1_5fdB4, 5689078]
[unordered-list, [167.0, 393.0, 1215.0, 36.0], 14G1_5fdB4, 5689078]
[unordered-list, [167.0, 429.0, 1215.0, 36.0], 14G1_5fdB4, 5689078]
[unordered-list, [167.0, 465.0, 1215.0, 36.0], 14G1_5fdB4, 5689078]
[unordered-list, [167.0, 501.0, 1215.0, 36.0], 14G1_5fdB4, 5689078]
[unordered-list, [167.0, 537.0, 1215.0, 36.0], 14G1_5fdB4, 5689078]
[unordered-list, [167.0, 573.0, 1215.0, 36.0], 14G1_5fdB4, 5689078]
[unordered-list, [167.0, 609.0, 1215.0, 36.0], 14G1_5fdB4, 5689078]
[unordered-list, [167.0, 645.0, 1215.0, 36.0], 14G1_5fdB4, 5689078]
[sidebar, [1190.0, 361.0, 149.0, 36.0], q50LVnr_Xr, 5689078]
[sidebar, [1190.0, 442.0, 140.0, 36.0], nYSwvzxjNJ, 5689078]
[sidebar, [1194.0, 529.0, 149.0, 36.0], 5FKxs99LjZ, 5689078]
[sidebar, [1190.0, 622.0, 144.0, 36.0], wVx68j2rqT, 5689078]
[reference, [233.0, 790.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 826.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 862.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 898.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 934.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 970.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1006.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1042.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1078.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1114.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1150.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1186.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1222.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1258.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1294.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1330.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1366.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1402.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1438.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1474.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1510.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1546.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1582.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1618.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1654.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1690.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1726.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1762.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1798.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1834.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1870.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1906.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1942.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
[reference, [233.0, 1978.0, 1260.0, 36.0], P-aCgA0bXW, 5689078]
