[690, 512]
[folio, [201.0, 37.0, 107.0, 18.0], 7SW6CGrQXv, 6491612]
[paragraph, [35.0, 60.0, 213.0, 18.0], shoonya_0sNIO6EUJ7JHIA, 6491612]
[paragraph, [35.0, 78.0, 213.0, 18.0], shoonya_0sNIO6EUJ7JHIA, 6491612]
[paragraph, [35.0, 96.0, 213.0, 18.0], shoonya_0sNIO6EUJ7JHIA, 6491612]
[paragraph, [35.0, 114.0, 213.0, 18.0], shoonya_0sNIO6EUJ7JHIA, 6491612]
[paragraph, [257.0, 60.0, 225.0, 18.0], h920y9xSy9, 6491612]
[paragraph, [257.0, 78.0, 225.0, 18.0], h920y9xSy9, 6491612]
[paragraph, [257.0, 96.0, 225.0, 18.0], h920y9xSy9, 6491612]
[paragraph, [257.0, 114.0, 225.0, 18.0], h920y9xSy9, 6491612]
[paragraph, [257.0, 132.0, 225.0, 18.0], h920y9xSy9, 6491612]
[paragraph, [34.0, 140.0, 219.0, 18.0], cWngsbpRo3, 6491612]
[paragraph, [34.0, 158.0, 219.0, 18.0], cWngsbpRo3, 6491612]
[paragraph, [34.0, 176.0, 219.0, 18.0], cWngsbpRo3, 6491612]
[paragraph, [34.0, 194.0, 219.0, 18.0], cWngsbpRo3, 6491612]
[paragraph, [34.0, 212.0, 219.0, 18.0], cWngsbpRo3, 6491612]
[paragraph, [258.0, 158.0, 222.0, 18.0], 2R-7hSUWIK, 6491612]
[paragraph, [258.0, 176.0, 222.0, 18.0], 2R-7hSUWIK, 6491612]
[paragraph, [258.0, 194.0, 222.0, 18.0], 2R-7hSUWIK, 6491612]
[paragraph, [258.0, 212.0, 222.0, 18.0], 2R-7hSUWIK, 6491612]
[paragraph, [258.0, 230.0, 222.0, 18.0], 2R-7hSUWIK, 6491612]
[paragraph, [258.0, 248.0, 222.0, 18.0], 2R-7hSUWIK, 6491612]
[paragraph, [258.0, 266.0, 222.0, 18.0], 2R-7hSUWIK, 6491612]
[paragraph, [258.0, 284.0, 222.0, 18.0], 2R-7hSUWIK, 6491612]
[paragraph, [258.0, 302.0, 222.0, 18.0], 2R-7hSUWIK, 6491612]
[paragraph, [258.0, 320.0, 222.0, 18.0], 2R-7hSUWIK, 6491612]
[paragraph, [258.0, 338.0, 222.0, 18.0], 2R-7hSUWIK, 6491612]
[paragraph, [27.0, 238.0, 223.0, 18.0], _01i43DWlz, 6491612]
[paragraph, [27.0, 256.0, 223.0, 18.0], _01i43DWlz, 6491612]
[paragraph, [27.0, 274.0, 223.0, 18.0], _01i43DWlz, 6491612]
[paragraph, [27.0, 292.0, 223.0, 18.0], _01i43DWlz, 6491612]
[paragraph, [27.0, 310.0, 223.0, 18.0], _01i43DWlz, 6491612]
[paragraph, [27.0, 328.0, 223.0, 18.0], _01i43DWlz, 6491612]
[paragraph, [27.0, 346.0, 223.0, 18.0], _01i43DWlz, 6491612]
[paragraph, [27.0, 364.0, 223.0, 18.0], _01i43DWlz, 6491612]
[paragraph, [27.0, 382.0, 223.0, 18.0], _01i43DWlz, 6491612]
[paragraph, [27.0, 400.0, 223.0, 18.0], _01i43DWlz, 6491612]
[paragraph, [27.0, 418.0, 223.0, 18.0], _01i43DWlz, 6491612]
[paragraph, [27.0, 436.0, 223.0, 18.0], _01i43DWlz, 6491612]
[paragraph, [27.0, 454.0, 223.0, 18.0], _01i43DWlz, 6491612]
[paragraph, [257.0, 364.0, 224.0, 18.0], ASzBycsy6h, 6491612]
[paragraph, [257.0, 382.0, 224.0, 18.0], ASzBycsy6h, 6491612]
[paragraph, [257.0, 400.0, 224.0, 18.0], ASzBycsy6h, 6491612]
[paragraph, [257.0, 418.0, 224.0, 18.0], ASzBycsy6h, 6491612]
[paragraph, [257.0, 436.0, 224.0, 18.0], ASzBycsy6h, 6491612]
[paragraph, [257.0, 454.0, 224.0, 18.0], ASzBycsy6h, 6491612]
[paragraph, [257.0, 472.0, 224.0, 18.0], ASzBycsy6h, 6491612]
[paragraph, [257.0, 490.0, 224.0, 18.0], ASzBycsy6h, 6491612]
[paragraph, [257.0, 508.0, 224.0, 18.0], ASzBycsy6h, 6491612]
[paragraph, [257.0, 526.0, 224.0, 18.0], ASzBycsy6h, 6491612]
[paragraph, [257.0, 544.0, 224.0, 18.0], ASzBycsy6h, 6491612]
[paragraph, [257.0, 562.0, 224.0, 18.0], ASzBycsy6h, 6491612]
[paragraph, [257.0, 580.0, 224.0, 18.0], ASzBycsy6h, 6491612]
[paragraph, [257.0, 598.0, 224.0, 18.0], ASzBycsy6h, 6491612]
[paragraph, [257.0, 616.0, 224.0, 18.0], ASzBycsy6h, 6491612]
[paragraph, [31.0, 478.0, 219.0, 18.0], -3dQL1J5he, 6491612]
[paragraph, [31.0, 496.0, 219.0, 18.0], -3dQL1J5he, 6491612]
[paragraph, [31.0, 514.0, 219.0, 18.0], -3dQL1J5he, 6491612]
[paragraph, [31.0, 532.0, 219.0, 18.0], -3dQL1J5he, 6491612]
[paragraph, [31.0, 550.0, 219.0, 18.0], -3dQL1J5he, 6491612]
[paragraph, [31.0, 568.0, 219.0, 18.0], -3dQL1J5he, 6491612]
[paragraph, [31.0, 586.0, 219.0, 18.0], -3dQL1J5he, 6491612]
[paragraph, [31.0, 604.0, 219.0, 18.0], -3dQL1J5he, 6491612]
