[2180, 1639]
[folio, [1401.0, 184.0, 118.0, 36.0], shoonya_10sP8XY5AHTKVY, 5653848]
[headline, [5.0, 478.0, 1526.0, 67.5], shoonya_7s6IM0X7EM4UOY, 5653848]
[author, [649.0, 595.0, 269.0, 36.0], shoonya_13s0W01F1GFH3R, 5653848]
[paragraph, [12.0, 719.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 755.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 791.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 827.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 863.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 899.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 935.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 971.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1007.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1043.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1079.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1115.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1151.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1187.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1223.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1259.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1295.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1331.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1367.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1403.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1439.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1475.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1511.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1547.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1583.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1619.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1655.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1691.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1727.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1763.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1799.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1835.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[paragraph, [12.0, 1871.0, 772.0, 36.0], shoonya_0sG56K7ROF4BR8, 5653848]
[figure-caption, [1016.0, 746.0, 486.0, 36.0], shoonya_3sCIOOPE5ZB3LE, 5653848]
[figure-caption, [1016.0, 782.0, 486.0, 36.0], shoonya_3sCIOOPE5ZB3LE, 5653848]
[figure-caption, [1016.0, 818.0, 486.0, 36.0], shoonya_3sCIOOPE5ZB3LE, 5653848]
[figure-caption, [1016.0, 854.0, 486.0, 36.0], shoonya_3sCIOOPE5ZB3LE, 5653848]
[figure-caption, [1016.0, 890.0, 486.0, 36.0], shoonya_3sCIOOPE5ZB3LE, 5653848]
[figure-caption, [1016.0, 926.0, 486.0, 36.0], shoonya_3sCIOOPE5ZB3LE, 5653848]
[paragraph, [790.0, 1006.0, 767.0, 36.0], shoonya_1sQD8HMLD6JUYN, 5653848]
[paragraph, [790.0, 1042.0, 767.0, 36.0], shoonya_1sQD8HMLD6JUYN, 5653848]
[paragraph, [790.0, 1078.0, 767.0, 36.0], shoonya_1sQD8HMLD6JUYN, 5653848]
[paragraph, [790.0, 1114.0, 767.0, 36.0], shoonya_1sQD8HMLD6JUYN, 5653848]
