[2339, 1654]
[folio, [90.0, 43.0, 368.0, 36.0], kijIyUH1Ub, 5750479]
[folio, [90.0, 79.0, 368.0, 36.0], kijIyUH1Ub, 5750479]
[paragraph, [95.0, 106.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 142.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 178.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 214.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 250.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 286.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 322.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 358.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 394.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 430.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 466.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 502.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 538.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 574.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 610.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 646.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 682.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 718.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 754.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 790.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 826.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 862.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 898.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 934.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 970.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 1006.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 1042.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [95.0, 1078.0, 1454.0, 36.0], shoonya_0sOVVVQNWN6NNZ, 5750479]
[paragraph, [223.0, 1133.0, 1180.0, 36.0], R_433ywY_V, 5750479]
[paragraph, [223.0, 1169.0, 1180.0, 36.0], R_433ywY_V, 5750479]
[paragraph, [223.0, 1205.0, 1180.0, 36.0], R_433ywY_V, 5750479]
[reference, [980.0, 1285.0, 398.0, 36.0], shoonya_1s5S1HQ1WPCW4L, 5750479]
[paragraph, [84.0, 1347.0, 1454.0, 36.0], shoonya_2s0ZFOA0I6P8FS, 5750479]
[paragraph, [84.0, 1383.0, 1454.0, 36.0], shoonya_2s0ZFOA0I6P8FS, 5750479]
[paragraph, [84.0, 1419.0, 1454.0, 36.0], shoonya_2s0ZFOA0I6P8FS, 5750479]
[paragraph, [84.0, 1455.0, 1454.0, 36.0], shoonya_2s0ZFOA0I6P8FS, 5750479]
[paragraph, [84.0, 1491.0, 1454.0, 36.0], shoonya_2s0ZFOA0I6P8FS, 5750479]
[paragraph, [84.0, 1527.0, 1454.0, 36.0], shoonya_2s0ZFOA0I6P8FS, 5750479]
[paragraph, [84.0, 1563.0, 1454.0, 36.0], shoonya_2s0ZFOA0I6P8FS, 5750479]
[paragraph, [84.0, 1599.0, 1454.0, 36.0], shoonya_2s0ZFOA0I6P8FS, 5750479]
[paragraph, [84.0, 1635.0, 1454.0, 36.0], shoonya_2s0ZFOA0I6P8FS, 5750479]
[paragraph, [84.0, 1671.0, 1454.0, 36.0], shoonya_2s0ZFOA0I6P8FS, 5750479]
[paragraph, [84.0, 1707.0, 1454.0, 36.0], shoonya_2s0ZFOA0I6P8FS, 5750479]
[paragraph, [84.0, 1743.0, 1454.0, 36.0], shoonya_2s0ZFOA0I6P8FS, 5750479]
[paragraph, [84.0, 1779.0, 1454.0, 36.0], shoonya_2s0ZFOA0I6P8FS, 5750479]
[paragraph, [84.0, 1815.0, 1454.0, 36.0], shoonya_2s0ZFOA0I6P8FS, 5750479]
[paragraph, [217.0, 1859.0, 1159.0, 36.0], BrB73wuKNA, 5750479]
[paragraph, [217.0, 1895.0, 1159.0, 36.0], BrB73wuKNA, 5750479]
[paragraph, [217.0, 1931.0, 1159.0, 36.0], BrB73wuKNA, 5750479]
[paragraph, [217.0, 1967.0, 1159.0, 36.0], BrB73wuKNA, 5750479]
[paragraph, [217.0, 2003.0, 1159.0, 36.0], BrB73wuKNA, 5750479]
[reference, [971.0, 2080.0, 401.0, 36.0], shoonya_3sZ97P89F4ZEXH, 5750479]
[paragraph, [165.0, 2132.0, 1372.0, 36.0], 4oqrgJNLkY, 5750479]
[paragraph, [165.0, 2168.0, 1372.0, 36.0], 4oqrgJNLkY, 5750479]
