[1650, 934]
[folio, [349.0, 127.0, 288.0, 36.0], tY0iAIU9lQ, 5765876]
[paragraph, [91.0, 182.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 218.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 254.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 290.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 326.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 362.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 398.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 434.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 470.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 506.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 542.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 578.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 614.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 650.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 686.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 722.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 758.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 794.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 830.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 866.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 902.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 938.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 974.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 1010.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 1046.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 1082.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 1118.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 1154.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 1190.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 1226.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 1262.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 1298.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 1334.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 1370.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 1406.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
[paragraph, [91.0, 1442.0, 815.0, 36.0], shoonya_0sJNX55ZEJL9QJ, 5765876]
