[2339, 1653]
[paragraph, [390.0, 197.0, 1074.0, 36.0], shoonya_3sXKF6YRM7T526, 5733488]
[paragraph, [390.0, 233.0, 1074.0, 36.0], shoonya_3sXKF6YRM7T526, 5733488]
[paragraph, [390.0, 269.0, 1074.0, 36.0], shoonya_3sXKF6YRM7T526, 5733488]
[paragraph, [390.0, 305.0, 1074.0, 36.0], shoonya_3sXKF6YRM7T526, 5733488]
[paragraph, [388.0, 374.0, 1075.0, 36.0], shoonya_2sMHIC235J918Y, 5733488]
[paragraph, [388.0, 410.0, 1075.0, 36.0], shoonya_2sMHIC235J918Y, 5733488]
[paragraph, [388.0, 446.0, 1075.0, 36.0], shoonya_2sMHIC235J918Y, 5733488]
[paragraph, [388.0, 482.0, 1075.0, 36.0], shoonya_2sMHIC235J918Y, 5733488]
[paragraph, [388.0, 518.0, 1075.0, 36.0], shoonya_2sMHIC235J918Y, 5733488]
[paragraph, [388.0, 554.0, 1075.0, 36.0], shoonya_2sMHIC235J918Y, 5733488]
[paragraph, [388.0, 590.0, 1075.0, 36.0], shoonya_2sMHIC235J918Y, 5733488]
[paragraph, [388.0, 626.0, 1075.0, 36.0], shoonya_2sMHIC235J918Y, 5733488]
[paragraph, [388.0, 662.0, 1075.0, 36.0], shoonya_2sMHIC235J918Y, 5733488]
[paragraph, [388.0, 698.0, 1075.0, 36.0], shoonya_2sMHIC235J918Y, 5733488]
[paragraph, [388.0, 734.0, 1075.0, 36.0], shoonya_2sMHIC235J918Y, 5733488]
[paragraph, [389.0, 775.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 811.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 847.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 883.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 919.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 955.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 991.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 1027.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 1063.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 1099.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 1135.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 1171.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 1207.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 1243.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 1279.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 1315.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 1351.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 1387.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 1423.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 1459.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [389.0, 1495.0, 1071.0, 36.0], shoonya_0sNZ4R2XWA6Q9R, 5733488]
[paragraph, [390.0, 1536.0, 1069.0, 36.0], shoonya_1s1ZV0YJZ3EVML, 5733488]
[paragraph, [390.0, 1572.0, 1069.0, 36.0], shoonya_1s1ZV0YJZ3EVML, 5733488]
[paragraph, [390.0, 1608.0, 1069.0, 36.0], shoonya_1s1ZV0YJZ3EVML, 5733488]
[paragraph, [390.0, 1644.0, 1069.0, 36.0], shoonya_1s1ZV0YJZ3EVML, 5733488]
[paragraph, [390.0, 1680.0, 1069.0, 36.0], shoonya_1s1ZV0YJZ3EVML, 5733488]
[paragraph, [390.0, 1716.0, 1069.0, 36.0], shoonya_1s1ZV0YJZ3EVML, 5733488]
