[1050, 693]
[folio, [517.0, 84.0, 95.0, 18.0], ToYzWF3uui, 5702687]
[folio, [517.0, 102.0, 95.0, 18.0], ToYzWF3uui, 5702687]
[paragraph, [82.0, 132.0, 527.0, 18.0], pkIyhiet7W, 5702687]
[paragraph, [82.0, 150.0, 527.0, 18.0], pkIyhiet7W, 5702687]
[paragraph, [82.0, 168.0, 527.0, 18.0], pkIyhiet7W, 5702687]
[paragraph, [82.0, 186.0, 527.0, 18.0], pkIyhiet7W, 5702687]
[paragraph, [82.0, 204.0, 527.0, 18.0], pkIyhiet7W, 5702687]
[paragraph, [82.0, 222.0, 527.0, 18.0], pkIyhiet7W, 5702687]
[paragraph, [82.0, 240.0, 527.0, 18.0], pkIyhiet7W, 5702687]
[paragraph, [82.0, 258.0, 527.0, 18.0], pkIyhiet7W, 5702687]
[paragraph, [82.0, 276.0, 527.0, 18.0], pkIyhiet7W, 5702687]
[paragraph, [84.0, 310.0, 523.0, 18.0], shoonya_0sLXOW8HF9TQ6I, 5702687]
[paragraph, [84.0, 328.0, 523.0, 18.0], shoonya_0sLXOW8HF9TQ6I, 5702687]
[paragraph, [84.0, 346.0, 523.0, 18.0], shoonya_0sLXOW8HF9TQ6I, 5702687]
[paragraph, [84.0, 364.0, 523.0, 18.0], shoonya_0sLXOW8HF9TQ6I, 5702687]
[paragraph, [84.0, 382.0, 523.0, 18.0], shoonya_0sLXOW8HF9TQ6I, 5702687]
[paragraph, [84.0, 400.0, 523.0, 18.0], shoonya_0sLXOW8HF9TQ6I, 5702687]
[paragraph, [84.0, 418.0, 523.0, 18.0], shoonya_0sLXOW8HF9TQ6I, 5702687]
[paragraph, [84.0, 436.0, 523.0, 18.0], shoonya_0sLXOW8HF9TQ6I, 5702687]
[paragraph, [84.0, 454.0, 523.0, 18.0], shoonya_0sLXOW8HF9TQ6I, 5702687]
[paragraph, [84.0, 472.0, 523.0, 18.0], shoonya_0sLXOW8HF9TQ6I, 5702687]
[paragraph, [84.0, 490.0, 523.0, 18.0], shoonya_0sLXOW8HF9TQ6I, 5702687]
[paragraph, [84.0, 508.0, 523.0, 18.0], shoonya_0sLXOW8HF9TQ6I, 5702687]
[paragraph, [84.0, 526.0, 523.0, 18.0], shoonya_0sLXOW8HF9TQ6I, 5702687]
[paragraph, [84.0, 544.0, 523.0, 18.0], shoonya_0sLXOW8HF9TQ6I, 5702687]
[paragraph, [84.0, 562.0, 523.0, 18.0], shoonya_0sLXOW8HF9TQ6I, 5702687]
[paragraph, [84.0, 580.0, 523.0, 18.0], shoonya_0sLXOW8HF9TQ6I, 5702687]
