[2339, 1656]
[paragraph, [188.0, 574.0, 1275.0, 36.0], shoonya_1s3CEIH25WGXGD, 5730864]
[paragraph, [188.0, 610.0, 1275.0, 36.0], shoonya_1s3CEIH25WGXGD, 5730864]
[paragraph, [188.0, 646.0, 1275.0, 36.0], shoonya_1s3CEIH25WGXGD, 5730864]
[paragraph, [188.0, 682.0, 1275.0, 36.0], shoonya_1s3CEIH25WGXGD, 5730864]
[paragraph, [188.0, 718.0, 1275.0, 36.0], shoonya_1s3CEIH25WGXGD, 5730864]
[paragraph, [188.0, 754.0, 1275.0, 36.0], shoonya_1s3CEIH25WGXGD, 5730864]
[paragraph, [188.0, 790.0, 1275.0, 36.0], shoonya_1s3CEIH25WGXGD, 5730864]
[paragraph, [188.0, 826.0, 1275.0, 36.0], shoonya_1s3CEIH25WGXGD, 5730864]
[paragraph, [188.0, 862.0, 1275.0, 36.0], shoonya_1s3CEIH25WGXGD, 5730864]
[paragraph, [188.0, 898.0, 1275.0, 36.0], shoonya_1s3CEIH25WGXGD, 5730864]
[paragraph, [187.0, 974.0, 1283.0, 36.0], shoonya_0sQFBYTCQDDPL6, 5730864]
[paragraph, [187.0, 1010.0, 1283.0, 36.0], shoonya_0sQFBYTCQDDPL6, 5730864]
[paragraph, [187.0, 1046.0, 1283.0, 36.0], shoonya_0sQFBYTCQDDPL6, 5730864]
[paragraph, [187.0, 1082.0, 1283.0, 36.0], shoonya_0sQFBYTCQDDPL6, 5730864]
[paragraph, [187.0, 1118.0, 1283.0, 36.0], shoonya_0sQFBYTCQDDPL6, 5730864]
[paragraph, [187.0, 1154.0, 1283.0, 36.0], shoonya_0sQFBYTCQDDPL6, 5730864]
[paragraph, [187.0, 1190.0, 1283.0, 36.0], shoonya_0sQFBYTCQDDPL6, 5730864]
[paragraph, [187.0, 1226.0, 1283.0, 36.0], shoonya_0sQFBYTCQDDPL6, 5730864]
[paragraph, [187.0, 1262.0, 1283.0, 36.0], shoonya_0sQFBYTCQDDPL6, 5730864]
[paragraph, [187.0, 1298.0, 1283.0, 36.0], shoonya_0sQFBYTCQDDPL6, 5730864]
[paragraph, [187.0, 1334.0, 1283.0, 36.0], shoonya_0sQFBYTCQDDPL6, 5730864]
[paragraph, [187.0, 1370.0, 1283.0, 36.0], shoonya_0sQFBYTCQDDPL6, 5730864]
[paragraph, [188.0, 1448.0, 1275.0, 36.0], shoonya_2s869FVVH17WP0, 5730864]
[paragraph, [188.0, 1484.0, 1275.0, 36.0], shoonya_2s869FVVH17WP0, 5730864]
[paragraph, [188.0, 1520.0, 1275.0, 36.0], shoonya_2s869FVVH17WP0, 5730864]
[paragraph, [188.0, 1556.0, 1275.0, 36.0], shoonya_2s869FVVH17WP0, 5730864]
[paragraph, [188.0, 1592.0, 1275.0, 36.0], shoonya_2s869FVVH17WP0, 5730864]
[paragraph, [188.0, 1628.0, 1275.0, 36.0], shoonya_2s869FVVH17WP0, 5730864]
[paragraph, [188.0, 1664.0, 1275.0, 36.0], shoonya_2s869FVVH17WP0, 5730864]
[paragraph, [188.0, 1700.0, 1275.0, 36.0], shoonya_2s869FVVH17WP0, 5730864]
[paragraph, [189.0, 1779.0, 1275.0, 36.0], shoonya_4sKMESC6XQ4D4F, 5730864]
[paragraph, [189.0, 1815.0, 1275.0, 36.0], shoonya_4sKMESC6XQ4D4F, 5730864]
[paragraph, [189.0, 1851.0, 1275.0, 36.0], shoonya_4sKMESC6XQ4D4F, 5730864]
[paragraph, [189.0, 1887.0, 1275.0, 36.0], shoonya_4sKMESC6XQ4D4F, 5730864]
[paragraph, [189.0, 1923.0, 1275.0, 36.0], shoonya_4sKMESC6XQ4D4F, 5730864]
[paragraph, [189.0, 1959.0, 1275.0, 36.0], shoonya_4sKMESC6XQ4D4F, 5730864]
[paragraph, [189.0, 1995.0, 1275.0, 36.0], shoonya_4sKMESC6XQ4D4F, 5730864]
[paragraph, [189.0, 2031.0, 1275.0, 36.0], shoonya_4sKMESC6XQ4D4F, 5730864]
[paragraph, [189.0, 2067.0, 1275.0, 36.0], shoonya_4sKMESC6XQ4D4F, 5730864]
