[2339, 1654]
[folio, [140.0, 82.0, 340.0, 36.0], shoonya_0sY8XD6CKEMR8C, 5750451]
[paragraph, [132.0, 137.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 173.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 209.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 245.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 281.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 317.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 353.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 389.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 425.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 461.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 497.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 533.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 569.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 605.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 641.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 677.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 713.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 749.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 785.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 821.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 857.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 893.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 929.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 965.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 1001.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 1037.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 1073.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 1109.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 1145.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 1181.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 1217.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 1253.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 1289.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 1325.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [132.0, 1361.0, 1447.0, 36.0], shoonya_1sCMFL9GYARZ57, 5750451]
[paragraph, [144.0, 1387.0, 953.0, 36.0], QitZRlqMB2, 5750451]
[paragraph, [144.0, 1423.0, 953.0, 36.0], QitZRlqMB2, 5750451]
[paragraph, [101.0, 1470.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 1506.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 1542.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 1578.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 1614.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 1650.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 1686.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 1722.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 1758.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 1794.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 1830.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 1866.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 1902.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 1938.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 1974.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 2010.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 2046.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 2082.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 2118.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 2154.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
[paragraph, [101.0, 2190.0, 1496.0, 36.0], ThirKGqYfg, 5750451]
