[1387, 987]
[paragraph, [77.0, 91.0, 797.0, 18.0], shoonya_2sUFQGU4IFKR7X, 5652006]
[paragraph, [77.0, 109.0, 797.0, 18.0], shoonya_2sUFQGU4IFKR7X, 5652006]
[paragraph, [77.0, 127.0, 797.0, 18.0], shoonya_2sUFQGU4IFKR7X, 5652006]
[paragraph, [77.0, 145.0, 797.0, 18.0], shoonya_2sUFQGU4IFKR7X, 5652006]
[paragraph, [77.0, 163.0, 797.0, 18.0], shoonya_2sUFQGU4IFKR7X, 5652006]
[paragraph, [77.0, 181.0, 797.0, 18.0], shoonya_2sUFQGU4IFKR7X, 5652006]
[paragraph, [77.0, 199.0, 797.0, 18.0], shoonya_2sUFQGU4IFKR7X, 5652006]
[paragraph, [77.0, 217.0, 797.0, 18.0], shoonya_2sUFQGU4IFKR7X, 5652006]
[paragraph, [77.0, 235.0, 797.0, 18.0], shoonya_2sUFQGU4IFKR7X, 5652006]
[paragraph, [77.0, 253.0, 797.0, 18.0], shoonya_2sUFQGU4IFKR7X, 5652006]
[paragraph, [81.0, 272.0, 776.0, 18.0], shoonya_3s8P7OR97A2LGY, 5652006]
[paragraph, [81.0, 290.0, 776.0, 18.0], shoonya_3s8P7OR97A2LGY, 5652006]
[paragraph, [81.0, 308.0, 776.0, 18.0], shoonya_3s8P7OR97A2LGY, 5652006]
[paragraph, [81.0, 326.0, 776.0, 18.0], shoonya_3s8P7OR97A2LGY, 5652006]
[paragraph, [81.0, 344.0, 776.0, 18.0], shoonya_3s8P7OR97A2LGY, 5652006]
[paragraph, [81.0, 362.0, 776.0, 18.0], shoonya_3s8P7OR97A2LGY, 5652006]
[paragraph, [81.0, 380.0, 776.0, 18.0], shoonya_3s8P7OR97A2LGY, 5652006]
[paragraph, [81.0, 398.0, 776.0, 18.0], shoonya_3s8P7OR97A2LGY, 5652006]
[paragraph, [81.0, 416.0, 776.0, 18.0], shoonya_3s8P7OR97A2LGY, 5652006]
[paragraph, [91.0, 457.0, 751.0, 18.0], shoonya_0s55M0MA331JFL, 5652006]
[paragraph, [91.0, 475.0, 751.0, 18.0], shoonya_0s55M0MA331JFL, 5652006]
[paragraph, [91.0, 493.0, 751.0, 18.0], shoonya_0s55M0MA331JFL, 5652006]
[paragraph, [91.0, 511.0, 751.0, 18.0], shoonya_0s55M0MA331JFL, 5652006]
[paragraph, [91.0, 529.0, 751.0, 18.0], shoonya_0s55M0MA331JFL, 5652006]
[paragraph, [91.0, 547.0, 751.0, 18.0], shoonya_0s55M0MA331JFL, 5652006]
[paragraph, [91.0, 565.0, 751.0, 18.0], shoonya_0s55M0MA331JFL, 5652006]
[paragraph, [91.0, 583.0, 751.0, 18.0], shoonya_0s55M0MA331JFL, 5652006]
[paragraph, [91.0, 601.0, 751.0, 18.0], shoonya_0s55M0MA331JFL, 5652006]
[paragraph, [91.0, 619.0, 751.0, 18.0], shoonya_0s55M0MA331JFL, 5652006]
[paragraph, [91.0, 637.0, 751.0, 18.0], shoonya_0s55M0MA331JFL, 5652006]
[paragraph, [91.0, 655.0, 751.0, 18.0], shoonya_0s55M0MA331JFL, 5652006]
[paragraph, [80.0, 702.0, 798.0, 18.0], SKnFeakwX4, 5652006]
[paragraph, [80.0, 720.0, 798.0, 18.0], SKnFeakwX4, 5652006]
[paragraph, [80.0, 738.0, 798.0, 18.0], SKnFeakwX4, 5652006]
[paragraph, [80.0, 756.0, 798.0, 18.0], SKnFeakwX4, 5652006]
[paragraph, [80.0, 774.0, 798.0, 18.0], SKnFeakwX4, 5652006]
[paragraph, [80.0, 792.0, 798.0, 18.0], SKnFeakwX4, 5652006]
[paragraph, [80.0, 810.0, 798.0, 18.0], SKnFeakwX4, 5652006]
[paragraph, [80.0, 828.0, 798.0, 18.0], SKnFeakwX4, 5652006]
[paragraph, [80.0, 846.0, 798.0, 18.0], SKnFeakwX4, 5652006]
[paragraph, [80.0, 864.0, 798.0, 18.0], SKnFeakwX4, 5652006]
[paragraph, [80.0, 882.0, 798.0, 18.0], SKnFeakwX4, 5652006]
[paragraph, [80.0, 900.0, 798.0, 18.0], SKnFeakwX4, 5652006]
[paragraph, [71.0, 939.0, 792.0, 18.0], shoonya_4sCS2P8KRLQY4M, 5652006]
[paragraph, [71.0, 957.0, 792.0, 18.0], shoonya_4sCS2P8KRLQY4M, 5652006]
[paragraph, [71.0, 975.0, 792.0, 18.0], shoonya_4sCS2P8KRLQY4M, 5652006]
[paragraph, [71.0, 993.0, 792.0, 18.0], shoonya_4sCS2P8KRLQY4M, 5652006]
[paragraph, [71.0, 1011.0, 792.0, 18.0], shoonya_4sCS2P8KRLQY4M, 5652006]
[paragraph, [71.0, 1029.0, 792.0, 18.0], shoonya_4sCS2P8KRLQY4M, 5652006]
[paragraph, [71.0, 1047.0, 792.0, 18.0], shoonya_4sCS2P8KRLQY4M, 5652006]
[paragraph, [71.0, 1065.0, 792.0, 18.0], shoonya_4sCS2P8KRLQY4M, 5652006]
[paragraph, [71.0, 1083.0, 792.0, 18.0], shoonya_4sCS2P8KRLQY4M, 5652006]
[paragraph, [71.0, 1101.0, 792.0, 18.0], shoonya_4sCS2P8KRLQY4M, 5652006]
[paragraph, [71.0, 1119.0, 792.0, 18.0], shoonya_4sCS2P8KRLQY4M, 5652006]
[paragraph, [71.0, 1137.0, 792.0, 18.0], shoonya_4sCS2P8KRLQY4M, 5652006]
[paragraph, [71.0, 1155.0, 792.0, 18.0], shoonya_4sCS2P8KRLQY4M, 5652006]
