[1755, 1241]
[folio, [679.0, 88.0, 350.0, 36.0], ylWAa3X_5q, 5760761]
[paragraph, [235.0, 148.0, 801.0, 36.0], QtufIkopZG, 5760761]
[paragraph, [235.0, 184.0, 801.0, 36.0], QtufIkopZG, 5760761]
[paragraph, [235.0, 220.0, 801.0, 36.0], QtufIkopZG, 5760761]
[paragraph, [235.0, 256.0, 801.0, 36.0], QtufIkopZG, 5760761]
[paragraph, [234.0, 305.0, 803.0, 36.0], tKW1h3-X3U, 5760761]
[paragraph, [234.0, 341.0, 803.0, 36.0], tKW1h3-X3U, 5760761]
[paragraph, [234.0, 377.0, 803.0, 36.0], tKW1h3-X3U, 5760761]
[paragraph, [234.0, 413.0, 803.0, 36.0], tKW1h3-X3U, 5760761]
[paragraph, [234.0, 449.0, 803.0, 36.0], tKW1h3-X3U, 5760761]
[paragraph, [234.0, 485.0, 803.0, 36.0], tKW1h3-X3U, 5760761]
[paragraph, [232.0, 538.0, 805.0, 36.0], eAOsbQEz9X, 5760761]
[paragraph, [232.0, 574.0, 805.0, 36.0], eAOsbQEz9X, 5760761]
[paragraph, [232.0, 610.0, 805.0, 36.0], eAOsbQEz9X, 5760761]
[paragraph, [232.0, 646.0, 805.0, 36.0], eAOsbQEz9X, 5760761]
[paragraph, [234.0, 693.0, 805.0, 36.0], 5ynvKJtVfo, 5760761]
[paragraph, [234.0, 729.0, 805.0, 36.0], 5ynvKJtVfo, 5760761]
[paragraph, [234.0, 765.0, 805.0, 36.0], 5ynvKJtVfo, 5760761]
[paragraph, [234.0, 801.0, 805.0, 36.0], 5ynvKJtVfo, 5760761]
[paragraph, [231.0, 853.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 889.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 925.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 961.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 997.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 1033.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 1069.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 1105.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 1141.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 1177.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 1213.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 1249.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 1285.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 1321.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 1357.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 1393.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 1429.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 1465.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 1501.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 1537.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 1573.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
[paragraph, [231.0, 1609.0, 805.0, 36.0], shoonya_1sE9N3PXU5V18C, 5760761]
