[792, 612]
[ordered-list, [226.0, 89.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 107.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 125.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 143.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 161.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 179.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 197.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 215.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 233.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 251.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 269.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 287.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 305.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 323.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 341.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 359.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 377.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 395.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 413.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 431.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 449.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 467.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 485.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 503.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 521.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 539.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 557.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 575.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 593.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 611.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 629.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[ordered-list, [226.0, 647.0, 107.0, 18.0], V3fEEwAfUX, 6515201]
[paragraph, [50.0, 90.0, 91.0, 18.0], O0sNLH1Sda, 6515201]
[ordered-list, [406.0, 90.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 108.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 126.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 144.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 162.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 180.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 198.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 216.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 234.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 252.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 270.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 288.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 306.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 324.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 342.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 360.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 378.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 396.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 414.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 432.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
[ordered-list, [406.0, 450.0, 107.0, 18.0], eSzbjjRCbm, 6515201]
