[842, 595]
[section-title, [67.0, 61.0, 301.0, 30.0], at1gVBXqSN, 5770557]
[paragraph, [68.0, 120.0, 458.0, 18.0], shoonya_0s8DSS9VG5ULH0, 5770557]
[paragraph, [68.0, 138.0, 458.0, 18.0], shoonya_0s8DSS9VG5ULH0, 5770557]
[paragraph, [68.0, 156.0, 458.0, 18.0], shoonya_0s8DSS9VG5ULH0, 5770557]
[paragraph, [68.0, 174.0, 458.0, 18.0], shoonya_0s8DSS9VG5ULH0, 5770557]
[paragraph, [68.0, 192.0, 458.0, 18.0], shoonya_0s8DSS9VG5ULH0, 5770557]
[paragraph, [68.0, 210.0, 458.0, 18.0], shoonya_0s8DSS9VG5ULH0, 5770557]
[paragraph, [68.0, 228.0, 458.0, 18.0], shoonya_0s8DSS9VG5ULH0, 5770557]
[paragraph, [68.0, 246.0, 458.0, 18.0], shoonya_0s8DSS9VG5ULH0, 5770557]
[paragraph, [68.0, 264.0, 458.0, 18.0], shoonya_0s8DSS9VG5ULH0, 5770557]
[paragraph, [68.0, 282.0, 458.0, 18.0], shoonya_0s8DSS9VG5ULH0, 5770557]
[paragraph, [68.0, 300.0, 458.0, 18.0], shoonya_0s8DSS9VG5ULH0, 5770557]
[paragraph, [68.0, 318.0, 458.0, 18.0], shoonya_0s8DSS9VG5ULH0, 5770557]
[paragraph, [68.0, 336.0, 458.0, 18.0], shoonya_0s8DSS9VG5ULH0, 5770557]
[paragraph, [68.0, 354.0, 458.0, 18.0], shoonya_0s8DSS9VG5ULH0, 5770557]
[section-title, [58.0, 400.0, 330.0, 30.0], BUpkuaSJgV, 5770557]
[paragraph, [67.0, 458.0, 460.0, 18.0], shoonya_1s7Q0U7MKSSLFE, 5770557]
[paragraph, [67.0, 476.0, 460.0, 18.0], shoonya_1s7Q0U7MKSSLFE, 5770557]
[paragraph, [67.0, 494.0, 460.0, 18.0], shoonya_1s7Q0U7MKSSLFE, 5770557]
[paragraph, [67.0, 512.0, 460.0, 18.0], shoonya_1s7Q0U7MKSSLFE, 5770557]
[paragraph, [67.0, 530.0, 460.0, 18.0], shoonya_1s7Q0U7MKSSLFE, 5770557]
[paragraph, [67.0, 548.0, 460.0, 18.0], shoonya_1s7Q0U7MKSSLFE, 5770557]
[paragraph, [67.0, 566.0, 460.0, 18.0], shoonya_1s7Q0U7MKSSLFE, 5770557]
[paragraph, [67.0, 584.0, 460.0, 18.0], shoonya_1s7Q0U7MKSSLFE, 5770557]
[paragraph, [67.0, 602.0, 460.0, 18.0], shoonya_1s7Q0U7MKSSLFE, 5770557]
[paragraph, [66.0, 649.0, 463.0, 18.0], shoonya_2sV5YL07HLK1RM, 5770557]
[paragraph, [66.0, 667.0, 463.0, 18.0], shoonya_2sV5YL07HLK1RM, 5770557]
[paragraph, [66.0, 685.0, 463.0, 18.0], shoonya_2sV5YL07HLK1RM, 5770557]
[paragraph, [66.0, 703.0, 463.0, 18.0], shoonya_2sV5YL07HLK1RM, 5770557]
[paragraph, [66.0, 721.0, 463.0, 18.0], shoonya_2sV5YL07HLK1RM, 5770557]
