[2428, 1814]
[paragraph, [129.0, 163.0, 711.0, 36.0], shoonya_0s0GWXNSBHMYXG, 5694040]
[paragraph, [129.0, 199.0, 711.0, 36.0], shoonya_0s0GWXNSBHMYXG, 5694040]
[paragraph, [129.0, 235.0, 711.0, 36.0], shoonya_0s0GWXNSBHMYXG, 5694040]
[paragraph, [129.0, 271.0, 711.0, 36.0], shoonya_0s0GWXNSBHMYXG, 5694040]
[paragraph, [129.0, 307.0, 711.0, 36.0], shoonya_0s0GWXNSBHMYXG, 5694040]
[paragraph, [129.0, 343.0, 711.0, 36.0], shoonya_0s0GWXNSBHMYXG, 5694040]
[paragraph, [129.0, 379.0, 711.0, 36.0], shoonya_0s0GWXNSBHMYXG, 5694040]
[paragraph, [129.0, 415.0, 711.0, 36.0], shoonya_0s0GWXNSBHMYXG, 5694040]
[paragraph, [129.0, 451.0, 711.0, 36.0], shoonya_0s0GWXNSBHMYXG, 5694040]
[paragraph, [129.0, 487.0, 711.0, 36.0], shoonya_0s0GWXNSBHMYXG, 5694040]
[paragraph, [129.0, 523.0, 711.0, 36.0], shoonya_0s0GWXNSBHMYXG, 5694040]
[paragraph, [129.0, 559.0, 711.0, 36.0], shoonya_0s0GWXNSBHMYXG, 5694040]
[paragraph, [853.0, 165.0, 719.0, 36.0], shoonya_8sH9OM8JDHXSKS, 5694040]
[paragraph, [853.0, 201.0, 719.0, 36.0], shoonya_8sH9OM8JDHXSKS, 5694040]
[paragraph, [853.0, 237.0, 719.0, 36.0], shoonya_8sH9OM8JDHXSKS, 5694040]
[paragraph, [853.0, 273.0, 719.0, 36.0], shoonya_8sH9OM8JDHXSKS, 5694040]
[paragraph, [853.0, 309.0, 719.0, 36.0], shoonya_8sH9OM8JDHXSKS, 5694040]
[paragraph, [853.0, 345.0, 719.0, 36.0], shoonya_8sH9OM8JDHXSKS, 5694040]
[paragraph, [855.0, 397.0, 716.0, 36.0], shoonya_9sIPTSPD8FT6RE, 5694040]
[paragraph, [855.0, 433.0, 716.0, 36.0], shoonya_9sIPTSPD8FT6RE, 5694040]
[paragraph, [855.0, 469.0, 716.0, 36.0], shoonya_9sIPTSPD8FT6RE, 5694040]
[paragraph, [855.0, 505.0, 716.0, 36.0], shoonya_9sIPTSPD8FT6RE, 5694040]
[paragraph, [855.0, 541.0, 716.0, 36.0], shoonya_9sIPTSPD8FT6RE, 5694040]
[paragraph, [855.0, 577.0, 716.0, 36.0], shoonya_9sIPTSPD8FT6RE, 5694040]
[paragraph, [855.0, 613.0, 716.0, 36.0], shoonya_9sIPTSPD8FT6RE, 5694040]
[paragraph, [855.0, 649.0, 716.0, 36.0], shoonya_9sIPTSPD8FT6RE, 5694040]
[paragraph, [855.0, 685.0, 716.0, 36.0], shoonya_9sIPTSPD8FT6RE, 5694040]
[paragraph, [855.0, 721.0, 716.0, 36.0], shoonya_9sIPTSPD8FT6RE, 5694040]
[paragraph, [127.0, 627.0, 708.0, 36.0], shoonya_5s7VKV5TT4T9YQ, 5694040]
[paragraph, [127.0, 663.0, 708.0, 36.0], shoonya_5s7VKV5TT4T9YQ, 5694040]
[paragraph, [127.0, 699.0, 708.0, 36.0], shoonya_5s7VKV5TT4T9YQ, 5694040]
[paragraph, [127.0, 735.0, 708.0, 36.0], shoonya_5s7VKV5TT4T9YQ, 5694040]
[paragraph, [127.0, 771.0, 708.0, 36.0], shoonya_5s7VKV5TT4T9YQ, 5694040]
[paragraph, [127.0, 807.0, 708.0, 36.0], shoonya_5s7VKV5TT4T9YQ, 5694040]
[paragraph, [127.0, 843.0, 708.0, 36.0], shoonya_5s7VKV5TT4T9YQ, 5694040]
[paragraph, [861.0, 780.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 816.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 852.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 888.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 924.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 960.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 996.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 1032.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 1068.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 1104.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 1140.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 1176.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 1212.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 1248.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 1284.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 1320.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 1356.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 1392.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 1428.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 1464.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 1500.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 1536.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 1572.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [861.0, 1608.0, 709.0, 36.0], shoonya_1sZKIAKSYWE7CF, 5694040]
[paragraph, [121.0, 899.0, 718.0, 36.0], 4P_tXjcF_h, 5694040]
[paragraph, [121.0, 935.0, 718.0, 36.0], 4P_tXjcF_h, 5694040]
[paragraph, [121.0, 971.0, 718.0, 36.0], 4P_tXjcF_h, 5694040]
[paragraph, [121.0, 1007.0, 718.0, 36.0], 4P_tXjcF_h, 5694040]
[paragraph, [121.0, 1043.0, 718.0, 36.0], 4P_tXjcF_h, 5694040]
[paragraph, [121.0, 1079.0, 718.0, 36.0], 4P_tXjcF_h, 5694040]
[paragraph, [121.0, 1115.0, 718.0, 36.0], 4P_tXjcF_h, 5694040]
[paragraph, [121.0, 1151.0, 718.0, 36.0], 4P_tXjcF_h, 5694040]
[paragraph, [121.0, 1187.0, 718.0, 36.0], 4P_tXjcF_h, 5694040]
[paragraph, [121.0, 1223.0, 718.0, 36.0], 4P_tXjcF_h, 5694040]
[paragraph, [121.0, 1259.0, 718.0, 36.0], 4P_tXjcF_h, 5694040]
[paragraph, [121.0, 1295.0, 718.0, 36.0], 4P_tXjcF_h, 5694040]
[paragraph, [121.0, 1331.0, 718.0, 36.0], 4P_tXjcF_h, 5694040]
[paragraph, [121.0, 1367.0, 718.0, 36.0], 4P_tXjcF_h, 5694040]
[paragraph, [121.0, 1403.0, 718.0, 36.0], 4P_tXjcF_h, 5694040]
[paragraph, [124.0, 1471.0, 714.0, 36.0], shoonya_4s31E9XLEV46J0, 5694040]
[paragraph, [124.0, 1507.0, 714.0, 36.0], shoonya_4s31E9XLEV46J0, 5694040]
[paragraph, [124.0, 1543.0, 714.0, 36.0], shoonya_4s31E9XLEV46J0, 5694040]
[paragraph, [124.0, 1579.0, 714.0, 36.0], shoonya_4s31E9XLEV46J0, 5694040]
[paragraph, [124.0, 1615.0, 714.0, 36.0], shoonya_4s31E9XLEV46J0, 5694040]
[paragraph, [124.0, 1651.0, 714.0, 36.0], shoonya_4s31E9XLEV46J0, 5694040]
[paragraph, [124.0, 1687.0, 714.0, 36.0], shoonya_4s31E9XLEV46J0, 5694040]
[paragraph, [861.0, 1661.0, 709.0, 36.0], shoonya_3sEUAU0BBYZT40, 5694040]
[paragraph, [861.0, 1697.0, 709.0, 36.0], shoonya_3sEUAU0BBYZT40, 5694040]
