[1754, 1241]
[chapter-title, [263.0, 103.0, 715.0, 58.5], DL3F7kwvm_, 5709391]
[ordered-list, [93.0, 235.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 271.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 307.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 343.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 379.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 415.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 451.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 487.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 523.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 559.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 595.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 631.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 667.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 703.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 739.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 775.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 811.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 847.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 883.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 919.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 955.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 991.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 1027.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 1063.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 1099.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 1135.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 1171.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 1207.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 1243.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 1279.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 1315.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 1351.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 1387.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 1423.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 1459.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 1495.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[ordered-list, [93.0, 1531.0, 1050.0, 36.0], okLLFebyRP, 5709391]
[sub-ordered-list, [94.0, 425.0, 1045.0, 36.0], shoonya_0sXI0SFZKJQ1Z2, 5709391]
[sub-ordered-list, [94.0, 461.0, 1045.0, 36.0], shoonya_0sXI0SFZKJQ1Z2, 5709391]
