[4210, 2975]
[section-title, [346.0, 365.0, 1759.0, 93.0], shoonya_1s2ARL17C6KBL0, 5698037]
[sub-section-title, [352.0, 503.0, 517.0, 73.5], shoonya_3sRUJVMCO2DL60, 5698037]
[paragraph, [346.0, 604.0, 920.0, 52.5], shoonya_5sNHI74NAXEK00, 5698037]
[paragraph, [334.0, 699.0, 1033.0, 52.5], LzmqzQxhH4, 5698037]
[ordered-list, [341.0, 892.0, 709.0, 52.5], shoonya_2sFKRBXYTWB1XP, 5698037]
[ordered-list, [341.0, 944.5, 709.0, 52.5], shoonya_2sFKRBXYTWB1XP, 5698037]
[ordered-list, [341.0, 997.0, 709.0, 52.5], shoonya_2sFKRBXYTWB1XP, 5698037]
[ordered-list, [341.0, 1049.5, 709.0, 52.5], shoonya_2sFKRBXYTWB1XP, 5698037]
[ordered-list, [341.0, 1102.0, 709.0, 52.5], shoonya_2sFKRBXYTWB1XP, 5698037]
[ordered-list, [341.0, 1154.5, 709.0, 52.5], shoonya_2sFKRBXYTWB1XP, 5698037]
[ordered-list, [341.0, 1207.0, 709.0, 52.5], shoonya_2sFKRBXYTWB1XP, 5698037]
