[2200, 1700]
[paragraph, [445.0, 62.0, 901.0, 36.0], shoonya_1sIXXFSINKVIKL, 5730974]
[paragraph, [445.0, 98.0, 901.0, 36.0], shoonya_1sIXXFSINKVIKL, 5730974]
[paragraph, [445.0, 134.0, 901.0, 36.0], shoonya_1sIXXFSINKVIKL, 5730974]
[paragraph, [314.0, 180.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 216.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 252.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 288.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 324.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 360.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 396.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 432.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 468.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 504.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 540.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 576.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 612.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 648.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 684.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 720.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 756.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 792.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 828.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 864.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 900.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 936.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 972.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 1008.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 1044.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 1080.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 1116.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 1152.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 1188.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 1224.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 1260.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 1296.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 1332.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 1368.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 1404.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [314.0, 1440.0, 1146.0, 36.0], 1ATun2UNtA, 5730974]
[paragraph, [328.0, 1496.0, 1123.0, 36.0], shoonya_0sVQ0ROZRASNWC, 5730974]
[paragraph, [328.0, 1532.0, 1123.0, 36.0], shoonya_0sVQ0ROZRASNWC, 5730974]
[paragraph, [328.0, 1568.0, 1123.0, 36.0], shoonya_0sVQ0ROZRASNWC, 5730974]
[paragraph, [328.0, 1604.0, 1123.0, 36.0], shoonya_0sVQ0ROZRASNWC, 5730974]
[paragraph, [328.0, 1640.0, 1123.0, 36.0], shoonya_0sVQ0ROZRASNWC, 5730974]
[paragraph, [328.0, 1676.0, 1123.0, 36.0], shoonya_0sVQ0ROZRASNWC, 5730974]
[paragraph, [328.0, 1712.0, 1123.0, 36.0], shoonya_0sVQ0ROZRASNWC, 5730974]
[paragraph, [328.0, 1748.0, 1123.0, 36.0], shoonya_0sVQ0ROZRASNWC, 5730974]
[paragraph, [328.0, 1784.0, 1123.0, 36.0], shoonya_0sVQ0ROZRASNWC, 5730974]
[paragraph, [328.0, 1820.0, 1123.0, 36.0], shoonya_0sVQ0ROZRASNWC, 5730974]
[paragraph, [328.0, 1856.0, 1123.0, 36.0], shoonya_0sVQ0ROZRASNWC, 5730974]
[paragraph, [328.0, 1892.0, 1123.0, 36.0], shoonya_0sVQ0ROZRASNWC, 5730974]
[folio, [993.0, 2002.0, 360.0, 36.0], g3OCHVDo_h, 5730974]
