[612, 396]
[paragraph, [51.0, 52.0, 297.0, 18.0], r9fCd_aaId, 6516247]
[paragraph, [51.0, 70.0, 297.0, 18.0], r9fCd_aaId, 6516247]
[paragraph, [49.0, 98.0, 296.0, 18.0], 4t_OqSEWrY, 6516247]
[paragraph, [49.0, 116.0, 296.0, 18.0], 4t_OqSEWrY, 6516247]
[paragraph, [49.0, 134.0, 296.0, 18.0], 4t_OqSEWrY, 6516247]
[paragraph, [48.0, 163.0, 299.0, 18.0], ca0oPspotG, 6516247]
[paragraph, [48.0, 181.0, 299.0, 18.0], ca0oPspotG, 6516247]
[paragraph, [48.0, 199.0, 299.0, 18.0], ca0oPspotG, 6516247]
[paragraph, [48.0, 217.0, 299.0, 18.0], ca0oPspotG, 6516247]
[paragraph, [49.0, 241.0, 296.0, 18.0], 8HSqLZozvN, 6516247]
[paragraph, [49.0, 259.0, 296.0, 18.0], 8HSqLZozvN, 6516247]
[paragraph, [49.0, 287.0, 295.0, 18.0], shoonya_0sWYESOZ7LWAN6, 6516247]
[paragraph, [49.0, 305.0, 295.0, 18.0], shoonya_0sWYESOZ7LWAN6, 6516247]
[paragraph, [49.0, 335.0, 301.0, 18.0], SB8ZP01H5w, 6516247]
[paragraph, [49.0, 353.0, 301.0, 18.0], SB8ZP01H5w, 6516247]
[paragraph, [49.0, 371.0, 301.0, 18.0], SB8ZP01H5w, 6516247]
[paragraph, [49.0, 389.0, 301.0, 18.0], SB8ZP01H5w, 6516247]
[paragraph, [49.0, 407.0, 301.0, 18.0], SB8ZP01H5w, 6516247]
[paragraph, [49.0, 425.0, 301.0, 18.0], SB8ZP01H5w, 6516247]
[paragraph, [49.0, 443.0, 301.0, 18.0], SB8ZP01H5w, 6516247]
[paragraph, [49.0, 461.0, 301.0, 18.0], SB8ZP01H5w, 6516247]
[paragraph, [49.0, 479.0, 301.0, 18.0], SB8ZP01H5w, 6516247]
[paragraph, [49.0, 497.0, 301.0, 18.0], SB8ZP01H5w, 6516247]
[paragraph, [49.0, 515.0, 301.0, 18.0], SB8ZP01H5w, 6516247]
