[1447, 1063]
[folio, [103.0, 77.0, 853.0, 18.0], rvDDCQSNRn, 5762291]
[folio, [103.0, 95.0, 853.0, 18.0], rvDDCQSNRn, 5762291]
[folio, [103.0, 113.0, 853.0, 18.0], rvDDCQSNRn, 5762291]
[folio, [103.0, 131.0, 853.0, 18.0], rvDDCQSNRn, 5762291]
[folio, [103.0, 149.0, 853.0, 18.0], rvDDCQSNRn, 5762291]
[folio, [103.0, 167.0, 853.0, 18.0], rvDDCQSNRn, 5762291]
[folio, [103.0, 185.0, 853.0, 18.0], rvDDCQSNRn, 5762291]
[folio, [306.0, 213.0, 447.0, 18.0], 5VdaFAi-Vi, 5762291]
[paragraph, [93.0, 999.0, 876.0, 18.0], Ec6qCvTAud, 5762291]
[paragraph, [93.0, 1017.0, 876.0, 18.0], Ec6qCvTAud, 5762291]
[paragraph, [93.0, 1035.0, 876.0, 18.0], Ec6qCvTAud, 5762291]
[paragraph, [93.0, 1053.0, 876.0, 18.0], Ec6qCvTAud, 5762291]
[paragraph, [93.0, 1071.0, 876.0, 18.0], Ec6qCvTAud, 5762291]
[paragraph, [93.0, 1089.0, 876.0, 18.0], Ec6qCvTAud, 5762291]
[paragraph, [93.0, 1107.0, 876.0, 18.0], Ec6qCvTAud, 5762291]
[paragraph, [93.0, 1125.0, 876.0, 18.0], Ec6qCvTAud, 5762291]
[paragraph, [93.0, 1143.0, 876.0, 18.0], Ec6qCvTAud, 5762291]
[paragraph, [93.0, 1161.0, 876.0, 18.0], Ec6qCvTAud, 5762291]
[paragraph, [93.0, 1179.0, 876.0, 18.0], Ec6qCvTAud, 5762291]
[paragraph, [93.0, 1197.0, 876.0, 18.0], Ec6qCvTAud, 5762291]
[contact-info, [223.0, 1238.0, 620.0, 18.0], Q5EjcuJnkb, 5762291]
[contact-info, [223.0, 1256.0, 620.0, 18.0], Q5EjcuJnkb, 5762291]
[contact-info, [223.0, 1274.0, 620.0, 18.0], Q5EjcuJnkb, 5762291]
[contact-info, [223.0, 1292.0, 620.0, 18.0], Q5EjcuJnkb, 5762291]
[contact-info, [223.0, 1310.0, 620.0, 18.0], Q5EjcuJnkb, 5762291]
[contact-info, [223.0, 1328.0, 620.0, 18.0], Q5EjcuJnkb, 5762291]
[contact-info, [223.0, 1346.0, 620.0, 18.0], Q5EjcuJnkb, 5762291]
[contact-info, [223.0, 1364.0, 620.0, 18.0], Q5EjcuJnkb, 5762291]
[website-link, [530.0, 1348.0, 306.0, 18.0], 3s_kHOMU8U, 5762291]
[website-link, [530.0, 1366.0, 306.0, 18.0], 3s_kHOMU8U, 5762291]
