[1787, 1218]
[paragraph, [327.0, 153.0, 539.0, 36.0], shoonya_0s7UIWKENYKQQC, 5651583]
[paragraph, [327.0, 189.0, 539.0, 36.0], shoonya_0s7UIWKENYKQQC, 5651583]
[paragraph, [327.0, 225.0, 539.0, 36.0], shoonya_0s7UIWKENYKQQC, 5651583]
[paragraph, [327.0, 261.0, 539.0, 36.0], shoonya_0s7UIWKENYKQQC, 5651583]
[paragraph, [102.0, 316.0, 1000.0, 36.0], TpyIMtEBmp, 5651583]
[paragraph, [102.0, 352.0, 1000.0, 36.0], TpyIMtEBmp, 5651583]
[paragraph, [102.0, 397.0, 1001.0, 36.0], 0CHLMf3wFu, 5651583]
[paragraph, [102.0, 433.0, 1001.0, 36.0], 0CHLMf3wFu, 5651583]
[paragraph, [102.0, 469.0, 1001.0, 36.0], 0CHLMf3wFu, 5651583]
[paragraph, [102.0, 505.0, 1001.0, 36.0], 0CHLMf3wFu, 5651583]
[paragraph, [102.0, 541.0, 1001.0, 36.0], 0CHLMf3wFu, 5651583]
[paragraph, [296.0, 610.0, 602.0, 36.0], tfR1ekcill, 5651583]
[paragraph, [296.0, 646.0, 602.0, 36.0], tfR1ekcill, 5651583]
[paragraph, [92.0, 700.0, 1007.0, 36.0], tw41wOwS9b, 5651583]
[paragraph, [92.0, 736.0, 1007.0, 36.0], tw41wOwS9b, 5651583]
[paragraph, [348.0, 787.0, 503.0, 36.0], qdZUaOMh0J, 5651583]
[paragraph, [348.0, 823.0, 503.0, 36.0], qdZUaOMh0J, 5651583]
[paragraph, [348.0, 859.0, 503.0, 36.0], qdZUaOMh0J, 5651583]
[paragraph, [348.0, 895.0, 503.0, 36.0], qdZUaOMh0J, 5651583]
[paragraph, [102.0, 953.0, 1003.0, 36.0], mfjAL-WL95, 5651583]
[paragraph, [102.0, 989.0, 1003.0, 36.0], mfjAL-WL95, 5651583]
[paragraph, [290.0, 1045.0, 634.0, 36.0], M_wH8XPQZj, 5651583]
[paragraph, [290.0, 1081.0, 634.0, 36.0], M_wH8XPQZj, 5651583]
[paragraph, [290.0, 1117.0, 634.0, 36.0], M_wH8XPQZj, 5651583]
[paragraph, [290.0, 1153.0, 634.0, 36.0], M_wH8XPQZj, 5651583]
[paragraph, [97.0, 1215.0, 1012.0, 36.0], PK7Nc63wnj, 5651583]
[paragraph, [97.0, 1251.0, 1012.0, 36.0], PK7Nc63wnj, 5651583]
[paragraph, [334.0, 1308.0, 555.0, 36.0], 0AeFmPDYWY, 5651583]
[paragraph, [334.0, 1344.0, 555.0, 36.0], 0AeFmPDYWY, 5651583]
[paragraph, [334.0, 1380.0, 555.0, 36.0], 0AeFmPDYWY, 5651583]
[paragraph, [334.0, 1416.0, 555.0, 36.0], 0AeFmPDYWY, 5651583]
[paragraph, [98.0, 1476.0, 1018.0, 36.0], MHWL4kUj7v, 5651583]
[paragraph, [98.0, 1512.0, 1018.0, 36.0], MHWL4kUj7v, 5651583]
[paragraph, [98.0, 1548.0, 1018.0, 36.0], MHWL4kUj7v, 5651583]
