[792, 612]
[folio, [254.0, 41.0, 66.0, 18.0], BvETflBgdn, 6493161]
[paragraph, [85.0, 82.0, 412.0, 18.0], oEDdb7nQ4s, 6493161]
[paragraph, [85.0, 100.0, 412.0, 18.0], oEDdb7nQ4s, 6493161]
[paragraph, [81.0, 144.0, 423.0, 18.0], ot_Kf0s3W9, 6493161]
[paragraph, [81.0, 162.0, 423.0, 18.0], ot_Kf0s3W9, 6493161]
[paragraph, [81.0, 180.0, 423.0, 18.0], ot_Kf0s3W9, 6493161]
[paragraph, [81.0, 198.0, 423.0, 18.0], ot_Kf0s3W9, 6493161]
[paragraph, [81.0, 216.0, 423.0, 18.0], ot_Kf0s3W9, 6493161]
[paragraph, [81.0, 234.0, 423.0, 18.0], ot_Kf0s3W9, 6493161]
[paragraph, [96.0, 264.0, 406.0, 18.0], uW4Wck56Fe, 6493161]
[paragraph, [96.0, 282.0, 406.0, 18.0], uW4Wck56Fe, 6493161]
[paragraph, [96.0, 300.0, 406.0, 18.0], uW4Wck56Fe, 6493161]
[paragraph, [96.0, 318.0, 406.0, 18.0], uW4Wck56Fe, 6493161]
[paragraph, [96.0, 336.0, 406.0, 18.0], uW4Wck56Fe, 6493161]
[paragraph, [96.0, 354.0, 406.0, 18.0], uW4Wck56Fe, 6493161]
[paragraph, [77.0, 383.0, 422.0, 18.0], rSiW42aD8m, 6493161]
[paragraph, [124.0, 422.0, 287.0, 18.0], BsuvO5gKLx, 6493161]
[paragraph, [93.0, 443.0, 396.0, 18.0], 8f8ufHPnJh, 6493161]
[paragraph, [93.0, 461.0, 396.0, 18.0], 8f8ufHPnJh, 6493161]
[paragraph, [91.0, 483.0, 408.0, 18.0], R65SkJojSs, 6493161]
[paragraph, [91.0, 521.0, 400.0, 18.0], yClJVDi7GP, 6493161]
[paragraph, [91.0, 539.0, 400.0, 18.0], yClJVDi7GP, 6493161]
[paragraph, [99.0, 564.0, 391.0, 18.0], b9YyFs820-, 6493161]
[paragraph, [99.0, 582.0, 391.0, 18.0], b9YyFs820-, 6493161]
[paragraph, [130.0, 602.0, 317.0, 18.0], IVnyhCyBFv, 6493161]
[paragraph, [93.0, 641.0, 405.0, 18.0], ZBq1gY_b7G, 6493161]
[paragraph, [93.0, 659.0, 405.0, 18.0], ZBq1gY_b7G, 6493161]
