[853, 552]
[paragraph, [55.0, 117.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 135.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 153.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 171.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 189.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 207.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 225.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 243.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 261.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 279.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 297.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 315.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 333.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 351.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 369.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 387.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 405.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 423.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 441.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 459.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 477.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 495.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 513.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 531.0, 446.0, 18.0], shoonya_1sZNWZ0ORE813D, 5773564]
[paragraph, [55.0, 553.0, 453.0, 18.0], shoonya_0sKYFE1CYGDI6L, 5773564]
[paragraph, [55.0, 571.0, 453.0, 18.0], shoonya_0sKYFE1CYGDI6L, 5773564]
[paragraph, [55.0, 589.0, 453.0, 18.0], shoonya_0sKYFE1CYGDI6L, 5773564]
[paragraph, [55.0, 607.0, 453.0, 18.0], shoonya_0sKYFE1CYGDI6L, 5773564]
[paragraph, [55.0, 625.0, 453.0, 18.0], shoonya_0sKYFE1CYGDI6L, 5773564]
[paragraph, [55.0, 643.0, 453.0, 18.0], shoonya_0sKYFE1CYGDI6L, 5773564]
[paragraph, [55.0, 661.0, 453.0, 18.0], shoonya_0sKYFE1CYGDI6L, 5773564]
[paragraph, [55.0, 679.0, 453.0, 18.0], shoonya_0sKYFE1CYGDI6L, 5773564]
[paragraph, [55.0, 697.0, 453.0, 18.0], shoonya_0sKYFE1CYGDI6L, 5773564]
[paragraph, [55.0, 715.0, 453.0, 18.0], shoonya_0sKYFE1CYGDI6L, 5773564]
[paragraph, [55.0, 733.0, 453.0, 18.0], shoonya_0sKYFE1CYGDI6L, 5773564]
