[1818, 1374]
[folio, [618.0, 111.0, 103.0, 36.0], Hu70L1hAqy, 5682270]
[paragraph, [109.0, 172.0, 559.0, 36.0], shoonya_0sOGXPSKHUCW9S, 5682270]
[paragraph, [109.0, 208.0, 559.0, 36.0], shoonya_0sOGXPSKHUCW9S, 5682270]
[paragraph, [109.0, 244.0, 559.0, 36.0], shoonya_0sOGXPSKHUCW9S, 5682270]
[paragraph, [109.0, 280.0, 559.0, 36.0], shoonya_0sOGXPSKHUCW9S, 5682270]
[paragraph, [109.0, 316.0, 559.0, 36.0], shoonya_0sOGXPSKHUCW9S, 5682270]
[paragraph, [109.0, 352.0, 559.0, 36.0], shoonya_0sOGXPSKHUCW9S, 5682270]
[paragraph, [109.0, 388.0, 559.0, 36.0], shoonya_0sOGXPSKHUCW9S, 5682270]
[paragraph, [109.0, 424.0, 559.0, 36.0], shoonya_0sOGXPSKHUCW9S, 5682270]
[paragraph, [685.0, 175.0, 316.0, 36.0], 2lRVVSC31L, 5682270]
[paragraph, [721.0, 221.0, 425.0, 36.0], FuVvZjOihl, 5682270]
[paragraph, [693.0, 263.0, 582.0, 36.0], rhO2XGRt3R, 5682270]
[paragraph, [693.0, 299.0, 582.0, 36.0], rhO2XGRt3R, 5682270]
[paragraph, [693.0, 335.0, 582.0, 36.0], rhO2XGRt3R, 5682270]
[paragraph, [693.0, 371.0, 582.0, 36.0], rhO2XGRt3R, 5682270]
[paragraph, [695.0, 436.0, 585.0, 36.0], nOqFe1M5hZ, 5682270]
[paragraph, [695.0, 472.0, 585.0, 36.0], nOqFe1M5hZ, 5682270]
[paragraph, [695.0, 508.0, 585.0, 36.0], nOqFe1M5hZ, 5682270]
[paragraph, [104.0, 480.0, 559.0, 36.0], QGXCB1cnZm, 5682270]
[paragraph, [104.0, 516.0, 559.0, 36.0], QGXCB1cnZm, 5682270]
[paragraph, [104.0, 565.0, 559.0, 36.0], NoZuDG0JCy, 5682270]
[paragraph, [104.0, 601.0, 559.0, 36.0], NoZuDG0JCy, 5682270]
[section-title, [906.0, 599.0, 128.0, 49.5], KhZQXGchxO, 5682270]
[paragraph, [101.0, 649.0, 565.0, 36.0], bg3At0uZyc, 5682270]
[paragraph, [101.0, 685.0, 565.0, 36.0], bg3At0uZyc, 5682270]
[paragraph, [101.0, 721.0, 565.0, 36.0], bg3At0uZyc, 5682270]
[paragraph, [101.0, 757.0, 565.0, 36.0], bg3At0uZyc, 5682270]
[paragraph, [101.0, 793.0, 565.0, 36.0], bg3At0uZyc, 5682270]
[paragraph, [101.0, 829.0, 565.0, 36.0], bg3At0uZyc, 5682270]
[paragraph, [101.0, 865.0, 565.0, 36.0], bg3At0uZyc, 5682270]
[paragraph, [101.0, 901.0, 565.0, 36.0], bg3At0uZyc, 5682270]
[paragraph, [101.0, 937.0, 565.0, 36.0], bg3At0uZyc, 5682270]
[paragraph, [101.0, 973.0, 565.0, 36.0], bg3At0uZyc, 5682270]
[paragraph, [101.0, 1009.0, 565.0, 36.0], bg3At0uZyc, 5682270]
[paragraph, [721.0, 689.0, 149.0, 36.0], WY5y6UfdSK, 5682270]
[paragraph, [717.0, 736.0, 115.0, 36.0], oEBVnawP4y, 5682270]
[paragraph, [697.0, 780.0, 570.0, 36.0], LpryUo4sJI, 5682270]
[paragraph, [697.0, 816.0, 570.0, 36.0], LpryUo4sJI, 5682270]
[paragraph, [697.0, 852.0, 570.0, 36.0], LpryUo4sJI, 5682270]
[paragraph, [697.0, 888.0, 570.0, 36.0], LpryUo4sJI, 5682270]
[paragraph, [697.0, 924.0, 570.0, 36.0], LpryUo4sJI, 5682270]
[paragraph, [697.0, 960.0, 570.0, 36.0], LpryUo4sJI, 5682270]
[paragraph, [702.0, 1034.0, 566.0, 36.0], CpP2xNe0Sj, 5682270]
[paragraph, [702.0, 1070.0, 566.0, 36.0], CpP2xNe0Sj, 5682270]
[paragraph, [702.0, 1106.0, 566.0, 36.0], CpP2xNe0Sj, 5682270]
[paragraph, [101.0, 1076.0, 568.0, 36.0], n7m3j93tzG, 5682270]
[paragraph, [101.0, 1112.0, 568.0, 36.0], n7m3j93tzG, 5682270]
[paragraph, [101.0, 1148.0, 568.0, 36.0], n7m3j93tzG, 5682270]
[paragraph, [721.0, 1161.0, 156.0, 36.0], DoaUBX_DvQ, 5682270]
[paragraph, [723.0, 1204.0, 302.0, 36.0], jw-KnDd7YJ, 5682270]
[paragraph, [99.0, 1205.0, 571.0, 36.0], C3llBxzeNv, 5682270]
[paragraph, [99.0, 1241.0, 571.0, 36.0], C3llBxzeNv, 5682270]
[paragraph, [99.0, 1277.0, 571.0, 36.0], C3llBxzeNv, 5682270]
[paragraph, [99.0, 1313.0, 571.0, 36.0], C3llBxzeNv, 5682270]
[paragraph, [99.0, 1349.0, 571.0, 36.0], C3llBxzeNv, 5682270]
[paragraph, [99.0, 1385.0, 571.0, 36.0], C3llBxzeNv, 5682270]
[paragraph, [99.0, 1421.0, 571.0, 36.0], C3llBxzeNv, 5682270]
[paragraph, [719.0, 1247.0, 231.0, 36.0], RjGsmDWnqi, 5682270]
[paragraph, [719.0, 1288.0, 254.0, 36.0], uhPj-YORVz, 5682270]
[paragraph, [702.0, 1333.0, 559.0, 36.0], Z0H96H2H--, 5682270]
[paragraph, [702.0, 1369.0, 559.0, 36.0], Z0H96H2H--, 5682270]
[paragraph, [702.0, 1405.0, 559.0, 36.0], Z0H96H2H--, 5682270]
[paragraph, [702.0, 1441.0, 559.0, 36.0], Z0H96H2H--, 5682270]
[paragraph, [144.0, 1462.0, 403.0, 36.0], RqOJHtG2QA, 5682270]
[paragraph, [702.0, 1504.0, 562.0, 36.0], iGEx1nFDwD, 5682270]
[paragraph, [702.0, 1540.0, 562.0, 36.0], iGEx1nFDwD, 5682270]
[paragraph, [145.0, 1506.0, 400.0, 36.0], k0sxijVPll, 5682270]
[paragraph, [104.0, 1547.0, 571.0, 36.0], 7aaQ3sCOTv, 5682270]
[paragraph, [104.0, 1583.0, 571.0, 36.0], 7aaQ3sCOTv, 5682270]
[paragraph, [104.0, 1619.0, 571.0, 36.0], 7aaQ3sCOTv, 5682270]
[paragraph, [699.0, 1589.0, 568.0, 36.0], Y9Fb403p9V, 5682270]
[paragraph, [699.0, 1625.0, 568.0, 36.0], Y9Fb403p9V, 5682270]
[paragraph, [699.0, 1661.0, 568.0, 36.0], Y9Fb403p9V, 5682270]
[paragraph, [134.0, 1675.0, 539.0, 36.0], FAhHD5THCo, 5682270]
