[690, 512]
[folio, [204.0, 34.0, 97.0, 18.0], HengYwOBV7, 6491903]
[headline, [35.0, 72.0, 439.0, 25.5], 4PVaUQRKrC, 6491903]
[paragraph, [254.0, 144.0, 217.0, 18.0], RCi9NVmZmY, 6491903]
[paragraph, [254.0, 162.0, 217.0, 18.0], RCi9NVmZmY, 6491903]
[paragraph, [254.0, 180.0, 217.0, 18.0], RCi9NVmZmY, 6491903]
[paragraph, [257.0, 209.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 227.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 245.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 263.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 281.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 299.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 317.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 335.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 353.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 371.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 389.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 407.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 425.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 443.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 461.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 479.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 497.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 515.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 533.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 551.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 569.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 587.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[paragraph, [257.0, 605.0, 213.0, 18.0], 2EAsoRHsea, 6491903]
[figure-caption, [86.0, 302.0, 103.0, 18.0], _MtE_oCT81, 6491903]
[paragraph, [30.0, 342.0, 214.0, 18.0], yy73VLnQX-, 6491903]
[paragraph, [30.0, 360.0, 214.0, 18.0], yy73VLnQX-, 6491903]
[paragraph, [30.0, 378.0, 214.0, 18.0], yy73VLnQX-, 6491903]
[paragraph, [30.0, 396.0, 214.0, 18.0], yy73VLnQX-, 6491903]
[paragraph, [30.0, 414.0, 214.0, 18.0], yy73VLnQX-, 6491903]
[paragraph, [30.0, 432.0, 214.0, 18.0], yy73VLnQX-, 6491903]
[paragraph, [30.0, 450.0, 214.0, 18.0], yy73VLnQX-, 6491903]
[paragraph, [30.0, 468.0, 214.0, 18.0], yy73VLnQX-, 6491903]
[paragraph, [30.0, 486.0, 214.0, 18.0], yy73VLnQX-, 6491903]
[paragraph, [28.0, 507.0, 215.0, 18.0], v6fySwK8Ti, 6491903]
[paragraph, [28.0, 525.0, 215.0, 18.0], v6fySwK8Ti, 6491903]
[paragraph, [28.0, 543.0, 215.0, 18.0], v6fySwK8Ti, 6491903]
[paragraph, [28.0, 561.0, 215.0, 18.0], v6fySwK8Ti, 6491903]
[paragraph, [28.0, 579.0, 215.0, 18.0], v6fySwK8Ti, 6491903]
[paragraph, [28.0, 597.0, 215.0, 18.0], v6fySwK8Ti, 6491903]
[paragraph, [28.0, 615.0, 215.0, 18.0], v6fySwK8Ti, 6491903]
