[2200, 1700]
[paragraph, [286.0, 254.0, 1008.0, 36.0], shoonya_2sE1DX6OTP0YOP, 5652991]
[paragraph, [286.0, 290.0, 1008.0, 36.0], shoonya_2sE1DX6OTP0YOP, 5652991]
[paragraph, [286.0, 326.0, 1008.0, 36.0], shoonya_2sE1DX6OTP0YOP, 5652991]
[paragraph, [286.0, 362.0, 1008.0, 36.0], shoonya_2sE1DX6OTP0YOP, 5652991]
[paragraph, [286.0, 398.0, 1008.0, 36.0], shoonya_2sE1DX6OTP0YOP, 5652991]
[paragraph, [286.0, 434.0, 1008.0, 36.0], shoonya_2sE1DX6OTP0YOP, 5652991]
[paragraph, [286.0, 470.0, 1008.0, 36.0], shoonya_2sE1DX6OTP0YOP, 5652991]
[paragraph, [286.0, 506.0, 1008.0, 36.0], shoonya_2sE1DX6OTP0YOP, 5652991]
[paragraph, [389.0, 567.0, 702.0, 36.0], shoonya_4sGXKKE5OK2ZIM, 5652991]
[paragraph, [286.0, 622.0, 998.0, 36.0], D6xQurDQlE, 5652991]
[paragraph, [286.0, 658.0, 998.0, 36.0], D6xQurDQlE, 5652991]
[paragraph, [286.0, 694.0, 998.0, 36.0], D6xQurDQlE, 5652991]
[paragraph, [286.0, 730.0, 998.0, 36.0], D6xQurDQlE, 5652991]
[paragraph, [286.0, 766.0, 998.0, 36.0], D6xQurDQlE, 5652991]
[paragraph, [286.0, 811.0, 1005.0, 36.0], y4Hz8zvLa4, 5652991]
[paragraph, [286.0, 847.0, 1005.0, 36.0], y4Hz8zvLa4, 5652991]
[paragraph, [286.0, 883.0, 1005.0, 36.0], y4Hz8zvLa4, 5652991]
[paragraph, [286.0, 919.0, 1005.0, 36.0], y4Hz8zvLa4, 5652991]
[paragraph, [286.0, 955.0, 1005.0, 36.0], y4Hz8zvLa4, 5652991]
[paragraph, [282.0, 1003.0, 1011.0, 36.0], IedOYF-KOw, 5652991]
[paragraph, [282.0, 1039.0, 1011.0, 36.0], IedOYF-KOw, 5652991]
[paragraph, [282.0, 1075.0, 1011.0, 36.0], IedOYF-KOw, 5652991]
[paragraph, [380.0, 1126.0, 323.0, 36.0], jiZ_33nHnX, 5652991]
[paragraph, [276.0, 1183.0, 1009.0, 36.0], 8_iHSYxsfs, 5652991]
[paragraph, [276.0, 1219.0, 1009.0, 36.0], 8_iHSYxsfs, 5652991]
[paragraph, [276.0, 1255.0, 1009.0, 36.0], 8_iHSYxsfs, 5652991]
[paragraph, [373.0, 1311.0, 809.0, 36.0], 7Zrq1_An-M, 5652991]
[paragraph, [376.0, 1375.0, 490.0, 36.0], 4erm4Xgv56, 5652991]
[paragraph, [272.0, 1430.0, 1009.0, 36.0], Rnz0aHOG3T, 5652991]
[paragraph, [272.0, 1466.0, 1009.0, 36.0], Rnz0aHOG3T, 5652991]
[paragraph, [272.0, 1502.0, 1009.0, 36.0], Rnz0aHOG3T, 5652991]
[paragraph, [374.0, 1557.0, 716.0, 36.0], shoonya_5sDNSMTJ8T6O0X, 5652991]
[paragraph, [277.0, 1621.0, 1005.0, 36.0], shoonya_0sC2ONZA1GQBCA, 5652991]
[paragraph, [277.0, 1657.0, 1005.0, 36.0], shoonya_0sC2ONZA1GQBCA, 5652991]
[paragraph, [277.0, 1693.0, 1005.0, 36.0], shoonya_0sC2ONZA1GQBCA, 5652991]
[paragraph, [277.0, 1729.0, 1005.0, 36.0], shoonya_0sC2ONZA1GQBCA, 5652991]
[paragraph, [277.0, 1765.0, 1005.0, 36.0], shoonya_0sC2ONZA1GQBCA, 5652991]
[paragraph, [371.0, 1806.0, 913.0, 36.0], shoonya_3s79ZF7UTZ9YLD, 5652991]
[folio, [366.0, 1914.0, 99.0, 36.0], shoonya_1sXOVW8C1VJEQU, 5652991]
