[4767, 3325]
[folio, [1740.0, 356.0, 960.0, 52.5], 1a6bGLMBEX, 5710318]
[folio, [1740.0, 408.5, 960.0, 52.5], 1a6bGLMBEX, 5710318]
[paragraph, [373.0, 516.0, 2348.0, 52.5], sW7J78bsG9, 5710318]
[paragraph, [373.0, 568.5, 2348.0, 52.5], sW7J78bsG9, 5710318]
[paragraph, [373.0, 621.0, 2348.0, 52.5], sW7J78bsG9, 5710318]
[paragraph, [373.0, 673.5, 2348.0, 52.5], sW7J78bsG9, 5710318]
[paragraph, [339.0, 772.0, 2431.0, 52.5], BwLZoXCOkM, 5710318]
[paragraph, [339.0, 824.5, 2431.0, 52.5], BwLZoXCOkM, 5710318]
[paragraph, [339.0, 877.0, 2431.0, 52.5], BwLZoXCOkM, 5710318]
[paragraph, [339.0, 929.5, 2431.0, 52.5], BwLZoXCOkM, 5710318]
[paragraph, [339.0, 982.0, 2431.0, 52.5], BwLZoXCOkM, 5710318]
[paragraph, [339.0, 1034.5, 2431.0, 52.5], BwLZoXCOkM, 5710318]
[paragraph, [339.0, 1087.0, 2431.0, 52.5], BwLZoXCOkM, 5710318]
[paragraph, [339.0, 1139.5, 2431.0, 52.5], BwLZoXCOkM, 5710318]
[paragraph, [339.0, 1192.0, 2431.0, 52.5], BwLZoXCOkM, 5710318]
[paragraph, [570.0, 1254.0, 1647.0, 52.5], u8_ylAGj5G, 5710318]
[paragraph, [570.0, 1306.5, 1647.0, 52.5], u8_ylAGj5G, 5710318]
[paragraph, [356.0, 1367.0, 2423.0, 52.5], qsUaBfu6XK, 5710318]
[paragraph, [356.0, 1419.5, 2423.0, 52.5], qsUaBfu6XK, 5710318]
[paragraph, [356.0, 1472.0, 2423.0, 52.5], qsUaBfu6XK, 5710318]
[paragraph, [356.0, 1524.5, 2423.0, 52.5], qsUaBfu6XK, 5710318]
[paragraph, [356.0, 1577.0, 2423.0, 52.5], qsUaBfu6XK, 5710318]
[paragraph, [356.0, 1629.5, 2423.0, 52.5], qsUaBfu6XK, 5710318]
[paragraph, [364.0, 1724.0, 2423.0, 52.5], VNbklJbcFa, 5710318]
[paragraph, [364.0, 1776.5, 2423.0, 52.5], VNbklJbcFa, 5710318]
[paragraph, [364.0, 1829.0, 2423.0, 52.5], VNbklJbcFa, 5710318]
[paragraph, [364.0, 1881.5, 2423.0, 52.5], VNbklJbcFa, 5710318]
[paragraph, [356.0, 1976.0, 2423.0, 52.5], B00tQ13qa8, 5710318]
[paragraph, [356.0, 2028.5, 2423.0, 52.5], B00tQ13qa8, 5710318]
[paragraph, [356.0, 2081.0, 2423.0, 52.5], B00tQ13qa8, 5710318]
[paragraph, [356.0, 2133.5, 2423.0, 52.5], B00tQ13qa8, 5710318]
[paragraph, [356.0, 2186.0, 2423.0, 52.5], B00tQ13qa8, 5710318]
[paragraph, [356.0, 2238.5, 2423.0, 52.5], B00tQ13qa8, 5710318]
[quote, [578.0, 1978.0, 573.0, 52.5], g9M3J66Eql, 5710318]
[paragraph, [616.0, 2341.0, 1761.0, 52.5], 18rv6Xacty, 5710318]
[paragraph, [616.0, 2393.5, 1761.0, 52.5], 18rv6Xacty, 5710318]
[paragraph, [549.0, 2555.0, 2088.0, 52.5], vJFY4FBgah, 5710318]
[paragraph, [549.0, 2607.5, 2088.0, 52.5], vJFY4FBgah, 5710318]
[paragraph, [549.0, 2660.0, 2088.0, 52.5], vJFY4FBgah, 5710318]
[paragraph, [549.0, 2712.5, 2088.0, 52.5], vJFY4FBgah, 5710318]
