[2000, 1414]
[folio, [131.0, 129.0, 143.0, 36.0], lzLNNFII-q, 6533364]
[paragraph, [730.0, 460.0, 447.0, 36.0], nFwEMl2LpE, 6533364]
[paragraph, [730.0, 496.0, 447.0, 36.0], nFwEMl2LpE, 6533364]
[paragraph, [730.0, 532.0, 447.0, 36.0], nFwEMl2LpE, 6533364]
[paragraph, [730.0, 568.0, 447.0, 36.0], nFwEMl2LpE, 6533364]
[paragraph, [730.0, 604.0, 447.0, 36.0], nFwEMl2LpE, 6533364]
[paragraph, [134.0, 462.0, 447.0, 36.0], shoonya_0s6RAKL98YFZ3M, 6533364]
[paragraph, [134.0, 498.0, 447.0, 36.0], shoonya_0s6RAKL98YFZ3M, 6533364]
[paragraph, [134.0, 534.0, 447.0, 36.0], shoonya_0s6RAKL98YFZ3M, 6533364]
[paragraph, [134.0, 570.0, 447.0, 36.0], shoonya_0s6RAKL98YFZ3M, 6533364]
[paragraph, [134.0, 606.0, 447.0, 36.0], shoonya_0s6RAKL98YFZ3M, 6533364]
[paragraph, [725.0, 761.0, 447.0, 36.0], DaE_9z6gqi, 6533364]
[paragraph, [725.0, 797.0, 447.0, 36.0], DaE_9z6gqi, 6533364]
[paragraph, [725.0, 833.0, 447.0, 36.0], DaE_9z6gqi, 6533364]
[paragraph, [725.0, 869.0, 447.0, 36.0], DaE_9z6gqi, 6533364]
[paragraph, [725.0, 905.0, 447.0, 36.0], DaE_9z6gqi, 6533364]
[paragraph, [129.0, 763.0, 447.0, 36.0], zImVtMYepB, 6533364]
[paragraph, [129.0, 799.0, 447.0, 36.0], zImVtMYepB, 6533364]
[paragraph, [129.0, 835.0, 447.0, 36.0], zImVtMYepB, 6533364]
[paragraph, [129.0, 871.0, 447.0, 36.0], zImVtMYepB, 6533364]
[paragraph, [129.0, 907.0, 447.0, 36.0], zImVtMYepB, 6533364]
[paragraph, [723.0, 1061.0, 447.0, 36.0], oYHZiJ7pJB, 6533364]
[paragraph, [723.0, 1097.0, 447.0, 36.0], oYHZiJ7pJB, 6533364]
[paragraph, [723.0, 1133.0, 447.0, 36.0], oYHZiJ7pJB, 6533364]
[paragraph, [723.0, 1169.0, 447.0, 36.0], oYHZiJ7pJB, 6533364]
[paragraph, [723.0, 1205.0, 447.0, 36.0], oYHZiJ7pJB, 6533364]
[paragraph, [127.0, 1062.0, 447.0, 36.0], O4P-obqHK3, 6533364]
[paragraph, [127.0, 1098.0, 447.0, 36.0], O4P-obqHK3, 6533364]
[paragraph, [127.0, 1134.0, 447.0, 36.0], O4P-obqHK3, 6533364]
[paragraph, [127.0, 1170.0, 447.0, 36.0], O4P-obqHK3, 6533364]
[paragraph, [127.0, 1206.0, 447.0, 36.0], O4P-obqHK3, 6533364]
[headline, [113.0, 1491.0, 650.0, 67.5], IrJcmQHrCv, 6533364]
[headline, [113.0, 1558.5, 650.0, 67.5], IrJcmQHrCv, 6533364]
[headline, [113.0, 1626.0, 650.0, 67.5], IrJcmQHrCv, 6533364]
