[2200, 1700]
[paragraph, [303.0, 77.0, 1106.0, 36.0], shoonya_0s66COXUTRZNM1, 5731694]
[paragraph, [303.0, 113.0, 1106.0, 36.0], shoonya_0s66COXUTRZNM1, 5731694]
[paragraph, [303.0, 149.0, 1106.0, 36.0], shoonya_0s66COXUTRZNM1, 5731694]
[paragraph, [303.0, 185.0, 1106.0, 36.0], shoonya_0s66COXUTRZNM1, 5731694]
[paragraph, [303.0, 221.0, 1106.0, 36.0], shoonya_0s66COXUTRZNM1, 5731694]
[paragraph, [303.0, 257.0, 1106.0, 36.0], shoonya_0s66COXUTRZNM1, 5731694]
[paragraph, [303.0, 293.0, 1106.0, 36.0], shoonya_0s66COXUTRZNM1, 5731694]
[paragraph, [303.0, 329.0, 1106.0, 36.0], shoonya_0s66COXUTRZNM1, 5731694]
[paragraph, [303.0, 365.0, 1106.0, 36.0], shoonya_0s66COXUTRZNM1, 5731694]
[paragraph, [303.0, 401.0, 1106.0, 36.0], shoonya_0s66COXUTRZNM1, 5731694]
[paragraph, [303.0, 437.0, 1106.0, 36.0], shoonya_0s66COXUTRZNM1, 5731694]
[paragraph, [303.0, 473.0, 1106.0, 36.0], shoonya_0s66COXUTRZNM1, 5731694]
[paragraph, [303.0, 509.0, 1106.0, 36.0], shoonya_0s66COXUTRZNM1, 5731694]
[paragraph, [319.0, 582.0, 1097.0, 36.0], shoonya_3sLR9AMB0NHV6O, 5731694]
[paragraph, [319.0, 618.0, 1097.0, 36.0], shoonya_3sLR9AMB0NHV6O, 5731694]
[paragraph, [319.0, 654.0, 1097.0, 36.0], shoonya_3sLR9AMB0NHV6O, 5731694]
[paragraph, [319.0, 690.0, 1097.0, 36.0], shoonya_3sLR9AMB0NHV6O, 5731694]
[paragraph, [319.0, 726.0, 1097.0, 36.0], shoonya_3sLR9AMB0NHV6O, 5731694]
[paragraph, [319.0, 762.0, 1097.0, 36.0], shoonya_3sLR9AMB0NHV6O, 5731694]
[paragraph, [319.0, 798.0, 1097.0, 36.0], shoonya_3sLR9AMB0NHV6O, 5731694]
[paragraph, [319.0, 834.0, 1097.0, 36.0], shoonya_3sLR9AMB0NHV6O, 5731694]
[paragraph, [319.0, 870.0, 1097.0, 36.0], shoonya_3sLR9AMB0NHV6O, 5731694]
[paragraph, [322.0, 916.0, 1099.0, 36.0], shoonya_2s5ZPW2NWTDS2R, 5731694]
[paragraph, [322.0, 952.0, 1099.0, 36.0], shoonya_2s5ZPW2NWTDS2R, 5731694]
[paragraph, [322.0, 988.0, 1099.0, 36.0], shoonya_2s5ZPW2NWTDS2R, 5731694]
[paragraph, [322.0, 1024.0, 1099.0, 36.0], shoonya_2s5ZPW2NWTDS2R, 5731694]
[paragraph, [322.0, 1060.0, 1099.0, 36.0], shoonya_2s5ZPW2NWTDS2R, 5731694]
[paragraph, [322.0, 1096.0, 1099.0, 36.0], shoonya_2s5ZPW2NWTDS2R, 5731694]
[paragraph, [322.0, 1132.0, 1099.0, 36.0], shoonya_2s5ZPW2NWTDS2R, 5731694]
[paragraph, [322.0, 1168.0, 1099.0, 36.0], shoonya_2s5ZPW2NWTDS2R, 5731694]
[paragraph, [322.0, 1204.0, 1099.0, 36.0], shoonya_2s5ZPW2NWTDS2R, 5731694]
[paragraph, [322.0, 1240.0, 1099.0, 36.0], shoonya_2s5ZPW2NWTDS2R, 5731694]
[paragraph, [329.0, 1319.0, 1097.0, 36.0], shoonya_1sUA6BE2P9G74M, 5731694]
[paragraph, [329.0, 1355.0, 1097.0, 36.0], shoonya_1sUA6BE2P9G74M, 5731694]
[paragraph, [329.0, 1391.0, 1097.0, 36.0], shoonya_1sUA6BE2P9G74M, 5731694]
[paragraph, [329.0, 1427.0, 1097.0, 36.0], shoonya_1sUA6BE2P9G74M, 5731694]
[paragraph, [329.0, 1463.0, 1097.0, 36.0], shoonya_1sUA6BE2P9G74M, 5731694]
[paragraph, [329.0, 1499.0, 1097.0, 36.0], shoonya_1sUA6BE2P9G74M, 5731694]
[paragraph, [329.0, 1535.0, 1097.0, 36.0], shoonya_1sUA6BE2P9G74M, 5731694]
[paragraph, [329.0, 1571.0, 1097.0, 36.0], shoonya_1sUA6BE2P9G74M, 5731694]
[paragraph, [329.0, 1607.0, 1097.0, 36.0], shoonya_1sUA6BE2P9G74M, 5731694]
[paragraph, [329.0, 1643.0, 1097.0, 36.0], shoonya_1sUA6BE2P9G74M, 5731694]
[paragraph, [329.0, 1679.0, 1097.0, 36.0], shoonya_1sUA6BE2P9G74M, 5731694]
[paragraph, [329.0, 1715.0, 1097.0, 36.0], shoonya_1sUA6BE2P9G74M, 5731694]
[paragraph, [332.0, 1765.0, 1099.0, 36.0], shoonya_5sCSM4JSTQ97QL, 5731694]
[paragraph, [332.0, 1801.0, 1099.0, 36.0], shoonya_5sCSM4JSTQ97QL, 5731694]
[paragraph, [332.0, 1837.0, 1099.0, 36.0], shoonya_5sCSM4JSTQ97QL, 5731694]
[paragraph, [332.0, 1873.0, 1099.0, 36.0], shoonya_5sCSM4JSTQ97QL, 5731694]
[folio, [974.0, 2021.0, 362.0, 36.0], hK8jrFvC8s, 5731694]
