[2280, 1780]
[folio, [1410.0, 60.0, 267.0, 36.0], Gx9EeCwUUt, 5755267]
[paragraph, [172.0, 355.0, 1440.0, 36.0], shoonya_7sBJBDZML78DJB, 5755267]
[paragraph, [172.0, 391.0, 1440.0, 36.0], shoonya_7sBJBDZML78DJB, 5755267]
[paragraph, [172.0, 427.0, 1440.0, 36.0], shoonya_7sBJBDZML78DJB, 5755267]
[paragraph, [172.0, 463.0, 1440.0, 36.0], shoonya_7sBJBDZML78DJB, 5755267]
[paragraph, [172.0, 499.0, 1440.0, 36.0], shoonya_7sBJBDZML78DJB, 5755267]
[paragraph, [172.0, 535.0, 1440.0, 36.0], shoonya_7sBJBDZML78DJB, 5755267]
[paragraph, [172.0, 571.0, 1440.0, 36.0], shoonya_7sBJBDZML78DJB, 5755267]
[paragraph, [172.0, 607.0, 1440.0, 36.0], shoonya_7sBJBDZML78DJB, 5755267]
[paragraph, [172.0, 643.0, 1440.0, 36.0], shoonya_7sBJBDZML78DJB, 5755267]
[paragraph, [172.0, 679.0, 1440.0, 36.0], shoonya_7sBJBDZML78DJB, 5755267]
[paragraph, [172.0, 715.0, 1440.0, 36.0], shoonya_7sBJBDZML78DJB, 5755267]
[paragraph, [172.0, 751.0, 1440.0, 36.0], shoonya_7sBJBDZML78DJB, 5755267]
[paragraph, [172.0, 787.0, 1440.0, 36.0], shoonya_7sBJBDZML78DJB, 5755267]
[paragraph, [172.0, 823.0, 1440.0, 36.0], shoonya_7sBJBDZML78DJB, 5755267]
[paragraph, [172.0, 859.0, 1440.0, 36.0], shoonya_7sBJBDZML78DJB, 5755267]
[paragraph, [172.0, 895.0, 1440.0, 36.0], shoonya_7sBJBDZML78DJB, 5755267]
[paragraph, [172.0, 931.0, 1440.0, 36.0], shoonya_7sBJBDZML78DJB, 5755267]
[paragraph, [172.0, 967.0, 1440.0, 36.0], shoonya_7sBJBDZML78DJB, 5755267]
[placeholder-text, [152.0, 1211.0, 1489.0, 18.0], shoonya_10sKT6B0HTSLS9, 5755267]
[placeholder-text, [152.0, 1229.0, 1489.0, 18.0], shoonya_10sKT6B0HTSLS9, 5755267]
[placeholder-text, [152.0, 1247.0, 1489.0, 18.0], shoonya_10sKT6B0HTSLS9, 5755267]
[placeholder-text, [152.0, 1265.0, 1489.0, 18.0], shoonya_10sKT6B0HTSLS9, 5755267]
[placeholder-text, [152.0, 1283.0, 1489.0, 18.0], shoonya_10sKT6B0HTSLS9, 5755267]
[placeholder-text, [152.0, 1301.0, 1489.0, 18.0], shoonya_10sKT6B0HTSLS9, 5755267]
[placeholder-text, [152.0, 1319.0, 1489.0, 18.0], shoonya_10sKT6B0HTSLS9, 5755267]
[placeholder-text, [152.0, 1376.0, 1481.0, 18.0], shoonya_9sBGTQ7WY7I9L8, 5755267]
[placeholder-text, [152.0, 1394.0, 1481.0, 18.0], shoonya_9sBGTQ7WY7I9L8, 5755267]
[placeholder-text, [152.0, 1412.0, 1481.0, 18.0], shoonya_9sBGTQ7WY7I9L8, 5755267]
[placeholder-text, [152.0, 1430.0, 1481.0, 18.0], shoonya_9sBGTQ7WY7I9L8, 5755267]
[placeholder-text, [152.0, 1448.0, 1481.0, 18.0], shoonya_9sBGTQ7WY7I9L8, 5755267]
[placeholder-text, [152.0, 1466.0, 1481.0, 18.0], shoonya_9sBGTQ7WY7I9L8, 5755267]
[placeholder-text, [152.0, 1484.0, 1481.0, 18.0], shoonya_9sBGTQ7WY7I9L8, 5755267]
[placeholder-text, [145.0, 1527.0, 1487.0, 18.0], shoonya_3s2MDN2D1O83RV, 5755267]
[placeholder-text, [145.0, 1545.0, 1487.0, 18.0], shoonya_3s2MDN2D1O83RV, 5755267]
[placeholder-text, [145.0, 1563.0, 1487.0, 18.0], shoonya_3s2MDN2D1O83RV, 5755267]
[placeholder-text, [145.0, 1581.0, 1487.0, 18.0], shoonya_3s2MDN2D1O83RV, 5755267]
[placeholder-text, [145.0, 1599.0, 1487.0, 18.0], shoonya_3s2MDN2D1O83RV, 5755267]
[placeholder-text, [145.0, 1617.0, 1487.0, 18.0], shoonya_3s2MDN2D1O83RV, 5755267]
[placeholder-text, [157.0, 1688.0, 1468.0, 18.0], shoonya_5s5AP4XGUGB5KL, 5755267]
[placeholder-text, [157.0, 1706.0, 1468.0, 18.0], shoonya_5s5AP4XGUGB5KL, 5755267]
[placeholder-text, [157.0, 1724.0, 1468.0, 18.0], shoonya_5s5AP4XGUGB5KL, 5755267]
[placeholder-text, [157.0, 1742.0, 1468.0, 18.0], shoonya_5s5AP4XGUGB5KL, 5755267]
[placeholder-text, [157.0, 1760.0, 1468.0, 18.0], shoonya_5s5AP4XGUGB5KL, 5755267]
[placeholder-text, [157.0, 1778.0, 1468.0, 18.0], shoonya_5s5AP4XGUGB5KL, 5755267]
[placeholder-text, [157.0, 1796.0, 1468.0, 18.0], shoonya_5s5AP4XGUGB5KL, 5755267]
