[2339, 1609]
[folio, [815.0, 108.0, 570.0, 36.0], VwjrlxMVft, 5656310]
[folio, [815.0, 144.0, 570.0, 36.0], VwjrlxMVft, 5656310]
[folio, [226.0, 126.0, 383.0, 36.0], TNZABZp0Mu, 5656310]
[paragraph, [144.0, 232.0, 1302.0, 36.0], shoonya_4sC2VCRCEXOH5Z, 5656310]
[paragraph, [144.0, 308.0, 1319.0, 36.0], shoonya_3s5G7M4LAQBSLD, 5656310]
[paragraph, [144.0, 344.0, 1319.0, 36.0], shoonya_3s5G7M4LAQBSLD, 5656310]
[paragraph, [144.0, 380.0, 1319.0, 36.0], shoonya_3s5G7M4LAQBSLD, 5656310]
[paragraph, [144.0, 416.0, 1319.0, 36.0], shoonya_3s5G7M4LAQBSLD, 5656310]
[paragraph, [144.0, 452.0, 1319.0, 36.0], shoonya_3s5G7M4LAQBSLD, 5656310]
[paragraph, [144.0, 488.0, 1319.0, 36.0], shoonya_3s5G7M4LAQBSLD, 5656310]
[paragraph, [144.0, 524.0, 1319.0, 36.0], shoonya_3s5G7M4LAQBSLD, 5656310]
[paragraph, [144.0, 560.0, 1319.0, 36.0], shoonya_3s5G7M4LAQBSLD, 5656310]
[paragraph, [120.0, 626.0, 1353.0, 36.0], A9sl0gY9zz, 5656310]
[paragraph, [120.0, 662.0, 1353.0, 36.0], A9sl0gY9zz, 5656310]
[paragraph, [120.0, 698.0, 1353.0, 36.0], A9sl0gY9zz, 5656310]
[paragraph, [120.0, 734.0, 1353.0, 36.0], A9sl0gY9zz, 5656310]
[paragraph, [120.0, 770.0, 1353.0, 36.0], A9sl0gY9zz, 5656310]
[paragraph, [143.0, 842.0, 1318.0, 36.0], shoonya_2sGKWJ1B8GFVUX, 5656310]
[paragraph, [143.0, 878.0, 1318.0, 36.0], shoonya_2sGKWJ1B8GFVUX, 5656310]
[paragraph, [143.0, 914.0, 1318.0, 36.0], shoonya_2sGKWJ1B8GFVUX, 5656310]
[paragraph, [143.0, 950.0, 1318.0, 36.0], shoonya_2sGKWJ1B8GFVUX, 5656310]
[paragraph, [143.0, 986.0, 1318.0, 36.0], shoonya_2sGKWJ1B8GFVUX, 5656310]
[paragraph, [143.0, 1022.0, 1318.0, 36.0], shoonya_2sGKWJ1B8GFVUX, 5656310]
[paragraph, [143.0, 1058.0, 1318.0, 36.0], shoonya_2sGKWJ1B8GFVUX, 5656310]
[paragraph, [143.0, 1094.0, 1318.0, 36.0], shoonya_2sGKWJ1B8GFVUX, 5656310]
[folio, [899.0, 2146.0, 570.0, 36.0], 21KAdzcGrg, 5656310]
[folio, [899.0, 2182.0, 570.0, 36.0], 21KAdzcGrg, 5656310]
[folio, [122.0, 2148.0, 598.0, 36.0], tXtCx5Ar9b, 5656310]
