[1625, 1211]
[folio, [80.0, 74.0, 197.0, 36.0], 0DRR3128It, 5742167]
[paragraph, [785.0, 83.0, 351.0, 36.0], sBURBeC1WV, 5742167]
[paragraph, [785.0, 119.0, 351.0, 36.0], sBURBeC1WV, 5742167]
[paragraph, [785.0, 155.0, 351.0, 36.0], sBURBeC1WV, 5742167]
[paragraph, [785.0, 191.0, 351.0, 36.0], sBURBeC1WV, 5742167]
[paragraph, [785.0, 227.0, 351.0, 36.0], sBURBeC1WV, 5742167]
[paragraph, [785.0, 263.0, 351.0, 36.0], sBURBeC1WV, 5742167]
[paragraph, [785.0, 299.0, 351.0, 36.0], sBURBeC1WV, 5742167]
[paragraph, [785.0, 335.0, 351.0, 36.0], sBURBeC1WV, 5742167]
[paragraph, [785.0, 371.0, 351.0, 36.0], sBURBeC1WV, 5742167]
[paragraph, [785.0, 407.0, 351.0, 36.0], sBURBeC1WV, 5742167]
[paragraph, [785.0, 443.0, 351.0, 36.0], sBURBeC1WV, 5742167]
[paragraph, [785.0, 479.0, 351.0, 36.0], sBURBeC1WV, 5742167]
[paragraph, [785.0, 515.0, 351.0, 36.0], sBURBeC1WV, 5742167]
[paragraph, [785.0, 551.0, 351.0, 36.0], sBURBeC1WV, 5742167]
[paragraph, [785.0, 587.0, 351.0, 36.0], sBURBeC1WV, 5742167]
[paragraph, [785.0, 623.0, 351.0, 36.0], sBURBeC1WV, 5742167]
[paragraph, [785.0, 659.0, 351.0, 36.0], sBURBeC1WV, 5742167]
[section-title, [97.0, 149.0, 662.0, 49.5], shoonya_0sTU4QHTDKOGG4, 5742167]
[paragraph, [431.0, 222.0, 347.0, 36.0], ZqTAXXwaEd, 5742167]
[paragraph, [431.0, 258.0, 347.0, 36.0], ZqTAXXwaEd, 5742167]
[paragraph, [431.0, 294.0, 347.0, 36.0], ZqTAXXwaEd, 5742167]
[paragraph, [431.0, 330.0, 347.0, 36.0], ZqTAXXwaEd, 5742167]
[paragraph, [431.0, 366.0, 347.0, 36.0], ZqTAXXwaEd, 5742167]
[paragraph, [431.0, 402.0, 347.0, 36.0], ZqTAXXwaEd, 5742167]
[paragraph, [431.0, 438.0, 347.0, 36.0], ZqTAXXwaEd, 5742167]
[paragraph, [431.0, 474.0, 347.0, 36.0], ZqTAXXwaEd, 5742167]
[paragraph, [431.0, 510.0, 347.0, 36.0], ZqTAXXwaEd, 5742167]
[paragraph, [431.0, 546.0, 347.0, 36.0], ZqTAXXwaEd, 5742167]
[paragraph, [431.0, 582.0, 347.0, 36.0], ZqTAXXwaEd, 5742167]
[paragraph, [431.0, 618.0, 347.0, 36.0], ZqTAXXwaEd, 5742167]
[paragraph, [72.0, 224.0, 347.0, 36.0], R8X0353FEu, 5742167]
[paragraph, [72.0, 260.0, 347.0, 36.0], R8X0353FEu, 5742167]
[paragraph, [72.0, 296.0, 347.0, 36.0], R8X0353FEu, 5742167]
[paragraph, [72.0, 332.0, 347.0, 36.0], R8X0353FEu, 5742167]
[paragraph, [72.0, 368.0, 347.0, 36.0], R8X0353FEu, 5742167]
[paragraph, [72.0, 404.0, 347.0, 36.0], R8X0353FEu, 5742167]
[paragraph, [72.0, 440.0, 347.0, 36.0], R8X0353FEu, 5742167]
[paragraph, [72.0, 476.0, 347.0, 36.0], R8X0353FEu, 5742167]
[paragraph, [72.0, 512.0, 347.0, 36.0], R8X0353FEu, 5742167]
[paragraph, [72.0, 548.0, 347.0, 36.0], R8X0353FEu, 5742167]
[paragraph, [72.0, 584.0, 347.0, 36.0], R8X0353FEu, 5742167]
[paragraph, [72.0, 620.0, 347.0, 36.0], R8X0353FEu, 5742167]
[paragraph, [72.0, 656.0, 347.0, 36.0], R8X0353FEu, 5742167]
[paragraph, [72.0, 692.0, 347.0, 36.0], R8X0353FEu, 5742167]
[paragraph, [72.0, 728.0, 347.0, 36.0], R8X0353FEu, 5742167]
[paragraph, [72.0, 764.0, 347.0, 36.0], R8X0353FEu, 5742167]
[paragraph, [72.0, 800.0, 347.0, 36.0], R8X0353FEu, 5742167]
[paragraph, [72.0, 836.0, 347.0, 36.0], R8X0353FEu, 5742167]
[paragraph, [72.0, 872.0, 347.0, 36.0], R8X0353FEu, 5742167]
