[2339, 1653]
[paragraph, [245.0, 245.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 281.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 317.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 353.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 389.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 425.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 461.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 497.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 533.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 569.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 605.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 641.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 677.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 713.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 749.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 785.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 821.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 857.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 893.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 929.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 965.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1001.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1037.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1073.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1109.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1145.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1181.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1217.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1253.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1289.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1325.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1361.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1397.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1433.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1469.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1505.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1541.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1577.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1613.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1649.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1685.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1721.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1757.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1793.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1829.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1865.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1901.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1937.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[paragraph, [245.0, 1973.0, 1160.0, 36.0], shoonya_0sVKARAZW1V5IE, 5686913]
[reference, [683.0, 2049.0, 721.0, 36.0], N7bmgUT0lj, 5686913]
[paragraph, [241.0, 2055.0, 438.0, 36.0], aS2k3UnRhg, 5686913]
