[1037, 698]
[paragraph, [61.0, 104.0, 594.0, 18.0], HXmOqvzmvs, 5772449]
[paragraph, [61.0, 122.0, 594.0, 18.0], HXmOqvzmvs, 5772449]
[paragraph, [61.0, 140.0, 594.0, 18.0], HXmOqvzmvs, 5772449]
[paragraph, [61.0, 158.0, 594.0, 18.0], HXmOqvzmvs, 5772449]
[paragraph, [61.0, 176.0, 594.0, 18.0], HXmOqvzmvs, 5772449]
[paragraph, [61.0, 194.0, 594.0, 18.0], HXmOqvzmvs, 5772449]
[paragraph, [61.0, 212.0, 594.0, 18.0], HXmOqvzmvs, 5772449]
[paragraph, [61.0, 230.0, 594.0, 18.0], HXmOqvzmvs, 5772449]
[paragraph, [61.0, 248.0, 594.0, 18.0], HXmOqvzmvs, 5772449]
[paragraph, [61.0, 266.0, 594.0, 18.0], HXmOqvzmvs, 5772449]
[paragraph, [61.0, 284.0, 594.0, 18.0], HXmOqvzmvs, 5772449]
[paragraph, [136.0, 320.0, 501.0, 18.0], T0AXn6I97T, 5772449]
[paragraph, [136.0, 338.0, 501.0, 18.0], T0AXn6I97T, 5772449]
[paragraph, [136.0, 356.0, 501.0, 18.0], T0AXn6I97T, 5772449]
[paragraph, [136.0, 374.0, 501.0, 18.0], T0AXn6I97T, 5772449]
[paragraph, [85.0, 413.0, 566.0, 18.0], QBr86wWKtl, 5772449]
[paragraph, [85.0, 431.0, 566.0, 18.0], QBr86wWKtl, 5772449]
[paragraph, [85.0, 449.0, 566.0, 18.0], QBr86wWKtl, 5772449]
[paragraph, [85.0, 467.0, 566.0, 18.0], QBr86wWKtl, 5772449]
[paragraph, [213.0, 499.0, 342.0, 18.0], R40lSpzvtl, 5772449]
[paragraph, [213.0, 517.0, 342.0, 18.0], R40lSpzvtl, 5772449]
[paragraph, [75.0, 547.0, 568.0, 18.0], 1IpYeY6HQA, 5772449]
[paragraph, [75.0, 565.0, 568.0, 18.0], 1IpYeY6HQA, 5772449]
[paragraph, [75.0, 583.0, 568.0, 18.0], 1IpYeY6HQA, 5772449]
[paragraph, [75.0, 601.0, 568.0, 18.0], 1IpYeY6HQA, 5772449]
[paragraph, [76.0, 628.0, 561.0, 18.0], rtG2RRC1t1, 5772449]
[paragraph, [76.0, 646.0, 561.0, 18.0], rtG2RRC1t1, 5772449]
[paragraph, [76.0, 664.0, 561.0, 18.0], rtG2RRC1t1, 5772449]
[paragraph, [76.0, 682.0, 561.0, 18.0], rtG2RRC1t1, 5772449]
[paragraph, [75.0, 711.0, 560.0, 18.0], shoonya_0sIMBMECJIEQBY, 5772449]
[paragraph, [75.0, 729.0, 560.0, 18.0], shoonya_0sIMBMECJIEQBY, 5772449]
[paragraph, [75.0, 747.0, 560.0, 18.0], shoonya_0sIMBMECJIEQBY, 5772449]
[paragraph, [75.0, 765.0, 560.0, 18.0], shoonya_0sIMBMECJIEQBY, 5772449]
[paragraph, [75.0, 783.0, 560.0, 18.0], shoonya_0sIMBMECJIEQBY, 5772449]
[paragraph, [75.0, 801.0, 560.0, 18.0], shoonya_0sIMBMECJIEQBY, 5772449]
[paragraph, [75.0, 819.0, 560.0, 18.0], shoonya_0sIMBMECJIEQBY, 5772449]
[paragraph, [75.0, 837.0, 560.0, 18.0], shoonya_0sIMBMECJIEQBY, 5772449]
[paragraph, [75.0, 855.0, 560.0, 18.0], shoonya_0sIMBMECJIEQBY, 5772449]
[paragraph, [75.0, 873.0, 560.0, 18.0], shoonya_0sIMBMECJIEQBY, 5772449]
[paragraph, [75.0, 891.0, 560.0, 18.0], shoonya_0sIMBMECJIEQBY, 5772449]
[paragraph, [75.0, 909.0, 560.0, 18.0], shoonya_0sIMBMECJIEQBY, 5772449]
[paragraph, [75.0, 927.0, 560.0, 18.0], shoonya_0sIMBMECJIEQBY, 5772449]
[paragraph, [75.0, 945.0, 560.0, 18.0], shoonya_0sIMBMECJIEQBY, 5772449]
