[2546, 1988]
[paragraph, [65.0, 89.0, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 135.5, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 182.0, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 228.5, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 275.0, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 321.5, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 368.0, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 414.5, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 461.0, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 507.5, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 554.0, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 600.5, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 647.0, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 693.5, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 740.0, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 786.5, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 833.0, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 879.5, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 926.0, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 972.5, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 1019.0, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 1065.5, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 1112.0, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 1158.5, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 1205.0, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 1251.5, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 1298.0, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 1344.5, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 1391.0, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 1437.5, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 1484.0, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 1530.5, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 1577.0, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [65.0, 1623.5, 1922.0, 46.5], ZQ0Krm_vR1, 5683594]
[paragraph, [41.0, 1638.0, 1946.0, 46.5], MIRQuWQE0n, 5683594]
[paragraph, [41.0, 1684.5, 1946.0, 46.5], MIRQuWQE0n, 5683594]
[paragraph, [41.0, 1731.0, 1946.0, 46.5], MIRQuWQE0n, 5683594]
[paragraph, [41.0, 1777.5, 1946.0, 46.5], MIRQuWQE0n, 5683594]
[paragraph, [41.0, 1824.0, 1946.0, 46.5], MIRQuWQE0n, 5683594]
[paragraph, [41.0, 1870.5, 1946.0, 46.5], MIRQuWQE0n, 5683594]
[paragraph, [41.0, 1917.0, 1946.0, 46.5], MIRQuWQE0n, 5683594]
[paragraph, [41.0, 1963.5, 1946.0, 46.5], MIRQuWQE0n, 5683594]
[paragraph, [41.0, 2010.0, 1946.0, 46.5], MIRQuWQE0n, 5683594]
[paragraph, [41.0, 2056.5, 1946.0, 46.5], MIRQuWQE0n, 5683594]
[paragraph, [41.0, 2103.0, 1946.0, 46.5], MIRQuWQE0n, 5683594]
[paragraph, [41.0, 2149.5, 1946.0, 46.5], MIRQuWQE0n, 5683594]
[paragraph, [41.0, 2196.0, 1946.0, 46.5], MIRQuWQE0n, 5683594]
[paragraph, [41.0, 2242.5, 1946.0, 46.5], MIRQuWQE0n, 5683594]
[paragraph, [41.0, 2289.0, 1946.0, 46.5], MIRQuWQE0n, 5683594]
[paragraph, [41.0, 2335.5, 1946.0, 46.5], MIRQuWQE0n, 5683594]
[paragraph, [41.0, 2382.0, 1946.0, 46.5], MIRQuWQE0n, 5683594]
[paragraph, [41.0, 2428.5, 1946.0, 46.5], MIRQuWQE0n, 5683594]
[paragraph, [41.0, 2475.0, 1946.0, 46.5], MIRQuWQE0n, 5683594]
