[1601, 1128]
[author, [302.0, 98.0, 139.0, 36.0], t7v6BzkHDy, 6472128]
[headline, [87.0, 221.0, 933.0, 37.5], shoonya_2sVVKJHLOQ7BH9, 6472128]
[headline, [87.0, 258.5, 933.0, 37.5], shoonya_2sVVKJHLOQ7BH9, 6472128]
[headline, [87.0, 296.0, 933.0, 37.5], shoonya_2sVVKJHLOQ7BH9, 6472128]
[sidebar, [76.0, 374.0, 985.0, 36.0], GrHv0MitO9, 6472128]
[sidebar, [76.0, 410.0, 985.0, 36.0], GrHv0MitO9, 6472128]
[sidebar, [76.0, 446.0, 985.0, 36.0], GrHv0MitO9, 6472128]
[unordered-list, [580.0, 525.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 561.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 597.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 633.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 669.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 705.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 741.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 777.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 813.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 849.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 885.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 921.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 957.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 993.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 1029.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 1065.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 1101.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 1137.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 1173.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 1209.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 1245.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 1281.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 1317.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 1353.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 1389.0, 476.0, 36.0], cs95rILsnd, 6472128]
[unordered-list, [580.0, 1425.0, 476.0, 36.0], cs95rILsnd, 6472128]
[paragraph, [80.0, 531.0, 474.0, 36.0], shoonya_0sUGX31EW4MW3P, 6472128]
[paragraph, [80.0, 567.0, 474.0, 36.0], shoonya_0sUGX31EW4MW3P, 6472128]
[paragraph, [80.0, 603.0, 474.0, 36.0], shoonya_0sUGX31EW4MW3P, 6472128]
[paragraph, [80.0, 639.0, 474.0, 36.0], shoonya_0sUGX31EW4MW3P, 6472128]
[paragraph, [80.0, 675.0, 474.0, 36.0], shoonya_0sUGX31EW4MW3P, 6472128]
[paragraph, [80.0, 711.0, 474.0, 36.0], shoonya_0sUGX31EW4MW3P, 6472128]
[paragraph, [80.0, 747.0, 474.0, 36.0], shoonya_0sUGX31EW4MW3P, 6472128]
[paragraph, [80.0, 783.0, 474.0, 36.0], shoonya_0sUGX31EW4MW3P, 6472128]
[paragraph, [80.0, 819.0, 474.0, 36.0], shoonya_0sUGX31EW4MW3P, 6472128]
[paragraph, [88.0, 893.0, 464.0, 36.0], shoonya_5sSTHZ7OLONDUF, 6472128]
[paragraph, [88.0, 929.0, 464.0, 36.0], shoonya_5sSTHZ7OLONDUF, 6472128]
[paragraph, [88.0, 965.0, 464.0, 36.0], shoonya_5sSTHZ7OLONDUF, 6472128]
[unordered-list, [75.0, 1031.0, 480.0, 36.0], gh61k60v27, 6472128]
[unordered-list, [75.0, 1067.0, 480.0, 36.0], gh61k60v27, 6472128]
[unordered-list, [75.0, 1103.0, 480.0, 36.0], gh61k60v27, 6472128]
[unordered-list, [75.0, 1139.0, 480.0, 36.0], gh61k60v27, 6472128]
[unordered-list, [75.0, 1175.0, 480.0, 36.0], gh61k60v27, 6472128]
[unordered-list, [75.0, 1211.0, 480.0, 36.0], gh61k60v27, 6472128]
[unordered-list, [75.0, 1247.0, 480.0, 36.0], gh61k60v27, 6472128]
[unordered-list, [75.0, 1283.0, 480.0, 36.0], gh61k60v27, 6472128]
[unordered-list, [75.0, 1319.0, 480.0, 36.0], gh61k60v27, 6472128]
[unordered-list, [75.0, 1355.0, 480.0, 36.0], gh61k60v27, 6472128]
[unordered-list, [75.0, 1391.0, 480.0, 36.0], gh61k60v27, 6472128]
[unordered-list, [75.0, 1427.0, 480.0, 36.0], gh61k60v27, 6472128]
