[2180, 1639]
[headline, [289.0, 321.0, 992.0, 67.5], shoonya_10s2HJU9OEHV4D, 5653906]
[author, [709.0, 453.0, 197.0, 36.0], shoonya_8s9Q9GMIQT6V3A, 5653906]
[figure-caption, [1041.0, 535.0, 509.0, 36.0], shoonya_4sDDTQWYFSFY8R, 5653906]
[figure-caption, [1041.0, 571.0, 509.0, 36.0], shoonya_4sDDTQWYFSFY8R, 5653906]
[figure-caption, [1041.0, 607.0, 509.0, 36.0], shoonya_4sDDTQWYFSFY8R, 5653906]
[figure-caption, [1041.0, 643.0, 509.0, 36.0], shoonya_4sDDTQWYFSFY8R, 5653906]
[figure-caption, [1041.0, 679.0, 509.0, 36.0], shoonya_4sDDTQWYFSFY8R, 5653906]
[figure-caption, [1041.0, 715.0, 509.0, 36.0], shoonya_4sDDTQWYFSFY8R, 5653906]
[figure-caption, [1041.0, 751.0, 509.0, 36.0], shoonya_4sDDTQWYFSFY8R, 5653906]
[figure-caption, [1041.0, 787.0, 509.0, 36.0], shoonya_4sDDTQWYFSFY8R, 5653906]
[paragraph, [23.0, 556.0, 779.0, 36.0], shoonya_1s7FQ036NCF98F, 5653906]
[paragraph, [23.0, 592.0, 779.0, 36.0], shoonya_1s7FQ036NCF98F, 5653906]
[paragraph, [23.0, 628.0, 779.0, 36.0], shoonya_1s7FQ036NCF98F, 5653906]
[paragraph, [23.0, 664.0, 779.0, 36.0], shoonya_1s7FQ036NCF98F, 5653906]
[paragraph, [23.0, 700.0, 779.0, 36.0], shoonya_1s7FQ036NCF98F, 5653906]
[paragraph, [23.0, 736.0, 779.0, 36.0], shoonya_1s7FQ036NCF98F, 5653906]
[paragraph, [23.0, 772.0, 779.0, 36.0], shoonya_1s7FQ036NCF98F, 5653906]
[paragraph, [23.0, 808.0, 779.0, 36.0], shoonya_1s7FQ036NCF98F, 5653906]
[paragraph, [23.0, 844.0, 779.0, 36.0], shoonya_1s7FQ036NCF98F, 5653906]
[paragraph, [23.0, 880.0, 779.0, 36.0], shoonya_1s7FQ036NCF98F, 5653906]
[paragraph, [23.0, 916.0, 779.0, 36.0], shoonya_1s7FQ036NCF98F, 5653906]
[paragraph, [23.0, 952.0, 779.0, 36.0], shoonya_1s7FQ036NCF98F, 5653906]
[paragraph, [23.0, 988.0, 779.0, 36.0], shoonya_1s7FQ036NCF98F, 5653906]
[paragraph, [23.0, 1024.0, 779.0, 36.0], shoonya_1s7FQ036NCF98F, 5653906]
[paragraph, [23.0, 1060.0, 779.0, 36.0], shoonya_1s7FQ036NCF98F, 5653906]
[paragraph, [836.0, 841.0, 735.0, 36.0], shoonya_5sOBAMYGOBBGJO, 5653906]
[paragraph, [836.0, 877.0, 735.0, 36.0], shoonya_5sOBAMYGOBBGJO, 5653906]
[paragraph, [836.0, 913.0, 735.0, 36.0], shoonya_5sOBAMYGOBBGJO, 5653906]
[paragraph, [836.0, 949.0, 735.0, 36.0], shoonya_5sOBAMYGOBBGJO, 5653906]
[paragraph, [836.0, 985.0, 735.0, 36.0], shoonya_5sOBAMYGOBBGJO, 5653906]
[paragraph, [836.0, 1021.0, 735.0, 36.0], shoonya_5sOBAMYGOBBGJO, 5653906]
[paragraph, [836.0, 1057.0, 735.0, 36.0], shoonya_5sOBAMYGOBBGJO, 5653906]
[paragraph, [836.0, 1093.0, 735.0, 36.0], shoonya_5sOBAMYGOBBGJO, 5653906]
[paragraph, [836.0, 1129.0, 735.0, 36.0], shoonya_5sOBAMYGOBBGJO, 5653906]
[paragraph, [836.0, 1165.0, 735.0, 36.0], shoonya_5sOBAMYGOBBGJO, 5653906]
[paragraph, [836.0, 1201.0, 735.0, 36.0], shoonya_5sOBAMYGOBBGJO, 5653906]
[paragraph, [836.0, 1237.0, 735.0, 36.0], shoonya_5sOBAMYGOBBGJO, 5653906]
[paragraph, [836.0, 1273.0, 735.0, 36.0], shoonya_5sOBAMYGOBBGJO, 5653906]
[paragraph, [836.0, 1309.0, 735.0, 36.0], shoonya_5sOBAMYGOBBGJO, 5653906]
[paragraph, [61.0, 1104.0, 758.0, 36.0], shoonya_2sY4NU2B4CS29T, 5653906]
[paragraph, [61.0, 1140.0, 758.0, 36.0], shoonya_2sY4NU2B4CS29T, 5653906]
[paragraph, [61.0, 1176.0, 758.0, 36.0], shoonya_2sY4NU2B4CS29T, 5653906]
[paragraph, [61.0, 1212.0, 758.0, 36.0], shoonya_2sY4NU2B4CS29T, 5653906]
[paragraph, [61.0, 1248.0, 758.0, 36.0], shoonya_2sY4NU2B4CS29T, 5653906]
[paragraph, [61.0, 1284.0, 758.0, 36.0], shoonya_2sY4NU2B4CS29T, 5653906]
