[1875, 1200]
[folio, [192.0, 229.0, 520.0, 36.0], shoonya_2sTA3FR3RXE549, 5710661]
[paragraph, [186.0, 289.0, 836.0, 36.0], ZkWrVwETV5, 5710661]
[paragraph, [186.0, 325.0, 836.0, 36.0], ZkWrVwETV5, 5710661]
[paragraph, [186.0, 361.0, 836.0, 36.0], ZkWrVwETV5, 5710661]
[paragraph, [186.0, 397.0, 836.0, 36.0], ZkWrVwETV5, 5710661]
[paragraph, [186.0, 433.0, 836.0, 36.0], ZkWrVwETV5, 5710661]
[paragraph, [186.0, 469.0, 836.0, 36.0], ZkWrVwETV5, 5710661]
[paragraph, [186.0, 505.0, 836.0, 36.0], ZkWrVwETV5, 5710661]
[paragraph, [186.0, 541.0, 836.0, 36.0], ZkWrVwETV5, 5710661]
[paragraph, [186.0, 577.0, 836.0, 36.0], ZkWrVwETV5, 5710661]
[paragraph, [186.0, 613.0, 836.0, 36.0], ZkWrVwETV5, 5710661]
[section-title, [178.0, 655.0, 709.0, 49.5], MnZ1F5-J4i, 5710661]
[paragraph, [180.0, 710.0, 847.0, 36.0], shoonya_0sFVZQVMW6W4UH, 5710661]
[paragraph, [180.0, 746.0, 847.0, 36.0], shoonya_0sFVZQVMW6W4UH, 5710661]
[paragraph, [180.0, 782.0, 847.0, 36.0], shoonya_0sFVZQVMW6W4UH, 5710661]
[paragraph, [180.0, 818.0, 847.0, 36.0], shoonya_0sFVZQVMW6W4UH, 5710661]
[paragraph, [180.0, 854.0, 847.0, 36.0], shoonya_0sFVZQVMW6W4UH, 5710661]
[paragraph, [180.0, 890.0, 847.0, 36.0], shoonya_0sFVZQVMW6W4UH, 5710661]
[paragraph, [180.0, 926.0, 847.0, 36.0], shoonya_0sFVZQVMW6W4UH, 5710661]
[paragraph, [180.0, 962.0, 847.0, 36.0], shoonya_0sFVZQVMW6W4UH, 5710661]
[paragraph, [180.0, 998.0, 847.0, 36.0], shoonya_0sFVZQVMW6W4UH, 5710661]
[paragraph, [167.0, 1050.0, 856.0, 36.0], -O4f14EXzT, 5710661]
[paragraph, [167.0, 1086.0, 856.0, 36.0], -O4f14EXzT, 5710661]
[paragraph, [167.0, 1122.0, 856.0, 36.0], -O4f14EXzT, 5710661]
[paragraph, [167.0, 1158.0, 856.0, 36.0], -O4f14EXzT, 5710661]
[paragraph, [167.0, 1194.0, 856.0, 36.0], -O4f14EXzT, 5710661]
[paragraph, [167.0, 1230.0, 856.0, 36.0], -O4f14EXzT, 5710661]
[paragraph, [167.0, 1266.0, 856.0, 36.0], -O4f14EXzT, 5710661]
[paragraph, [167.0, 1302.0, 856.0, 36.0], -O4f14EXzT, 5710661]
[paragraph, [167.0, 1338.0, 856.0, 36.0], -O4f14EXzT, 5710661]
[paragraph, [167.0, 1374.0, 856.0, 36.0], -O4f14EXzT, 5710661]
[paragraph, [167.0, 1410.0, 856.0, 36.0], -O4f14EXzT, 5710661]
[paragraph, [167.0, 1446.0, 856.0, 36.0], -O4f14EXzT, 5710661]
[paragraph, [167.0, 1482.0, 856.0, 36.0], -O4f14EXzT, 5710661]
[paragraph, [167.0, 1518.0, 856.0, 36.0], -O4f14EXzT, 5710661]
[paragraph, [167.0, 1554.0, 856.0, 36.0], -O4f14EXzT, 5710661]
